Location Dunsany 53.5N 6.7W 
Nearest Gridpoint used 53.533N  6.68W 
Based on ECMWF analysis of  00Z on Wednesday 20/06/2018
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-06-20,06:00,15,89,17,250,14,0.7
2018-06-20,09:00,14,72,207,325,11,0.2
2018-06-20,12:00,15,58,403,315,9,0
2018-06-20,15:00,15,50,454,300,10,0
2018-06-20,18:00,13,61,294,305,11,0
2018-06-20,21:00,12,63,110,285,8,0
2018-06-21,00:00,10,78,0,300,10,0
2018-06-21,03:00,8,80,0,305,8,0
2018-06-21,06:00,9,73,57,300,7,0
2018-06-21,09:00,13,56,432,335,10,0
2018-06-21,12:00,14,50,533,335,9,0
2018-06-21,15:00,15,47,453,340,9,0
2018-06-21,18:00,14,52,449,345,9,0
2018-06-21,21:00,11,65,146,340,6,0
2018-06-22,00:00,9,78,0,340,6,0
2018-06-22,03:00,7,88,0,325,5,0
2018-06-22,06:00,9,81,55,330,4,0
2018-06-22,09:00,13,61,432,340,5,0
2018-06-22,12:00,16,54,813,330,4,0
2018-06-22,15:00,17,51,883,315,5,0
2018-06-22,18:00,17,56,569,315,4,0
2018-06-22,21:00,13,76,132,0,2,0
2018-06-23,00:00,10,88,0,80,5,0
2018-06-23,03:00,9,92,0,100,5,0
2018-06-23,06:00,10,91,53,150,2,0
2018-06-23,09:00,16,67,417,265,1,0
2018-06-23,12:00,19,51,777,250,4,0
2018-06-23,15:00,19,48,719,270,5,0
2018-06-23,18:00,19,48,393,310,3,0
2018-06-23,21:00,14,84,125,75,4,0
2018-06-24,00:00,11,97,0,225,2,0
2018-06-24,03:00,10,81,0,255,3,0
2018-06-24,06:00,11,81,53,245,2,0
2018-06-24,09:00,17,56,448,230,2,0
2018-06-24,12:00,21,42,848,225,4,0
2018-06-24,15:00,23,40,910,235,4,0
2018-06-24,18:00,23,42,594,235,5,0
2018-06-24,21:00,18,59,143,205,8,0
2018-06-25,00:00,14,73,0,235,6,0
