Location Dunsany 53.5N 6.7W 
Nearest Gridpoint used 53.533N  6.68W 
Based on ECMWF analysis of  00Z on Sunday 07/04/2019
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-04-07,06:00,2,96,0,25,4,0
2019-04-07,09:00,10,74,206,75,7,0
2019-04-07,12:00,11,67,519,85,10,0
2019-04-07,15:00,11,74,524,75,9,0
2019-04-07,18:00,9,78,297,70,8,0
2019-04-07,21:00,6,92,18,60,6,0
2019-04-08,00:00,8,90,0,75,8,0.4
2019-04-08,03:00,8,98,0,85,7,0.6
2019-04-08,06:00,8,99,0,95,6,0.3
2019-04-08,09:00,10,88,99,100,8,0
2019-04-08,12:00,13,67,462,105,10,0
2019-04-08,15:00,12,72,504,95,10,0
2019-04-08,18:00,11,80,290,95,7,0
2019-04-08,21:00,7,97,17,85,5,0
2019-04-09,00:00,7,100,0,65,3,0
2019-04-09,03:00,7,100,0,55,3,0
2019-04-09,06:00,8,99,0,45,5,0
2019-04-09,09:00,9,90,65,65,8,0.3
2019-04-09,12:00,9,84,199,65,10,0.3
2019-04-09,15:00,11,73,309,80,10,0.1
2019-04-09,18:00,10,70,204,65,8,0
2019-04-09,21:00,8,70,11,75,8,0
2019-04-10,00:00,6,83,0,80,8,0
2019-04-10,03:00,5,86,0,75,7,0
2019-04-10,06:00,3,91,1,65,6,0
2019-04-10,09:00,7,65,178,80,7,0
2019-04-10,12:00,9,62,483,85,7,0
2019-04-10,15:00,9,61,463,85,4,0
2019-04-10,18:00,8,66,262,30,5,0
2019-04-10,21:00,4,88,24,85,3,0
2019-04-11,00:00,3,88,0,65,2,0
2019-04-11,03:00,2,92,0,110,4,0
2019-04-11,06:00,2,92,1,90,4,0
2019-04-11,09:00,9,78,233,115,3,0
2019-04-11,12:00,13,57,613,130,4,0
2019-04-11,15:00,11,70,498,95,10,0
2019-04-11,18:00,9,77,288,80,8,0
2019-04-11,21:00,7,84,18,130,4,0
2019-04-12,00:00,7,85,0,95,4,0
