Location Gurteen 53.03N 8.01W 
Nearest Gridpoint used 53.04N  8.016W 
Based on ECMWF analysis of  00Z on Friday 14/04/2017
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-04-14,06:00,9,96,0,250,7,0
2017-04-14,09:00,11,82,100,270,8,0.2
2017-04-14,12:00,12,71,337,280,9,0
2017-04-14,15:00,10,75,226,280,10,0.2
2017-04-14,18:00,10,74,176,280,10,0
2017-04-14,21:00,8,82,17,295,7,0.4
2017-04-15,00:00,6,83,0,280,6,0
2017-04-15,03:00,6,79,0,275,6,0
2017-04-15,06:00,6,73,1,280,7,0
2017-04-15,09:00,9,54,188,295,11,0
2017-04-15,12:00,10,55,365,290,10,0
2017-04-15,15:00,10,61,332,285,9,0.2
2017-04-15,18:00,9,63,191,280,9,0
2017-04-15,21:00,7,76,26,270,6,0
2017-04-16,00:00,5,88,0,240,5,0
2017-04-16,03:00,6,84,0,230,6,0
2017-04-16,06:00,8,90,0,235,8,0.5
2017-04-16,09:00,10,85,69,265,11,0.1
2017-04-16,12:00,12,75,187,270,11,0.1
2017-04-16,15:00,12,69,219,275,13,0.2
2017-04-16,18:00,11,82,147,275,10,0.4
2017-04-16,21:00,9,92,12,275,8,0.1
2017-04-17,00:00,9,92,0,285,7,0
2017-04-17,03:00,7,93,0,295,6,0
2017-04-17,06:00,7,96,2,305,6,0
2017-04-17,09:00,9,74,203,330,8,0.1
2017-04-17,12:00,11,66,340,355,7,0.2
2017-04-17,15:00,12,56,535,5,7,0
2017-04-17,18:00,11,60,244,30,5,0
2017-04-17,21:00,8,66,27,50,5,0
2017-04-18,00:00,5,73,0,95,5,0
2017-04-18,03:00,3,72,0,110,5,0
2017-04-18,06:00,2,77,3,130,5,0
2017-04-18,09:00,9,65,253,155,3,0
2017-04-18,12:00,13,54,682,295,3,0
2017-04-18,15:00,13,55,421,305,4,0
2017-04-18,18:00,12,71,119,300,3,0
2017-04-18,21:00,10,79,12,300,4,0
2017-04-19,00:00,9,85,0,260,4,0
