Location Gurteen 53.03N 8.01W 
Nearest Gridpoint used 53.04N  8.016W 
Based on ECMWF analysis of  00Z on Tuesday 01/08/2017
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-08-01,06:00,11,93,12,205,6,0
2017-08-01,09:00,14,75,278,240,8,0.1
2017-08-01,12:00,17,59,578,245,9,0.1
2017-08-01,15:00,17,60,516,240,9,0.3
2017-08-01,18:00,16,68,274,250,5,0
2017-08-01,21:00,14,80,54,140,5,0
2017-08-02,00:00,13,85,0,150,9,0
2017-08-02,03:00,13,88,0,125,11,0.9
2017-08-02,06:00,14,87,2,135,16,0.8
2017-08-02,09:00,16,88,94,190,9,0
2017-08-02,12:00,20,64,542,205,10,0.3
2017-08-02,15:00,19,59,490,220,12,0.5
2017-08-02,18:00,17,73,229,200,9,0.2
2017-08-02,21:00,15,78,47,190,9,0.3
2017-08-03,00:00,14,82,0,200,12,0.9
2017-08-03,03:00,13,89,0,230,13,1.6
2017-08-03,06:00,13,90,6,235,12,0.6
2017-08-03,09:00,15,85,140,230,10,0
2017-08-03,12:00,17,70,461,250,13,0.4
2017-08-03,15:00,17,69,381,240,11,0.4
2017-08-03,18:00,16,81,158,245,9,0.2
2017-08-03,21:00,14,87,67,245,8,0.1
2017-08-04,00:00,13,91,0,250,7,0
2017-08-04,03:00,13,91,0,285,6,0.2
2017-08-04,06:00,12,92,10,285,7,0
2017-08-04,09:00,15,71,292,295,8,0.1
2017-08-04,12:00,16,60,552,285,10,0.1
2017-08-04,15:00,17,53,641,280,11,0.1
2017-08-04,18:00,16,60,434,275,9,0
2017-08-04,21:00,12,78,67,265,6,0
2017-08-05,00:00,11,90,0,255,5,0
2017-08-05,03:00,10,93,0,255,5,0
2017-08-05,06:00,10,92,11,250,5,0
2017-08-05,09:00,14,70,291,285,6,0.2
2017-08-05,12:00,15,58,546,265,7,0.4
2017-08-05,15:00,16,56,537,265,9,0.3
2017-08-05,18:00,15,61,345,270,8,0.1
2017-08-05,21:00,12,79,59,260,5,0
2017-08-06,00:00,11,89,0,215,6,0
