Location Gurteen 53.03N 8.01W 
Nearest Gridpoint used 53.04N  8.016W 
Based on ECMWF analysis of  00Z on Saturday 28/10/2017
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-10-28,06:00,11,99,0,255,6,0
2017-10-28,09:00,11,97,10,245,6,0
2017-10-28,12:00,13,90,110,270,7,0.1
2017-10-28,15:00,14,87,105,275,9,0.4
2017-10-28,18:00,13,92,24,270,9,0
2017-10-28,21:00,13,97,0,275,9,0.2
2017-10-29,00:00,13,97,0,280,10,0.1
2017-10-29,03:00,12,97,0,295,9,0.3
2017-10-29,06:00,12,95,0,305,8,0.4
2017-10-29,09:00,12,94,9,330,8,0.9
2017-10-29,12:00,12,75,144,330,7,0
2017-10-29,15:00,12,71,200,335,6,0
2017-10-29,18:00,9,84,50,5,3,0
2017-10-29,21:00,8,84,0,45,2,0
2017-10-30,00:00,6,92,0,125,2,0
2017-10-30,03:00,6,92,0,135,6,0
2017-10-30,06:00,6,92,0,150,6,0
2017-10-30,09:00,7,88,29,155,6,0
2017-10-30,12:00,12,77,252,195,5,0
2017-10-30,15:00,14,75,278,205,6,0
2017-10-30,18:00,11,88,58,190,6,0
2017-10-30,21:00,10,95,0,205,6,0
2017-10-31,00:00,10,95,0,200,5,0
2017-10-31,03:00,11,94,0,210,5,0
2017-10-31,06:00,11,95,0,210,6,0
2017-10-31,09:00,11,92,15,190,5,0
2017-10-31,12:00,14,79,123,225,8,0
2017-10-31,15:00,14,80,187,175,4,0
2017-10-31,18:00,12,89,37,180,5,0.3
2017-10-31,21:00,11,91,0,185,5,0.2
2017-11-01,00:00,10,93,0,175,5,0.8
2017-11-01,03:00,10,95,0,175,4,0
2017-11-01,06:00,10,94,0,165,4,0
2017-11-01,09:00,11,94,14,160,4,0
2017-11-01,12:00,12,76,186,205,4,0
2017-11-01,15:00,13,72,193,300,2,0
2017-11-01,18:00,11,80,29,15,3,0
2017-11-01,21:00,11,70,0,230,1,0
2017-11-02,00:00,9,90,0,340,3,0
