Location Gurteen 53.03N 8.01W 
Nearest Gridpoint used 53.04N  8.016W 
Based on ECMWF analysis of  00Z on Thursday 26/04/2018
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-04-26,06:00,6,79,5,245,9,0.1
2018-04-26,09:00,9,63,240,270,13,0.1
2018-04-26,12:00,11,63,564,260,10,0.3
2018-04-26,15:00,11,52,594,270,10,0.4
2018-04-26,18:00,9,62,293,285,5,0
2018-04-26,21:00,7,81,32,320,2,0
2018-04-27,00:00,5,87,0,75,2,0
2018-04-27,03:00,5,88,0,45,4,0.1
2018-04-27,06:00,4,89,5,30,4,0
2018-04-27,09:00,8,73,202,20,6,0
2018-04-27,12:00,10,57,491,25,8,0.3
2018-04-27,15:00,10,56,523,20,7,0.7
2018-04-27,18:00,10,54,390,5,6,0.1
2018-04-27,21:00,7,80,53,5,5,0.1
2018-04-28,00:00,5,91,0,345,4,0
2018-04-28,03:00,3,96,0,10,3,0
2018-04-28,06:00,2,96,8,15,3,0
2018-04-28,09:00,8,68,308,15,3,0
2018-04-28,12:00,10,52,626,5,3,0.1
2018-04-28,15:00,11,46,632,330,3,0.2
2018-04-28,18:00,11,47,391,320,3,0
2018-04-28,21:00,6,83,38,25,3,0
2018-04-29,00:00,5,90,0,10,3,0
2018-04-29,03:00,3,97,0,355,3,0
2018-04-29,06:00,3,99,7,20,2,0
2018-04-29,09:00,8,79,268,25,1,0
2018-04-29,12:00,11,52,713,35,4,0.2
2018-04-29,15:00,13,40,696,35,7,0.1
2018-04-29,18:00,9,64,366,50,5,0.4
2018-04-29,21:00,6,82,54,55,5,0
2018-04-30,00:00,3,88,0,75,3,0
2018-04-30,03:00,2,89,0,10,3,0
2018-04-30,06:00,2,89,11,330,2,0
2018-04-30,09:00,8,74,341,330,4,0
2018-04-30,12:00,11,49,686,330,5,0
2018-04-30,15:00,11,46,484,315,6,0.1
2018-04-30,18:00,11,51,341,320,5,0
2018-04-30,21:00,7,81,50,265,5,0.1
2018-05-01,00:00,5,93,0,245,6,0
