Location Gurteen 53.03N 8.01W 
Nearest Gridpoint used 53.04N  8.016W 
Based on ECMWF analysis of  00Z on Wednesday 02/05/2018
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-05-02,06:00,5,88,13,285,9,0.4
2018-05-02,09:00,8,73,301,285,11,0.1
2018-05-02,12:00,11,58,654,285,14,0.6
2018-05-02,15:00,11,53,690,290,16,0.2
2018-05-02,18:00,9,62,345,290,13,0
2018-05-02,21:00,7,72,42,265,7,0
2018-05-03,00:00,7,79,0,235,6,0
2018-05-03,03:00,7,85,0,225,7,0
2018-05-03,06:00,8,85,4,220,7,0
2018-05-03,09:00,9,86,50,190,8,1
2018-05-03,12:00,10,83,104,185,9,0.3
2018-05-03,15:00,12,84,104,205,8,0
2018-05-03,18:00,12,90,76,240,7,0
2018-05-03,21:00,11,92,13,225,6,0
2018-05-04,00:00,10,95,0,230,6,0
2018-05-04,03:00,10,92,0,210,6,0
2018-05-04,06:00,11,91,7,205,6,0
2018-05-04,09:00,13,86,143,220,7,0
2018-05-04,12:00,16,74,391,225,8,0
2018-05-04,15:00,17,67,439,220,8,0
2018-05-04,18:00,16,78,250,290,5,0
2018-05-04,21:00,11,92,64,275,3,0
2018-05-05,00:00,10,93,0,220,3,0
2018-05-05,03:00,9,95,0,180,4,0
2018-05-05,06:00,9,93,13,185,5,0
2018-05-05,09:00,13,79,282,205,6,0
2018-05-05,12:00,15,71,495,230,6,0
2018-05-05,15:00,16,69,504,255,6,0
2018-05-05,18:00,15,73,219,290,4,0
2018-05-05,21:00,11,90,58,345,5,0
2018-05-06,00:00,8,98,0,20,3,0
2018-05-06,03:00,7,100,0,60,2,0
2018-05-06,06:00,7,98,10,20,3,0
2018-05-06,09:00,11,90,182,20,3,0
2018-05-06,12:00,18,64,614,70,6,0
2018-05-06,15:00,19,57,454,90,5,0
2018-05-06,18:00,18,70,288,75,8,0
2018-05-06,21:00,13,89,64,85,6,0
2018-05-07,00:00,10,94,0,105,4,0
