Location Gurteen 53.03N 8.01W 
Nearest Gridpoint used 53.04N  8.016W 
Based on ECMWF analysis of  00Z on Sunday 14/07/2019
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-07-14,06:00,12,92,33,30,3,0
2019-07-14,09:00,16,72,394,30,3,0
2019-07-14,12:00,20,59,800,20,3,0
2019-07-14,15:00,22,52,663,15,5,0
2019-07-14,18:00,22,53,360,50,4,0
2019-07-14,21:00,17,70,101,95,8,0
2019-07-15,00:00,15,89,0,150,7,0
2019-07-15,03:00,13,92,0,145,5,0
2019-07-15,06:00,13,90,29,145,5,0
2019-07-15,09:00,18,66,367,155,4,0
2019-07-15,12:00,22,47,795,215,7,0
2019-07-15,15:00,22,50,615,200,7,0
2019-07-15,18:00,21,59,330,190,7,0
2019-07-15,21:00,17,75,85,180,5,0
2019-07-16,00:00,15,88,0,160,5,0
2019-07-16,03:00,15,93,0,165,5,1
2019-07-16,06:00,15,95,19,160,4,0.4
2019-07-16,09:00,16,93,115,220,6,2
2019-07-16,12:00,20,70,601,250,6,0.6
2019-07-16,15:00,22,51,727,255,5,0
2019-07-16,18:00,20,63,498,285,8,0
2019-07-16,21:00,16,78,116,275,4,0
2019-07-17,00:00,14,91,0,235,3,0
2019-07-17,03:00,14,94,0,210,4,0
2019-07-17,06:00,14,91,17,195,5,0
2019-07-17,09:00,16,77,181,195,6,2.1
2019-07-17,12:00,17,70,324,205,8,0.4
2019-07-17,15:00,18,71,377,205,11,2.1
2019-07-17,18:00,17,78,187,200,8,0.2
2019-07-17,21:00,16,86,35,225,6,0.2
2019-07-18,00:00,15,93,0,245,6,0
2019-07-18,03:00,13,92,0,280,6,0.2
2019-07-18,06:00,13,93,22,255,6,0
2019-07-18,09:00,16,76,287,260,8,0.2
2019-07-18,12:00,18,60,518,255,10,0.1
2019-07-18,15:00,18,59,596,260,11,0.2
2019-07-18,18:00,17,65,379,270,8,0
2019-07-18,21:00,14,80,104,250,3,0
2019-07-19,00:00,13,88,0,145,4,0
