Location Enniscorthy 52.51N 6.56W 
Nearest Gridpoint used 52.478N  6.539W 
Based on ECMWF analysis of  00Z on Wednesday 12/04/2017
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-04-12,06:00,8,78,1,260,8,0
2017-04-12,09:00,11,70,213,290,10,0
2017-04-12,12:00,12,70,399,280,10,0
2017-04-12,15:00,14,68,355,295,13,0.1
2017-04-12,18:00,13,62,285,300,11,0
2017-04-12,21:00,8,79,20,315,3,0
2017-04-13,00:00,7,83,0,275,3,0
2017-04-13,03:00,6,81,0,295,5,0
2017-04-13,06:00,5,84,1,280,5,0
2017-04-13,09:00,9,61,248,305,7,0
2017-04-13,12:00,11,60,464,290,7,0
2017-04-13,15:00,12,58,406,300,8,0
2017-04-13,18:00,12,64,173,285,5,0
2017-04-13,21:00,9,81,13,250,4,0
2017-04-14,00:00,8,84,0,240,5,0
2017-04-14,03:00,10,86,0,240,7,0
2017-04-14,06:00,10,89,1,270,9,0
2017-04-14,09:00,11,69,196,290,9,0
2017-04-14,12:00,12,68,306,260,11,0
2017-04-14,15:00,12,78,237,275,10,0.9
2017-04-14,18:00,11,76,178,295,9,0.2
2017-04-14,21:00,9,84,10,295,5,0
2017-04-15,00:00,6,89,0,295,6,0
2017-04-15,03:00,4,85,0,275,4,0
2017-04-15,06:00,4,80,2,270,6,0
2017-04-15,09:00,9,61,256,305,9,0
2017-04-15,12:00,10,53,378,290,7,0
2017-04-15,15:00,11,52,373,295,8,0
2017-04-15,18:00,10,57,187,310,5,0
2017-04-15,21:00,7,73,15,295,4,0
2017-04-16,00:00,5,87,0,280,4,0
2017-04-16,03:00,3,89,0,290,4,0
2017-04-16,06:00,3,94,3,270,4,0
2017-04-16,09:00,10,68,273,235,5,0
2017-04-16,12:00,13,62,673,240,10,0
2017-04-16,15:00,13,68,663,225,11,0
2017-04-16,18:00,11,84,393,225,11,0
2017-04-16,21:00,9,93,30,235,9,0
2017-04-17,00:00,7,96,0,250,6,0
