Location JohnstownCastle 52.29N 6.5W 
Nearest Gridpoint used 52.337N  6.469W 
Based on ECMWF analysis of  00Z on Wednesday 10/05/2017
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-05-10,06:00,6,89,26,15,3,0
2017-05-10,09:00,11,75,403,115,3,0
2017-05-10,12:00,12,76,808,145,5,0
2017-05-10,15:00,12,71,866,135,4,0
2017-05-10,18:00,11,73,522,130,4,0
2017-05-10,21:00,8,89,77,55,4,0
2017-05-11,00:00,8,90,0,50,6,0
2017-05-11,03:00,9,90,0,35,8,0
2017-05-11,06:00,10,83,9,35,9,0
2017-05-11,09:00,11,83,103,50,10,0.4
2017-05-11,12:00,13,75,542,60,10,0
2017-05-11,15:00,12,79,284,50,10,0.2
2017-05-11,18:00,12,84,140,50,8,0.3
2017-05-11,21:00,11,95,20,105,7,0.1
2017-05-12,00:00,11,98,0,135,7,0
2017-05-12,03:00,10,98,0,165,6,0
2017-05-12,06:00,11,97,9,175,4,0
2017-05-12,09:00,12,86,137,215,5,0.2
2017-05-12,12:00,13,81,381,210,8,0.2
2017-05-12,15:00,14,80,643,210,8,0
2017-05-12,18:00,13,81,481,230,9,0
2017-05-12,21:00,11,88,62,225,7,0
2017-05-13,00:00,11,92,0,220,9,0
2017-05-13,03:00,11,90,0,220,11,0
2017-05-13,06:00,11,83,22,235,12,0
2017-05-13,09:00,12,75,322,195,11,0
2017-05-13,12:00,13,75,692,190,14,1.2
2017-05-13,15:00,13,77,808,180,18,0.3
2017-05-13,18:00,11,91,239,195,17,2.8
2017-05-13,21:00,11,88,29,230,13,0.1
2017-05-14,00:00,10,86,0,245,10,0
2017-05-14,03:00,10,86,0,230,9,0
2017-05-14,06:00,10,86,29,250,8,0
2017-05-14,09:00,12,69,403,240,9,0
2017-05-14,12:00,13,65,766,225,12,0
2017-05-14,15:00,13,62,850,225,15,0.1
2017-05-14,18:00,12,73,512,220,12,0
2017-05-14,21:00,11,80,72,205,10,0
2017-05-15,00:00,11,83,0,195,12,0.1
