Location JohnstownCastle 52.29N 6.5W 
Nearest Gridpoint used 52.337N  6.469W 
Based on ECMWF analysis of  00Z on Saturday 17/11/2018
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-11-17,06:00,12,91,0,130,14,0
2018-11-17,09:00,12,89,7,120,12,0
2018-11-17,12:00,11,84,123,105,12,0
2018-11-17,15:00,11,80,133,100,10,0
2018-11-17,18:00,11,70,22,95,9,0
2018-11-17,21:00,10,71,0,85,11,0
2018-11-18,00:00,10,65,0,105,12,0
2018-11-18,03:00,9,69,0,105,14,0
2018-11-18,06:00,9,68,0,90,13,0
2018-11-18,09:00,9,69,16,90,13,0
2018-11-18,12:00,11,64,240,80,12,0
2018-11-18,15:00,11,67,262,75,11,0
2018-11-18,18:00,10,71,30,75,13,0
2018-11-18,21:00,10,71,0,75,12,0
2018-11-19,00:00,9,72,0,75,12,0
2018-11-19,03:00,9,66,0,80,12,0
2018-11-19,06:00,9,63,0,80,13,0
2018-11-19,09:00,8,78,14,80,14,0
2018-11-19,12:00,9,75,132,80,14,0
2018-11-19,15:00,8,70,110,80,16,0
2018-11-19,18:00,8,63,13,85,16,0
2018-11-19,21:00,9,54,0,95,16,0
2018-11-20,00:00,9,66,0,80,16,0
2018-11-20,03:00,8,76,0,65,16,0
2018-11-20,06:00,8,73,0,60,18,0.5
2018-11-20,09:00,8,71,8,60,18,0.3
2018-11-20,12:00,8,61,166,65,18,0.1
2018-11-20,15:00,8,61,210,65,17,0.1
2018-11-20,18:00,7,67,18,60,18,0.2
2018-11-20,21:00,6,69,0,80,18,0.3
2018-11-21,00:00,7,60,0,75,16,0.1
2018-11-21,03:00,7,63,0,60,16,0
2018-11-21,06:00,7,85,0,45,16,1.5
2018-11-21,09:00,7,88,3,35,15,4.5
2018-11-21,12:00,5,90,47,95,11,5
2018-11-21,15:00,5,87,54,110,7,2
2018-11-21,18:00,6,89,6,120,13,1.9
2018-11-21,21:00,6,89,0,135,14,1.7
2018-11-22,00:00,8,88,0,165,12,1.7
