Location JohnstownCastle 52.29N 6.5W 
Nearest Gridpoint used 52.337N  6.469W 
Based on ECMWF analysis of  00Z on Tuesday 17/09/2019
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-09-17,06:00,10,87,0,0,7,0
2019-09-17,09:00,13,72,178,15,7,0
2019-09-17,12:00,15,64,581,55,8,0
2019-09-17,15:00,14,69,630,60,9,0
2019-09-17,18:00,13,72,279,55,8,0
2019-09-17,21:00,13,77,4,55,7,0
2019-09-18,00:00,12,85,0,55,5,0
2019-09-18,03:00,12,85,0,50,5,0
2019-09-18,06:00,11,88,0,30,5,0
2019-09-18,09:00,14,73,176,65,7,0
2019-09-18,12:00,15,68,571,75,6,0
2019-09-18,15:00,15,67,619,80,4,0
2019-09-18,18:00,14,76,273,90,3,0
2019-09-18,21:00,12,81,3,70,3,0
2019-09-19,00:00,12,85,0,25,2,0
2019-09-19,03:00,9,94,0,0,4,0
2019-09-19,06:00,9,93,0,15,4,0
2019-09-19,09:00,15,76,176,95,3,0
2019-09-19,12:00,16,70,573,125,4,0
2019-09-19,15:00,16,74,621,150,4,0
2019-09-19,18:00,14,89,272,145,3,0
2019-09-19,21:00,11,94,3,120,5,0
2019-09-20,00:00,13,91,0,110,5,0
2019-09-20,03:00,14,89,0,125,6,0
2019-09-20,06:00,14,91,0,135,8,0
2019-09-20,09:00,16,84,173,135,10,0
2019-09-20,12:00,17,77,568,135,11,0
2019-09-20,15:00,17,77,613,125,12,0
2019-09-20,18:00,16,79,268,135,11,0
2019-09-20,21:00,16,70,2,145,15,0
2019-09-21,00:00,15,79,0,140,12,0
2019-09-21,03:00,16,78,0,140,13,0
2019-09-21,06:00,16,74,0,145,16,0
2019-09-21,09:00,17,73,141,150,16,0
2019-09-21,12:00,18,74,409,155,15,0
2019-09-21,15:00,17,87,369,160,13,1.5
2019-09-21,18:00,16,96,89,175,13,2.7
2019-09-21,21:00,16,95,1,165,16,0
2019-09-22,00:00,16,96,0,165,18,0.4
