Location Fermoy 52.14N 8.27W 
Nearest Gridpoint used 52.127N  8.297W 
Based on ECMWF analysis of  00Z on Wednesday 12/04/2017
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-04-12,06:00,8,84,0,275,6,0
2017-04-12,09:00,10,73,143,305,10,0
2017-04-12,12:00,11,75,303,300,10,0
2017-04-12,15:00,12,77,249,300,10,0
2017-04-12,18:00,11,76,157,315,8,0.1
2017-04-12,21:00,8,79,17,330,8,0
2017-04-13,00:00,7,79,0,315,5,0
2017-04-13,03:00,6,85,0,305,4,0
2017-04-13,06:00,5,93,1,285,3,0
2017-04-13,09:00,8,80,83,310,5,0
2017-04-13,12:00,10,63,238,305,7,0.1
2017-04-13,15:00,13,57,456,305,7,0
2017-04-13,18:00,11,70,145,310,5,0
2017-04-13,21:00,9,82,22,260,5,0
2017-04-14,00:00,9,89,0,240,5,0
2017-04-14,03:00,10,91,0,270,7,0
2017-04-14,06:00,10,93,0,260,6,0
2017-04-14,09:00,11,87,36,275,8,0.1
2017-04-14,12:00,12,81,214,270,8,0.7
2017-04-14,15:00,11,89,234,290,6,1.7
2017-04-14,18:00,10,84,139,310,9,0.6
2017-04-14,21:00,8,85,16,315,8,0
2017-04-15,00:00,6,93,0,310,6,0
2017-04-15,03:00,5,89,0,295,5,0
2017-04-15,06:00,5,83,1,280,5,0
2017-04-15,09:00,8,61,206,310,8,0
2017-04-15,12:00,10,55,366,305,7,0
2017-04-15,15:00,11,54,467,305,7,0
2017-04-15,18:00,10,58,239,320,7,0
2017-04-15,21:00,6,75,24,310,4,0
2017-04-16,00:00,4,86,0,265,3,0
2017-04-16,03:00,3,87,0,270,3,0
2017-04-16,06:00,4,85,1,230,4,0
2017-04-16,09:00,10,73,253,215,6,0
2017-04-16,12:00,13,64,567,240,8,0
2017-04-16,15:00,14,62,405,235,9,0
2017-04-16,18:00,12,74,320,225,8,0
2017-04-16,21:00,9,87,39,240,6,0
2017-04-17,00:00,7,95,0,245,6,0
