Location MoorePark 52.16N 8.26W 
Nearest Gridpoint used 52.127N  8.227W 
Based on ECMWF analysis of  00Z on Wednesday 29/11/2017
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-11-29,06:00,1,90,0,335,9,0
2017-11-29,09:00,1,91,5,325,8,0
2017-11-29,12:00,4,81,183,330,10,0
2017-11-29,15:00,4,75,205,340,9,0
2017-11-29,18:00,2,85,23,335,9,0
2017-11-29,21:00,1,91,0,330,8,0
2017-11-30,00:00,0,92,0,320,9,0
2017-11-30,03:00,1,90,0,315,8,0
2017-11-30,06:00,3,86,0,325,8,0
2017-11-30,09:00,2,90,4,315,8,0
2017-11-30,12:00,5,77,151,320,9,0
2017-11-30,15:00,5,79,76,330,9,0.1
2017-11-30,18:00,5,85,9,330,8,0
2017-11-30,21:00,4,84,0,345,8,0.1
2017-12-01,00:00,2,82,0,335,7,0
2017-12-01,03:00,1,88,0,325,8,0
2017-12-01,06:00,1,91,0,330,8,0
2017-12-01,09:00,1,92,3,330,7,0
2017-12-01,12:00,5,85,62,325,6,0
2017-12-01,15:00,6,86,121,335,7,0
2017-12-01,18:00,5,94,21,325,6,0
2017-12-01,21:00,5,96,0,315,6,0
2017-12-02,00:00,6,96,0,305,6,0
2017-12-02,03:00,5,96,0,310,6,0
2017-12-02,06:00,5,97,0,320,6,0
2017-12-02,09:00,5,96,3,310,6,0
2017-12-02,12:00,7,86,107,315,6,0
2017-12-02,15:00,8,86,142,320,6,0
2017-12-02,18:00,7,91,12,320,5,0
2017-12-02,21:00,5,94,0,315,6,0
2017-12-03,00:00,4,95,0,310,5,0
2017-12-03,03:00,3,98,0,310,4,0
2017-12-03,06:00,6,97,0,315,5,0
2017-12-03,09:00,5,95,2,295,5,0
2017-12-03,12:00,8,87,85,295,6,0
2017-12-03,15:00,8,89,102,310,6,0
2017-12-03,18:00,7,95,14,305,5,0
2017-12-03,21:00,6,95,0,310,6,0
2017-12-04,00:00,7,94,0,310,5,0
