Location MoorePark 52.16N 8.26W 
Nearest Gridpoint used 52.127N  8.227W 
Based on ECMWF analysis of  00Z on Sunday 24/06/2018
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-06-24,06:00,11,83,42,20,2,0
2018-06-24,09:00,18,60,432,145,4,0
2018-06-24,12:00,20,40,853,160,6,0
2018-06-24,15:00,21,37,940,165,6,0
2018-06-24,18:00,19,42,628,170,4,0
2018-06-24,21:00,14,71,154,180,3,0
2018-06-25,00:00,11,88,0,260,4,0
2018-06-25,03:00,10,88,0,325,4,0
2018-06-25,06:00,11,83,32,350,3,0
2018-06-25,09:00,18,55,379,90,2,0
2018-06-25,12:00,22,32,832,140,3,0
2018-06-25,15:00,22,45,816,155,5,0
2018-06-25,18:00,21,51,553,160,4,0
2018-06-25,21:00,16,76,128,150,3,0
2018-06-26,00:00,14,81,0,115,2,0
2018-06-26,03:00,14,76,0,100,3,0
2018-06-26,06:00,15,71,21,90,5,0
2018-06-26,09:00,18,63,224,100,5,0
2018-06-26,12:00,22,54,738,125,7,0
2018-06-26,15:00,23,53,909,140,8,0
2018-06-26,18:00,22,57,602,135,6,0
2018-06-26,21:00,17,80,146,115,4,0
2018-06-27,00:00,15,83,0,100,4,0
2018-06-27,03:00,14,84,0,80,3,0
2018-06-27,06:00,15,79,41,70,4,0
2018-06-27,09:00,21,60,423,95,5,0
2018-06-27,12:00,25,43,830,110,7,0
2018-06-27,15:00,24,48,917,115,7,0
2018-06-27,18:00,22,55,604,125,4,0
2018-06-27,21:00,17,81,152,140,3,0
2018-06-28,00:00,14,85,0,65,3,0
2018-06-28,03:00,13,88,0,355,3,0
2018-06-28,06:00,15,74,41,10,4,0
2018-06-28,09:00,22,53,427,60,4,0
2018-06-28,12:00,26,41,843,70,4,0
2018-06-28,15:00,26,45,923,125,4,0
2018-06-28,18:00,23,53,611,155,5,0
2018-06-28,21:00,19,70,148,155,3,0
2018-06-29,00:00,16,74,0,10,2,0
