Location MoorePark 52.16N 8.26W 
Nearest Gridpoint used 52.127N  8.227W 
Based on ECMWF analysis of  00Z on Friday 17/08/2018
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-08-17,06:00,12,86,2,225,6,0
2018-08-17,09:00,14,86,54,240,8,1.1
2018-08-17,12:00,17,75,269,255,12,0.4
2018-08-17,15:00,19,69,357,255,11,0
2018-08-17,18:00,18,69,273,255,9,0
2018-08-17,21:00,16,83,35,245,7,0
2018-08-18,00:00,15,89,0,245,7,0
2018-08-18,03:00,15,92,0,230,7,0
2018-08-18,06:00,16,94,2,235,7,0
2018-08-18,09:00,18,74,208,250,8,0
2018-08-18,12:00,22,72,558,245,9,0
2018-08-18,15:00,21,80,331,235,8,0.2
2018-08-18,18:00,19,86,231,205,8,0
2018-08-18,21:00,17,98,16,180,11,0
2018-08-19,00:00,17,96,0,195,12,2.1
2018-08-19,03:00,17,95,0,225,9,0.6
2018-08-19,06:00,16,95,1,255,7,0.1
2018-08-19,09:00,18,86,121,280,10,0.3
2018-08-19,12:00,20,76,328,280,10,0
2018-08-19,15:00,23,63,669,285,11,0
2018-08-19,18:00,20,77,414,280,8,0
2018-08-19,21:00,17,88,45,265,5,0
2018-08-20,00:00,16,96,0,235,4,0
2018-08-20,03:00,16,96,0,210,4,0.2
2018-08-20,06:00,17,95,1,225,5,0.1
2018-08-20,09:00,18,83,99,270,5,0.4
2018-08-20,12:00,19,74,310,270,6,0.3
2018-08-20,15:00,21,67,381,265,7,0
2018-08-20,18:00,20,69,257,305,7,0
2018-08-20,21:00,16,85,42,285,6,0
2018-08-21,00:00,15,90,0,265,4,0
2018-08-21,03:00,14,96,0,220,5,0
2018-08-21,06:00,15,94,1,205,6,0
2018-08-21,09:00,19,88,136,215,7,0
2018-08-21,12:00,22,75,393,220,9,0.2
2018-08-21,15:00,23,66,556,225,9,0.1
2018-08-21,18:00,21,76,396,230,8,0
2018-08-21,21:00,16,93,49,225,6,0
2018-08-22,00:00,16,93,0,235,5,0
