Location MoorePark 52.16N 8.26W 
Nearest Gridpoint used 52.127N  8.227W 
Based on ECMWF analysis of  00Z on Thursday 13/06/2019
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-06-13,06:00,10,93,9,335,9,0.4
2019-06-13,09:00,11,88,84,345,10,0.3
2019-06-13,12:00,12,81,206,330,8,0.3
2019-06-13,15:00,12,78,240,325,7,0.2
2019-06-13,18:00,11,81,126,305,5,0.3
2019-06-13,21:00,10,71,37,325,4,0
2019-06-14,00:00,8,90,0,290,5,0
2019-06-14,03:00,8,94,0,225,4,0
2019-06-14,06:00,8,93,30,195,6,0
2019-06-14,09:00,10,94,99,190,6,4.4
2019-06-14,12:00,12,88,167,220,6,3.3
2019-06-14,15:00,12,84,194,190,4,1.9
2019-06-14,18:00,11,93,85,190,3,8.1
2019-06-14,21:00,9,90,17,315,8,5.6
2019-06-15,00:00,8,89,0,280,8,0.4
2019-06-15,03:00,6,90,0,255,7,0
2019-06-15,06:00,7,90,43,240,6,0
2019-06-15,09:00,11,67,406,230,6,0.1
2019-06-15,12:00,12,67,556,215,9,0.4
2019-06-15,15:00,12,75,478,195,8,0.7
2019-06-15,18:00,12,69,414,215,7,0.3
2019-06-15,21:00,9,82,106,210,5,0.2
2019-06-16,00:00,7,92,0,205,5,0
2019-06-16,03:00,9,87,0,185,6,0
2019-06-16,06:00,10,86,25,170,5,0
2019-06-16,09:00,13,70,261,205,10,0
2019-06-16,12:00,15,75,523,210,9,0.6
2019-06-16,15:00,15,62,672,225,12,1.1
2019-06-16,18:00,14,72,390,225,11,0.3
2019-06-16,21:00,11,83,104,220,9,0
2019-06-17,00:00,10,90,0,215,8,0
2019-06-17,03:00,10,92,0,215,8,0
2019-06-17,06:00,11,91,39,220,7,0
2019-06-17,09:00,14,69,332,245,11,0.3
2019-06-17,12:00,16,59,620,240,11,0.4
2019-06-17,15:00,17,54,636,250,10,0.2
2019-06-17,18:00,16,60,405,260,7,0.1
2019-06-17,21:00,12,79,102,240,5,0
2019-06-18,00:00,10,95,0,235,5,0
