Location Oak_Park 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.891W 
Based on ECMWF analysis of  00Z on Wednesday 12/04/2017
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-04-12,06:00,8,81,1,275,8,0
2017-04-12,09:00,10,72,186,285,13,0
2017-04-12,12:00,11,77,250,285,11,0.1
2017-04-12,15:00,13,65,284,295,12,0.2
2017-04-12,18:00,11,66,218,310,9,0.1
2017-04-12,21:00,8,69,23,325,5,0
2017-04-13,00:00,6,82,0,270,4,0
2017-04-13,03:00,6,78,0,275,5,0
2017-04-13,06:00,5,83,1,270,5,0
2017-04-13,09:00,9,65,215,305,8,0
2017-04-13,12:00,11,61,402,275,7,0
2017-04-13,15:00,11,61,354,285,8,0
2017-04-13,18:00,11,67,135,270,7,0
2017-04-13,21:00,9,81,11,235,6,0
2017-04-14,00:00,9,86,0,230,7,0
2017-04-14,03:00,10,92,0,250,7,0
2017-04-14,06:00,9,83,1,265,8,0.1
2017-04-14,09:00,10,72,119,275,9,0.1
2017-04-14,12:00,11,70,180,265,8,0.1
2017-04-14,15:00,11,79,199,280,7,0.4
2017-04-14,18:00,9,83,83,290,7,0
2017-04-14,21:00,8,81,10,305,6,0.2
2017-04-15,00:00,6,82,0,295,7,0
2017-04-15,03:00,4,82,0,275,5,0
2017-04-15,06:00,4,83,2,270,6,0
2017-04-15,09:00,8,65,250,305,8,0
2017-04-15,12:00,10,52,419,300,8,0
2017-04-15,15:00,10,54,352,295,8,0
2017-04-15,18:00,9,63,162,300,6,0
2017-04-15,21:00,7,73,19,285,4,0
2017-04-16,00:00,5,84,0,265,4,0
2017-04-16,03:00,3,89,0,235,4,0
2017-04-16,06:00,2,93,2,225,5,0
2017-04-16,09:00,9,72,257,230,5,0
2017-04-16,12:00,13,62,559,245,10,0
2017-04-16,15:00,15,57,441,250,11,0
2017-04-16,18:00,14,60,298,260,9,0
2017-04-16,21:00,10,79,28,270,7,0
2017-04-17,00:00,8,87,0,255,6,0
