Location OakPark 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.891W 
Based on ECMWF analysis of  00Z on Wednesday 24/01/2018
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-01-24,06:00,7,82,0,220,15,4
2018-01-24,09:00,6,74,3,220,14,0.1
2018-01-24,12:00,8,69,174,230,14,0
2018-01-24,15:00,8,70,211,230,12,0.2
2018-01-24,18:00,6,67,43,215,12,0
2018-01-24,21:00,6,70,0,215,11,0
2018-01-25,00:00,5,70,0,220,11,0
2018-01-25,03:00,4,75,0,210,11,0
2018-01-25,06:00,4,79,0,210,12,0
2018-01-25,09:00,5,75,3,220,13,0
2018-01-25,12:00,7,73,135,250,14,0
2018-01-25,15:00,7,74,177,270,11,0.2
2018-01-25,18:00,5,83,37,270,10,0
2018-01-25,21:00,6,76,0,305,12,0
2018-01-26,00:00,5,83,0,320,11,0
2018-01-26,03:00,4,89,0,315,9,0
2018-01-26,06:00,3,92,0,315,7,0
2018-01-26,09:00,2,94,4,300,5,0
2018-01-26,12:00,7,80,198,280,5,0
2018-01-26,15:00,7,76,251,260,4,0
2018-01-26,18:00,5,87,28,215,5,0
2018-01-26,21:00,5,83,0,195,7,0.7
2018-01-27,00:00,6,90,0,195,10,2.4
2018-01-27,03:00,7,96,0,195,9,0.2
2018-01-27,06:00,9,97,0,190,9,2.7
2018-01-27,09:00,10,96,0,225,10,1.6
2018-01-27,12:00,12,94,14,245,11,0.1
2018-01-27,15:00,12,89,85,250,11,0
2018-01-27,18:00,11,89,27,245,10,0
2018-01-27,21:00,11,90,0,240,10,0
2018-01-28,00:00,11,93,0,245,10,0
2018-01-28,03:00,11,95,0,240,9,0
2018-01-28,06:00,12,92,0,230,11,0
2018-01-28,09:00,12,88,1,240,13,0
2018-01-28,12:00,13,84,67,240,14,0.1
2018-01-28,15:00,13,82,130,235,13,0.1
2018-01-28,18:00,12,79,28,240,14,0
2018-01-28,21:00,11,78,0,235,15,0
2018-01-29,00:00,12,77,0,235,14,0
