Location OakPark 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.891W 
Based on ECMWF analysis of  00Z on Tuesday 19/06/2018
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-06-19,06:00,11,88,12,220,2,0.1
2018-06-19,09:00,13,76,140,145,5,0.1
2018-06-19,12:00,16,80,226,180,9,0.1
2018-06-19,15:00,21,69,426,210,13,0.2
2018-06-19,18:00,19,75,442,200,12,0.1
2018-06-19,21:00,16,89,130,205,11,0
2018-06-20,00:00,15,91,0,205,11,0.1
2018-06-20,03:00,15,89,0,220,11,0
2018-06-20,06:00,16,83,20,260,10,0.1
2018-06-20,09:00,14,69,254,330,10,0
2018-06-20,12:00,15,61,534,325,9,0
2018-06-20,15:00,16,54,719,315,8,0
2018-06-20,18:00,16,51,417,315,8,0
2018-06-20,21:00,13,56,71,310,7,0
2018-06-21,00:00,10,73,0,310,7,0
2018-06-21,03:00,8,81,0,310,7,0
2018-06-21,06:00,9,78,52,315,6,0
2018-06-21,09:00,12,60,419,345,8,0
2018-06-21,12:00,14,51,589,345,8,0
2018-06-21,15:00,15,48,630,345,8,0
2018-06-21,18:00,15,48,425,350,8,0
2018-06-21,21:00,12,58,103,345,4,0
2018-06-22,00:00,9,72,0,350,5,0
2018-06-22,03:00,7,88,0,345,4,0
2018-06-22,06:00,8,83,51,350,4,0
2018-06-22,09:00,13,61,451,0,4,0
2018-06-22,12:00,16,52,855,355,3,0
2018-06-22,15:00,18,49,917,350,2,0
2018-06-22,18:00,18,49,583,10,2,0
2018-06-22,21:00,12,79,122,170,5,0
2018-06-23,00:00,9,93,0,190,3,0
2018-06-23,03:00,8,95,0,195,3,0
2018-06-23,06:00,10,92,48,190,1,0
2018-06-23,09:00,16,70,414,200,2,0
2018-06-23,12:00,19,53,722,245,4,0
2018-06-23,15:00,20,47,782,245,4,0
2018-06-23,18:00,20,47,466,260,4,0
2018-06-23,21:00,15,77,120,220,4,0
2018-06-24,00:00,12,87,0,235,3,0
