Location OakPark 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.89W 
Based on ECMWF analysis of  00Z on Friday 19/04/2019
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-04-19,06:00,9,90,4,125,5,0
2019-04-19,09:00,15,73,277,130,4,0
2019-04-19,12:00,18,54,566,145,5,0
2019-04-19,15:00,19,50,706,180,5,0
2019-04-19,18:00,17,69,334,165,3,0
2019-04-19,21:00,11,88,30,195,3,0
2019-04-20,00:00,9,93,0,220,3,0
2019-04-20,03:00,9,85,0,215,2,0
2019-04-20,06:00,8,85,4,290,1,0
2019-04-20,09:00,15,66,283,295,0,0
2019-04-20,12:00,19,49,660,180,1,0
2019-04-20,15:00,21,49,718,200,2,0
2019-04-20,18:00,18,70,307,190,4,0
2019-04-20,21:00,13,88,28,200,3,0
2019-04-21,00:00,11,90,0,190,2,0
2019-04-21,03:00,8,91,0,205,3,0
2019-04-21,06:00,8,89,5,205,4,0
2019-04-21,09:00,15,65,260,200,5,0
2019-04-21,12:00,18,53,633,195,8,0
2019-04-21,15:00,19,52,758,195,9,0
2019-04-21,18:00,16,61,436,190,8,0
2019-04-21,21:00,10,82,41,180,7,0
2019-04-22,00:00,9,86,0,170,6,0
2019-04-22,03:00,9,82,0,160,8,0
2019-04-22,06:00,9,90,6,150,7,0
2019-04-22,09:00,14,72,306,145,9,0
2019-04-22,12:00,17,60,732,145,10,0
2019-04-22,15:00,17,59,790,140,10,0
2019-04-22,18:00,14,75,371,130,7,0.1
2019-04-22,21:00,12,85,9,135,6,0.3
2019-04-23,00:00,10,91,0,125,4,0
2019-04-23,03:00,10,92,0,60,4,0.4
2019-04-23,06:00,11,85,4,85,5,0
2019-04-23,09:00,14,82,121,85,7,0.4
2019-04-23,12:00,17,72,483,110,8,0.4
2019-04-23,15:00,17,68,669,135,10,0
2019-04-23,18:00,16,77,355,120,7,0.4
2019-04-23,21:00,12,93,24,100,5,0.7
2019-04-24,00:00,11,93,0,95,5,0
