Location OakPark 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.89W 
Based on ECMWF analysis of  00Z on Monday 05/08/2019
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-08-05,06:00,12,94,15,210,6,0
2019-08-05,09:00,16,75,283,230,9,0
2019-08-05,12:00,19,60,543,225,10,0.5
2019-08-05,15:00,19,61,521,215,10,0.4
2019-08-05,18:00,18,65,324,225,9,0
2019-08-05,21:00,15,77,56,205,8,0
2019-08-06,00:00,13,89,0,200,9,0.1
2019-08-06,03:00,13,89,0,205,9,1.4
2019-08-06,06:00,13,93,12,215,8,0.7
2019-08-06,09:00,16,81,271,235,9,0.2
2019-08-06,12:00,18,64,594,245,10,0.2
2019-08-06,15:00,18,65,646,250,11,0.2
2019-08-06,18:00,17,77,359,255,8,0.8
2019-08-06,21:00,14,87,57,245,8,0.2
2019-08-07,00:00,14,90,0,245,8,0
2019-08-07,03:00,13,90,0,250,7,0
2019-08-07,06:00,13,90,8,240,8,0
2019-08-07,09:00,15,79,146,250,10,0
2019-08-07,12:00,18,79,505,255,10,0.7
2019-08-07,15:00,18,79,594,275,9,2.6
2019-08-07,18:00,17,71,344,265,8,0.8
2019-08-07,21:00,14,81,56,255,5,0
2019-08-08,00:00,12,87,0,245,5,0
2019-08-08,03:00,11,96,0,230,4,0
2019-08-08,06:00,11,94,9,225,4,0
2019-08-08,09:00,16,76,250,215,3,0
2019-08-08,12:00,18,61,459,155,4,0
2019-08-08,15:00,20,52,607,155,6,0
2019-08-08,18:00,17,63,428,140,6,0
2019-08-08,21:00,15,82,41,95,8,0
2019-08-09,00:00,14,93,0,90,10,5
2019-08-09,03:00,15,95,0,100,13,6.1
2019-08-09,06:00,15,97,3,105,10,2.5
2019-08-09,09:00,18,93,82,195,12,1.3
2019-08-09,12:00,20,70,591,200,15,0.1
2019-08-09,15:00,18,86,549,185,12,1.2
2019-08-09,18:00,17,94,184,160,9,2.6
2019-08-09,21:00,16,94,38,135,6,2.1
2019-08-10,00:00,16,97,0,175,4,2.2
