Location OakPark 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.89W 
Based on ECMWF analysis of  00Z on Thursday 10/10/2019
Forecast Interval 3 hour, starting from T+06
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 3 hours); [Joules/cm2/3-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 3 hours); [mm/3-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-10-10,06:00,10,86,0,230,9,0
2019-10-10,09:00,11,82,17,195,9,0.1
2019-10-10,12:00,16,69,308,235,14,0
2019-10-10,15:00,17,66,348,225,14,0
2019-10-10,18:00,14,89,53,235,12,1.2
2019-10-10,21:00,12,85,0,215,11,0
2019-10-11,00:00,13,86,0,225,11,0.4
2019-10-11,03:00,12,91,0,220,10,1.3
2019-10-11,06:00,11,94,0,235,4,2.4
2019-10-11,09:00,11,89,56,245,8,0
2019-10-11,12:00,13,69,335,245,12,0
2019-10-11,15:00,13,61,329,250,11,0
2019-10-11,18:00,11,75,79,245,6,0
2019-10-11,21:00,10,80,0,230,5,0
2019-10-12,00:00,9,89,0,225,6,0
2019-10-12,03:00,8,95,0,215,5,0
2019-10-12,06:00,7,97,0,225,5,0
2019-10-12,09:00,10,89,89,225,5,0
2019-10-12,12:00,13,68,429,225,5,0
2019-10-12,15:00,14,59,330,220,6,0
2019-10-12,18:00,11,83,48,175,5,0
2019-10-12,21:00,9,93,0,175,4,0
2019-10-13,00:00,8,95,0,170,3,0
2019-10-13,03:00,9,95,0,180,3,0.6
2019-10-13,06:00,8,96,0,180,4,0
2019-10-13,09:00,10,90,68,175,6,0
2019-10-13,12:00,13,80,355,205,9,0.1
2019-10-13,15:00,12,76,347,225,9,0.8
2019-10-13,18:00,9,81,111,205,4,0
2019-10-13,21:00,7,91,0,180,5,0
2019-10-14,00:00,8,87,0,135,6,0.1
2019-10-14,03:00,9,93,0,110,7,0.7
2019-10-14,06:00,10,94,0,150,7,6.1
2019-10-14,09:00,11,90,67,150,3,0
2019-10-14,12:00,13,72,327,265,0,0
2019-10-14,15:00,12,79,365,310,9,1.6
2019-10-14,18:00,10,89,97,305,10,0.3
2019-10-14,21:00,10,85,0,305,10,0
2019-10-15,00:00,7,92,0,285,6,0
