"Location Dunsany 53.5N 6.7W "
"Nearest Gridpoint used 53.533N  6.68W "
"Based on ECMWF analysis of  00Z on Monday 10/04/2017"
"Forecast Interval 6 hour, starting from T+12"
"Day ; Date ; [dd-mm-yyyy]"
"Hour ; Hour ; [HH:MM"
"Temp ;  Temperature ;  [oC]"
"RelHum ; Relative Humidity ; [%]"
"WDir ; Wind Direction ; [Degrees True]"
"WSpd ; Wind Speed ; [Kt]"
"SolRad ; Surface Solar Radiation Downwards ; [Joules/cm2/6-hour]"
"Rain ; Precipitation ; [mm/6-hour]"
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
"10-04-2017","12:00",11,51,752,315,9,0
"10-04-2017","18:00",9,58,646,310,7,0
"11-04-2017","00:00",5,79,11,275,5,0
"11-04-2017","06:00",4,89,1,245,7,0
"11-04-2017","12:00",11,62,664,260,11,0
"11-04-2017","18:00",10,67,728,265,11,0
"12-04-2017","00:00",8,83,11,255,10,0
"12-04-2017","06:00",8,79,1,260,11,0
"12-04-2017","12:00",11,80,247,270,11,.1
"12-04-2017","18:00",9,64,361,300,9,.5
"13-04-2017","00:00",5,81,17,275,6,0
"13-04-2017","06:00",5,87,1,265,6,0
"13-04-2017","12:00",10,62,686,270,7,0
"13-04-2017","18:00",9,80,498,220,7,0
"14-04-2017","00:00",8,91,5,240,6,.1
"14-04-2017","06:00",8,90,1,240,8,.1
"14-04-2017","12:00",12,63,386,240,9,.3
"14-04-2017","18:00",11,64,347,250,10,.2
"15-04-2017","00:00",7,91,12,260,8,1.7
"15-04-2017","06:00",4,85,3,270,8,.2
"15-04-2017","12:00",10,47,809,305,14,.1
"15-04-2017","18:00",9,55,676,300,9,.2
"16-04-2017","00:00",4,85,28,270,8,0
"16-04-2017","06:00",4,85,3,250,8,0
"16-04-2017","12:00",10,78,297,240,13,.3
"16-04-2017","18:00",10,71,556,285,14,1.2
"17-04-2017","00:00",7,82,13,300,8,.2
"17-04-2017","06:00",4,96,3,295,4,.1
"17-04-2017","12:00",10,56,754,305,6,0
"17-04-2017","18:00",11,67,521,245,4,0
"18-04-2017","00:00",6,81,11,240,7,0
"18-04-2017","06:00",7,82,2,215,10,0
"18-04-2017","12:00",11,71,345,250,15,.1
"18-04-2017","18:00",10,60,519,260,12,1.3
"19-04-2017","00:00",7,76,28,265,12,0
"19-04-2017","06:00",6,83,4,285,10,0
"19-04-2017","12:00",10,51,775,345,17,.5
"19-04-2017","18:00",9,57,932,10,13,2.4
"20-04-2017","00:00",5,64,25,10,11,0
