Location Dunsany 53.5N 6.7W 
Nearest Gridpoint used 53.533N  6.68W 
Based on ECMWF analysis of  00Z on Thursday 22/06/2017
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-06-22,12:00,16,58,777,275,8,0.1
2017-06-22,18:00,18,61,1410,265,9,0
2017-06-23,00:00,14,76,117,230,8,0
2017-06-23,06:00,13,81,13,220,12,1.2
2017-06-23,12:00,16,85,200,235,12,0.9
2017-06-23,18:00,16,75,361,260,8,0.2
2017-06-24,00:00,13,80,30,265,7,0.1
2017-06-24,06:00,11,81,38,265,9,0.2
2017-06-24,12:00,14,60,749,265,12,0
2017-06-24,18:00,14,57,724,280,13,0
2017-06-25,00:00,11,68,62,270,10,0
2017-06-25,06:00,11,71,28,250,8,0
2017-06-25,12:00,13,59,720,255,10,0
2017-06-25,18:00,13,72,362,300,3,0.1
2017-06-26,00:00,11,92,13,80,3,2.1
2017-06-26,06:00,11,90,10,65,7,2.8
2017-06-26,12:00,12,84,155,60,7,0.6
2017-06-26,18:00,12,85,228,50,9,1.3
2017-06-27,00:00,11,87,37,5,5,0.1
2017-06-27,06:00,11,86,11,355,5,0.1
2017-06-27,12:00,13,79,217,35,5,0.9
2017-06-27,18:00,13,86,276,55,5,1.6
2017-06-28,00:00,10,94,31,20,3,0
2017-06-28,06:00,11,93,32,345,2,0
2017-06-28,12:00,15,76,571,30,2,1.2
2017-06-28,18:00,13,83,593,180,4,10.3
2017-06-29,00:00,9,98,41,200,3,1.8
2017-06-29,06:00,10,96,33,310,1,0.2
2017-06-29,12:00,15,71,968,65,3,1.8
2017-06-29,18:00,14,75,868,110,5,6.1
2017-06-30,00:00,9,94,107,55,4,1.4
2017-06-30,06:00,10,90,45,15,6,0
2017-06-30,12:00,15,76,877,65,6,1.3
2017-06-30,18:00,14,58,1027,15,5,0.4
2017-07-01,00:00,11,85,48,335,5,0.2
2017-07-01,06:00,9,87,51,305,7,0.4
2017-07-01,12:00,15,53,967,345,9,0.6
2017-07-01,18:00,14,56,902,325,9,0.4
2017-07-02,00:00,9,82,95,295,6,0
