Location Dunsany 53.5N 6.7W 
Nearest Gridpoint used 53.533N  6.68W 
Based on ECMWF analysis of  00Z on Saturday 16/09/2017
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-09-16,12:00,12,66,447,355,8,0
2017-09-16,18:00,9,89,227,0,5,4
2017-09-17,00:00,8,94,1,15,6,1.2
2017-09-17,06:00,8,95,0,10,6,0
2017-09-17,12:00,14,68,547,40,6,0.1
2017-09-17,18:00,13,76,597,350,4,0.2
2017-09-18,00:00,9,87,3,335,4,0
2017-09-18,06:00,6,96,0,305,4,0
2017-09-18,12:00,14,61,682,305,6,0
2017-09-18,18:00,13,65,648,320,5,0
2017-09-19,00:00,10,87,2,265,4,0
2017-09-19,06:00,6,98,0,195,3,0
2017-09-19,12:00,14,67,493,190,6,0
2017-09-19,18:00,14,79,387,185,8,0
2017-09-20,00:00,12,92,1,190,10,0
2017-09-20,06:00,12,86,0,185,11,0
2017-09-20,12:00,18,81,277,195,15,0.6
2017-09-20,18:00,16,89,498,185,13,0
2017-09-21,00:00,16,92,1,180,11,0.2
2017-09-21,06:00,14,97,0,165,6,6.8
2017-09-21,12:00,16,75,333,235,6,1.2
2017-09-21,18:00,14,75,568,200,3,0.1
2017-09-22,00:00,11,97,1,250,5,0
2017-09-22,06:00,11,96,0,285,7,0.3
2017-09-22,12:00,13,80,288,295,9,0.3
2017-09-22,18:00,13,71,525,275,6,0.1
2017-09-23,00:00,7,83,1,185,5,0
2017-09-23,06:00,11,88,0,175,10,0
2017-09-23,12:00,15,87,136,175,13,1.1
2017-09-23,18:00,15,96,92,195,10,2.7
2017-09-24,00:00,10,96,0,245,6,0
2017-09-24,06:00,9,97,0,255,5,0
2017-09-24,12:00,15,74,507,270,5,0
2017-09-24,18:00,14,75,491,335,3,0
2017-09-25,00:00,11,87,0,300,0,0
2017-09-25,06:00,8,96,0,50,3,0
2017-09-25,12:00,17,66,644,100,4,0
2017-09-25,18:00,13,79,773,85,5,0
2017-09-26,00:00,10,99,0,95,4,0
