Location Dunsany 53.5N 6.7W 
Nearest Gridpoint used 53.533N  6.68W 
Based on ECMWF analysis of  00Z on Tuesday 29/05/2018
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-05-29,12:00,19,68,1104,60,8,0
2018-05-29,18:00,18,72,1376,55,8,0
2018-05-30,00:00,12,94,115,75,6,0
2018-05-30,06:00,12,92,42,50,7,0
2018-05-30,12:00,18,64,1022,45,8,0
2018-05-30,18:00,17,67,1427,65,7,0
2018-05-31,00:00,14,86,108,65,3,0
2018-05-31,06:00,14,95,17,105,2,2.3
2018-05-31,12:00,18,77,414,155,2,0.2
2018-05-31,18:00,19,76,545,90,4,0.3
2018-06-01,00:00,12,99,87,95,4,0
2018-06-01,06:00,13,96,17,80,4,0
2018-06-01,12:00,17,86,619,70,5,1.4
2018-06-01,18:00,18,84,897,120,4,1.9
2018-06-02,00:00,15,93,71,195,4,0.1
2018-06-02,06:00,13,96,27,225,4,0
2018-06-02,12:00,19,66,711,75,3,0
2018-06-02,18:00,19,62,1014,95,4,0
2018-06-03,00:00,14,87,96,215,5,0
2018-06-03,06:00,12,97,45,355,2,0
2018-06-03,12:00,20,61,1208,75,6,0
2018-06-03,18:00,16,83,1136,65,7,0
2018-06-04,00:00,13,95,57,75,8,0
2018-06-04,06:00,13,91,24,75,9,0
2018-06-04,12:00,17,77,572,85,10,0
2018-06-04,18:00,16,83,699,80,6,0
2018-06-05,00:00,14,98,38,110,2,0.9
2018-06-05,06:00,13,96,12,215,2,0
2018-06-05,12:00,20,62,869,135,7,0.1
2018-06-05,18:00,18,62,1244,185,10,0.2
2018-06-06,00:00,12,91,107,180,7,0
2018-06-06,06:00,13,86,27,145,6,0
2018-06-06,12:00,17,72,582,180,9,0
2018-06-06,18:00,17,73,483,180,7,0.1
2018-06-07,00:00,13,90,30,165,6,0
2018-06-07,06:00,13,86,38,170,3,0
2018-06-07,12:00,19,59,795,195,10,0.1
2018-06-07,18:00,18,69,1035,200,11,0
2018-06-08,00:00,13,88,89,180,8,0
