Location Dunsany 53.5N 6.7W 
Nearest Gridpoint used 53.533N  6.68W 
Based on ECMWF analysis of  00Z on Monday 03/06/2019
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-06-03,12:00,14,55,835,235,12,0.3
2019-06-03,18:00,13,62,939,265,7,0.5
2019-06-04,00:00,9,92,53,180,3,0.3
2019-06-04,06:00,9,95,6,20,4,5.1
2019-06-04,12:00,11,92,261,340,7,7.1
2019-06-04,18:00,10,93,319,335,8,2.5
2019-06-05,00:00,8,92,28,310,9,1.8
2019-06-05,06:00,8,93,52,285,7,0
2019-06-05,12:00,12,61,901,310,6,0.5
2019-06-05,18:00,12,67,973,315,5,0.7
2019-06-06,00:00,8,84,76,10,5,0.1
2019-06-06,06:00,7,86,40,340,3,0
2019-06-06,12:00,15,43,1118,270,4,0
2019-06-06,18:00,13,61,982,190,4,0.1
2019-06-07,00:00,8,94,84,265,3,1.8
2019-06-07,06:00,8,93,39,245,3,1.1
2019-06-07,12:00,14,51,1060,245,3,0.3
2019-06-07,18:00,13,63,1085,265,5,0.1
2019-06-08,00:00,8,93,108,260,6,0
2019-06-08,06:00,8,91,51,280,5,0
2019-06-08,12:00,14,54,1037,315,3,0.3
2019-06-08,18:00,12,74,1016,5,5,0.9
2019-06-09,00:00,9,83,91,350,6,0.2
2019-06-09,06:00,8,89,48,325,8,0
2019-06-09,12:00,14,53,1025,325,10,0.4
2019-06-09,18:00,12,60,1054,315,11,0.3
2019-06-10,00:00,8,84,113,270,9,0
2019-06-10,06:00,9,87,29,255,9,0.5
2019-06-10,12:00,11,87,301,275,8,3.1
2019-06-10,18:00,12,83,828,275,8,1.7
2019-06-11,00:00,10,91,50,300,10,1.2
2019-06-11,06:00,9,86,8,300,11,0.5
2019-06-11,12:00,12,55,996,305,14,0.5
2019-06-11,18:00,10,69,996,300,13,2
2019-06-12,00:00,9,82,34,285,8,0
2019-06-12,06:00,8,83,19,245,5,0
2019-06-12,12:00,11,75,353,185,8,1.1
2019-06-12,18:00,14,65,494,275,13,1.1
2019-06-13,00:00,10,74,132,275,9,0
