"Location Gurteen 53.03N 8.01W "
"Nearest Gridpoint used 53.04N  8.016W "
"Based on ECMWF analysis of  00Z on Monday 10/04/2017"
"Forecast Interval 6 hour, starting from T+12"
"Day ; Date ; [dd-mm-yyyy]"
"Hour ; Hour ; [HH:MM"
"Temp ;  Temperature ;  [oC]"
"RelHum ; Relative Humidity ; [%]"
"WDir ; Wind Direction ; [Degrees True]"
"WSpd ; Wind Speed ; [Kt]"
"SolRad ; Surface Solar Radiation Downwards ; [Joules/cm2/6-hour]"
"Rain ; Precipitation ; [mm/6-hour]"
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
"10-04-2017","12:00",10,56,600,330,9,0
"10-04-2017","18:00",9,60,521,315,5,0
"11-04-2017","00:00",6,80,11,270,4,0
"11-04-2017","06:00",5,92,0,240,5,0
"11-04-2017","12:00",11,62,609,265,10,0
"11-04-2017","18:00",10,69,748,275,11,0
"12-04-2017","00:00",8,86,15,260,7,0
"12-04-2017","06:00",9,85,0,275,10,0
"12-04-2017","12:00",11,80,341,260,10,0
"12-04-2017","18:00",10,69,405,305,8,.4
"13-04-2017","00:00",7,77,17,275,5,0
"13-04-2017","06:00",6,85,1,245,4,0
"13-04-2017","12:00",9,76,237,205,3,0
"13-04-2017","18:00",11,81,189,250,6,.2
"14-04-2017","00:00",9,92,15,235,7,.6
"14-04-2017","06:00",7,95,1,235,5,.1
"14-04-2017","12:00",12,65,433,245,10,.2
"14-04-2017","18:00",10,80,440,250,8,.2
"15-04-2017","00:00",8,92,14,275,9,1.4
"15-04-2017","06:00",5,82,2,270,8,.1
"15-04-2017","12:00",10,53,746,310,12,0
"15-04-2017","18:00",9,59,698,290,10,.1
"16-04-2017","00:00",5,86,28,260,5,0
"16-04-2017","06:00",6,80,1,245,7,0
"16-04-2017","12:00",10,84,251,245,12,.2
"16-04-2017","18:00",9,68,548,285,14,.8
"17-04-2017","00:00",7,85,17,295,9,0
"17-04-2017","06:00",6,92,2,290,5,0
"17-04-2017","12:00",11,55,705,280,6,.5
"17-04-2017","18:00",11,62,513,260,7,0
"18-04-2017","00:00",6,84,22,225,6,0
"18-04-2017","06:00",7,83,2,215,9,0
"18-04-2017","12:00",11,75,305,245,12,.2
"18-04-2017","18:00",9,68,539,270,11,.7
"19-04-2017","00:00",6,81,34,275,10,0
"19-04-2017","06:00",6,78,2,300,11,0
"19-04-2017","12:00",11,50,764,340,16,.5
"19-04-2017","18:00",9,62,956,15,13,.6
"20-04-2017","00:00",5,72,31,10,9,0
