Location Gurteen 53.03N 8.01W 
Nearest Gridpoint used 53.04N  8.016W 
Based on ECMWF analysis of  00Z on Monday 27/11/2017
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-11-27,12:00,7,83,62,280,11,1.3
2017-11-27,18:00,5,82,97,275,11,0.6
2017-11-28,00:00,5,85,0,305,9,0
2017-11-28,06:00,3,88,0,300,8,0
2017-11-28,12:00,6,77,173,325,10,0
2017-11-28,18:00,3,87,227,320,7,0
2017-11-29,00:00,2,85,0,330,6,0
2017-11-29,06:00,1,88,0,325,6,0
2017-11-29,12:00,5,76,172,335,8,0
2017-11-29,18:00,2,91,224,315,6,0
2017-11-30,00:00,2,92,0,300,6,0
2017-11-30,06:00,4,86,0,315,8,0.1
2017-11-30,12:00,6,76,130,300,9,0
2017-11-30,18:00,5,83,73,335,9,0.4
2017-12-01,00:00,2,86,0,335,7,0
2017-12-01,06:00,0,84,0,345,3,0
2017-12-01,12:00,5,74,144,335,4,0
2017-12-01,18:00,2,86,188,345,4,0
2017-12-02,00:00,1,91,0,265,4,0
2017-12-02,06:00,5,93,0,310,3,0.7
2017-12-02,12:00,7,91,99,300,4,0
2017-12-02,18:00,5,93,128,270,3,0
2017-12-03,00:00,5,94,0,285,4,0
2017-12-03,06:00,4,90,0,270,4,0
2017-12-03,12:00,8,94,18,275,5,1.3
2017-12-03,18:00,7,98,22,285,4,0.4
2017-12-04,00:00,5,100,0,250,3,0
2017-12-04,06:00,6,99,0,255,6,0
2017-12-04,12:00,8,91,65,260,8,0
2017-12-04,18:00,7,94,79,265,7,0
2017-12-05,00:00,7,94,0,245,7,0
2017-12-05,06:00,7,94,0,240,7,0
2017-12-05,12:00,9,90,68,245,10,0.6
2017-12-05,18:00,8,88,78,240,11,0.8
2017-12-06,00:00,8,93,0,230,10,3.5
2017-12-06,06:00,4,95,0,335,6,8.799999
2017-12-06,12:00,3,86,55,345,7,2.4
2017-12-06,18:00,1,82,168,330,8,0.3
2017-12-07,00:00,1,85,0,320,11,0
