"Location Enniscorthy 52.51N 6.56W "
"Nearest Gridpoint used 52.478N  6.539W "
"Based on ECMWF analysis of  00Z on Monday 10/04/2017"
"Forecast Interval 6 hour, starting from T+12"
"Day ; Date ; [dd-mm-yyyy]"
"Hour ; Hour ; [HH:MM"
"Temp ;  Temperature ;  [oC]"
"RelHum ; Relative Humidity ; [%]"
"WDir ; Wind Direction ; [Degrees True]"
"WSpd ; Wind Speed ; [Kt]"
"SolRad ; Surface Solar Radiation Downwards ; [Joules/cm2/6-hour]"
"Rain ; Precipitation ; [mm/6-hour]"
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
"10-04-2017","12:00",11,54,745,330,8,0
"10-04-2017","18:00",10,56,622,325,6,0
"11-04-2017","00:00",5,79,14,310,4,0
"11-04-2017","06:00",3,91,1,270,5,0
"11-04-2017","12:00",11,61,716,275,8,0
"11-04-2017","18:00",12,64,985,285,8,0
"12-04-2017","00:00",6,87,26,255,7,0
"12-04-2017","06:00",7,87,1,250,8,0
"12-04-2017","12:00",13,65,645,290,10,0
"12-04-2017","18:00",13,72,517,300,7,.1
"13-04-2017","00:00",7,89,19,325,3,0
"13-04-2017","06:00",4,89,2,290,5,0
"13-04-2017","12:00",10,61,635,270,5,0
"13-04-2017","18:00",10,82,364,235,6,0
"14-04-2017","00:00",9,94,5,260,5,0
"14-04-2017","06:00",8,90,1,250,4,0
"14-04-2017","12:00",12,70,414,235,9,.1
"14-04-2017","18:00",11,83,376,225,10,.6
"15-04-2017","00:00",9,87,6,275,7,.3
"15-04-2017","06:00",5,76,3,290,6,0
"15-04-2017","12:00",11,48,976,305,11,0
"15-04-2017","18:00",11,48,642,300,8,0
"16-04-2017","00:00",5,82,21,290,8,0
"16-04-2017","06:00",4,86,3,250,7,0
"16-04-2017","12:00",12,59,658,270,16,.1
"16-04-2017","18:00",11,63,518,280,15,.2
"17-04-2017","00:00",7,80,18,280,8,0
"17-04-2017","06:00",5,93,3,285,6,0
"17-04-2017","12:00",12,55,638,310,6,.1
"17-04-2017","18:00",12,59,511,240,4,0
"18-04-2017","00:00",5,95,14,260,4,0
"18-04-2017","06:00",5,88,3,240,6,0
"18-04-2017","12:00",12,68,621,235,12,0
"18-04-2017","18:00",10,66,462,285,11,.5
"19-04-2017","00:00",6,80,31,275,10,0
"19-04-2017","06:00",6,82,5,285,9,0
"19-04-2017","12:00",11,51,826,335,14,.1
"19-04-2017","18:00",8,76,1018,350,7,2.9
"20-04-2017","00:00",6,60,31,5,10,0
