Location Enniscorthy 52.51N 6.56W 
Nearest Gridpoint used 52.478N  6.539W 
Based on ECMWF analysis of  00Z on Tuesday 11/04/2017
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-04-11,12:00,12,62,790,280,9,0
2017-04-11,18:00,12,63,930,280,7,0
2017-04-12,00:00,6,84,25,255,7,0
2017-04-12,06:00,8,83,1,250,8,0
2017-04-12,12:00,12,69,494,290,12,0
2017-04-12,18:00,12,66,536,305,9,0.2
2017-04-13,00:00,5,86,20,255,3,0
2017-04-13,06:00,4,87,1,285,4,0
2017-04-13,12:00,10,57,657,285,5,0
2017-04-13,18:00,11,65,574,260,3,0
2017-04-14,00:00,6,90,11,260,4,0
2017-04-14,06:00,8,88,0,245,6,0.1
2017-04-14,12:00,14,63,428,275,10,0.2
2017-04-14,18:00,12,83,281,275,10,0.7
2017-04-15,00:00,8,82,5,295,8,0.3
2017-04-15,06:00,4,84,2,270,6,0
2017-04-15,12:00,11,52,800,300,9,0
2017-04-15,18:00,10,58,595,285,6,0
2017-04-16,00:00,6,74,18,275,5,0
2017-04-16,06:00,4,92,2,250,6,0
2017-04-16,12:00,13,64,552,265,11,0.2
2017-04-16,18:00,12,69,375,270,10,0.2
2017-04-17,00:00,9,79,15,290,9,0
2017-04-17,06:00,7,84,3,310,9,0
2017-04-17,12:00,11,55,869,350,11,0
2017-04-17,18:00,11,56,829,20,5,0
2017-04-18,00:00,4,81,22,355,5,0
2017-04-18,06:00,3,82,4,5,5,0
2017-04-18,12:00,10,51,998,80,7,0
2017-04-18,18:00,8,55,1073,65,7,0
2017-04-19,00:00,4,84,25,5,3,0
2017-04-19,06:00,2,84,4,350,4,0
2017-04-19,12:00,11,55,1047,80,5,0
2017-04-19,18:00,10,60,1222,115,4,0
2017-04-20,00:00,3,96,39,315,2,0
2017-04-20,06:00,1,97,5,310,3,0
2017-04-20,12:00,15,52,1012,45,4,0
2017-04-20,18:00,13,68,1020,180,3,0
2017-04-21,00:00,9,86,21,330,4,0
