Location JohnstownCastle 52.29N 6.5W 
Nearest Gridpoint used 52.337N  6.469W 
Based on ECMWF analysis of  00Z on Monday 11/06/2018
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-06-11,12:00,15,74,859,50,11,0
2018-06-11,18:00,14,72,1139,50,7,0
2018-06-12,00:00,13,80,70,350,4,0
2018-06-12,06:00,13,80,49,350,9,0
2018-06-12,12:00,16,74,1220,65,9,0
2018-06-12,18:00,15,73,1209,70,4,0.1
2018-06-13,00:00,13,87,77,10,2,0
2018-06-13,06:00,13,87,50,165,4,0
2018-06-13,12:00,16,74,965,220,12,0
2018-06-13,18:00,15,83,618,215,17,0.3
2018-06-14,00:00,15,92,19,210,25,2.8
2018-06-14,06:00,14,79,49,260,13,0.6
2018-06-14,12:00,18,50,1082,290,9,0.1
2018-06-14,18:00,17,61,1287,240,9,0
2018-06-15,00:00,12,70,128,295,5,0
2018-06-15,06:00,13,83,47,235,6,0
2018-06-15,12:00,14,77,722,210,16,1
2018-06-15,18:00,14,85,486,200,18,1.8
2018-06-16,00:00,13,76,42,250,15,0.2
2018-06-16,06:00,12,76,50,250,13,0
2018-06-16,12:00,16,54,1004,260,15,0.1
2018-06-16,18:00,17,55,1031,300,12,0
2018-06-17,00:00,11,76,95,275,8,0
2018-06-17,06:00,13,70,45,230,10,0
2018-06-17,12:00,14,80,398,205,21,0.1
2018-06-17,18:00,15,92,275,215,20,0.3
2018-06-18,00:00,15,94,38,220,19,0.3
2018-06-18,06:00,14,95,8,230,13,0.6
2018-06-18,12:00,15,78,425,220,11,0.8
2018-06-18,18:00,12,87,347,325,9,6.8
2018-06-19,00:00,9,90,31,290,5,0.5
2018-06-19,06:00,9,90,52,330,5,0
2018-06-19,12:00,13,69,1028,150,4,0
2018-06-19,18:00,13,69,1353,215,7,0
2018-06-20,00:00,11,83,69,230,4,0
2018-06-20,06:00,12,73,23,250,9,0
2018-06-20,12:00,14,69,643,225,17,0.2
2018-06-20,18:00,14,79,677,225,20,0.4
2018-06-21,00:00,14,86,85,230,18,0
