Location JohnstownCastle 52.29N 6.5W 
Nearest Gridpoint used 52.337N  6.469W 
Based on ECMWF analysis of  00Z on Friday 05/10/2018
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-10-05,12:00,11,83,164,20,11,1.1
2018-10-05,18:00,11,66,128,25,9,0.6
2018-10-06,00:00,10,63,0,355,9,0.5
2018-10-06,06:00,8,71,0,345,11,0
2018-10-06,12:00,11,56,476,0,14,0
2018-10-06,18:00,11,50,591,335,9,0
2018-10-07,00:00,6,78,0,310,6,0
2018-10-07,06:00,4,87,0,260,4,0
2018-10-07,12:00,13,63,419,230,17,0
2018-10-07,18:00,13,80,330,230,18,0
2018-10-08,00:00,14,86,0,230,17,0
2018-10-08,06:00,14,86,0,230,18,0
2018-10-08,12:00,15,82,446,225,20,0.7
2018-10-08,18:00,14,85,484,220,19,0.3
2018-10-09,00:00,14,85,0,215,20,0
2018-10-09,06:00,14,81,0,205,20,0
2018-10-09,12:00,15,79,469,200,21,0.4
2018-10-09,18:00,13,82,537,190,15,0.4
2018-10-10,00:00,14,91,0,180,16,0
2018-10-10,06:00,13,94,0,170,12,0.2
2018-10-10,12:00,16,86,460,170,14,0
2018-10-10,18:00,15,87,486,160,14,0
2018-10-11,00:00,15,94,0,165,16,0.2
2018-10-11,06:00,15,91,0,180,17,0.7
2018-10-11,12:00,11,67,201,300,13,0.1
2018-10-11,18:00,10,63,515,285,5,0
2018-10-12,00:00,7,78,0,130,5,0
2018-10-12,06:00,12,57,0,190,15,0
2018-10-12,12:00,14,66,353,185,22,0
2018-10-12,18:00,14,82,555,180,19,0
2018-10-13,00:00,13,87,0,175,17,0
2018-10-13,06:00,13,81,0,160,15,0
2018-10-13,12:00,15,73,495,175,19,0
2018-10-13,18:00,15,90,432,190,15,0.2
2018-10-14,00:00,13,99,0,0,2,0.1
2018-10-14,06:00,13,92,0,40,13,0.5
2018-10-14,12:00,15,86,292,45,11,0.1
2018-10-14,18:00,13,95,515,40,11,0
2018-10-15,00:00,13,94,0,60,4,0
