Location JohnstownCastle 52.29N 6.5W 
Nearest Gridpoint used 52.337N  6.469W 
Based on ECMWF analysis of  00Z on Sunday 16/12/2018
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-12-16,12:00,8,84,58,215,11,3.6
2018-12-16,18:00,7,88,111,255,7,0.1
2018-12-17,00:00,6,88,0,255,9,0
2018-12-17,06:00,9,74,0,215,13,0
2018-12-17,12:00,11,82,88,190,22,0
2018-12-17,18:00,12,84,68,190,25,0.6
2018-12-18,00:00,12,83,0,180,28,0.1
2018-12-18,06:00,11,87,0,165,32,2.6
2018-12-18,12:00,10,83,23,220,18,11.9
2018-12-18,18:00,9,77,95,220,15,0.1
2018-12-19,00:00,8,82,0,235,12,0.1
2018-12-19,06:00,9,67,0,225,15,0
2018-12-19,12:00,9,78,61,225,18,0.5
2018-12-19,18:00,9,75,110,235,18,0.2
2018-12-20,00:00,8,80,0,250,17,0
2018-12-20,06:00,8,82,0,255,13,0
2018-12-20,12:00,9,79,113,255,16,0
2018-12-20,18:00,8,87,168,260,9,0
2018-12-21,00:00,6,92,0,265,3,0
2018-12-21,06:00,9,84,0,165,9,0.2
2018-12-21,12:00,11,92,49,260,12,1.7
2018-12-21,18:00,10,92,193,240,15,0
2018-12-22,00:00,10,91,0,230,16,0.9
2018-12-22,06:00,9,91,0,250,13,0
2018-12-22,12:00,9,84,115,240,11,0
2018-12-22,18:00,10,87,160,220,14,0.2
2018-12-23,00:00,9,93,0,250,9,0.5
2018-12-23,06:00,8,94,0,235,5,0
2018-12-23,12:00,11,93,93,200,10,0
2018-12-23,18:00,11,97,99,170,11,2.5
2018-12-24,00:00,12,95,0,210,17,6.6
2018-12-24,06:00,12,94,0,210,21,3.4
2018-12-24,12:00,11,96,43,225,14,3.4
2018-12-24,18:00,11,96,74,220,12,0.1
2018-12-25,00:00,10,97,0,240,5,0.9
2018-12-25,06:00,9,98,0,275,3,1.8
2018-12-25,12:00,9,95,31,270,4,2.8
2018-12-25,18:00,8,93,62,270,4,1
2018-12-26,00:00,6,92,0,315,6,0
