Location JohnstownCastle 52.29N 6.5W 
Nearest Gridpoint used 52.337N  6.469W 
Based on ECMWF analysis of  00Z on Thursday 28/03/2019
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-03-28,12:00,10,81,668,215,8,0
2019-03-28,18:00,9,87,1039,235,10,0
2019-03-29,00:00,8,92,10,230,9,0
2019-03-29,06:00,8,91,0,235,8,0
2019-03-29,12:00,10,79,641,220,11,0
2019-03-29,18:00,8,83,780,225,10,0
2019-03-30,00:00,8,86,8,230,9,0
2019-03-30,06:00,6,90,0,280,6,0
2019-03-30,12:00,10,74,430,200,2,0
2019-03-30,18:00,9,80,650,45,7,0
2019-03-31,00:00,8,65,3,35,13,0.3
2019-03-31,06:00,5,73,0,15,12,0
2019-03-31,12:00,9,72,659,45,15,0
2019-03-31,18:00,9,76,659,40,11,0
2019-04-01,00:00,8,84,11,95,5,0
2019-04-01,06:00,8,75,0,135,8,0.2
2019-04-01,12:00,8,79,205,200,9,0.3
2019-04-01,18:00,9,70,350,305,7,0.4
2019-04-02,00:00,5,85,6,290,8,0
2019-04-02,06:00,3,87,0,285,10,0
2019-04-02,12:00,9,69,759,280,10,0
2019-04-02,18:00,8,62,866,320,12,0.6
2019-04-03,00:00,5,64,14,310,10,0
2019-04-03,06:00,4,71,0,325,10,0
2019-04-03,12:00,10,45,820,350,14,0
2019-04-03,18:00,9,49,750,350,12,0
2019-04-04,00:00,5,63,11,345,9,0
2019-04-04,06:00,2,73,0,350,9,0
2019-04-04,12:00,7,50,732,30,12,0
2019-04-04,18:00,7,59,811,25,14,0
2019-04-05,00:00,5,85,11,5,8,0
2019-04-05,06:00,3,88,0,340,11,0
2019-04-05,12:00,9,67,452,20,16,0
2019-04-05,18:00,8,70,659,15,11,0
2019-04-06,00:00,4,86,16,355,7,0
2019-04-06,06:00,1,92,0,345,3,0
2019-04-06,12:00,8,68,660,180,9,0
2019-04-06,18:00,8,82,730,130,7,0.7
2019-04-07,00:00,7,78,2,230,13,1.8
