"Location Fermoy 52.14N 8.27W "
"Nearest Gridpoint used 52.127N  8.297W "
"Based on ECMWF analysis of  00Z on Monday 10/04/2017"
"Forecast Interval 6 hour, starting from T+12"
"Day ; Date ; [dd-mm-yyyy]"
"Hour ; Hour ; [HH:MM"
"Temp ;  Temperature ;  [oC]"
"RelHum ; Relative Humidity ; [%]"
"WDir ; Wind Direction ; [Degrees True]"
"WSpd ; Wind Speed ; [Kt]"
"SolRad ; Surface Solar Radiation Downwards ; [Joules/cm2/6-hour]"
"Rain ; Precipitation ; [mm/6-hour]"
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
"10-04-2017","12:00",10,56,657,335,8,0
"10-04-2017","18:00",10,58,714,325,7,0
"11-04-2017","00:00",5,82,19,310,5,0
"11-04-2017","06:00",3,91,0,300,4,0
"11-04-2017","12:00",11,61,743,280,6,0
"11-04-2017","18:00",11,67,1084,305,8,0
"12-04-2017","00:00",6,85,24,250,5,0
"12-04-2017","06:00",7,82,0,265,7,0
"12-04-2017","12:00",13,66,607,305,10,0
"12-04-2017","18:00",11,79,541,315,8,.1
"13-04-2017","00:00",7,81,18,325,5,0
"13-04-2017","06:00",6,91,0,280,3,0
"13-04-2017","12:00",10,83,210,225,7,0
"13-04-2017","18:00",11,76,259,285,4,.4
"14-04-2017","00:00",8,92,15,230,5,0
"14-04-2017","06:00",8,93,0,240,5,.3
"14-04-2017","12:00",11,76,199,240,6,.4
"14-04-2017","18:00",11,74,384,230,7,.3
"15-04-2017","00:00",9,85,12,285,6,0
"15-04-2017","06:00",6,77,1,320,7,0
"15-04-2017","12:00",11,52,762,310,12,0
"15-04-2017","18:00",9,57,1007,315,11,0
"16-04-2017","00:00",5,79,33,280,6,0
"16-04-2017","06:00",5,85,2,240,7,0
"16-04-2017","12:00",11,67,532,260,14,0
"16-04-2017","18:00",10,72,483,300,14,.4
"17-04-2017","00:00",7,79,20,295,8,0
"17-04-2017","06:00",7,85,1,300,6,0
"17-04-2017","12:00",11,58,657,305,6,0
"17-04-2017","18:00",12,58,771,300,4,0
"18-04-2017","00:00",5,86,36,260,4,0
"18-04-2017","06:00",7,84,1,230,7,0
"18-04-2017","12:00",13,59,507,255,12,.1
"18-04-2017","18:00",8,68,310,305,12,.6
"19-04-2017","00:00",7,82,24,300,10,0
"19-04-2017","06:00",6,79,2,305,11,0
"19-04-2017","12:00",11,49,678,345,14,.1
"19-04-2017","18:00",10,55,1039,0,11,1.2
"20-04-2017","00:00",5,70,43,0,9,.1
