Location Fermoy 52.14N 8.27W 
Nearest Gridpoint used 52.127N  8.297W 
Based on ECMWF analysis of  00Z on Tuesday 11/04/2017
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-04-11,12:00,11,63,709,275,6,0
2017-04-11,18:00,11,68,1002,290,7,0
2017-04-12,00:00,7,80,27,270,6,0
2017-04-12,06:00,8,83,0,260,7,0
2017-04-12,12:00,12,70,506,300,11,0.1
2017-04-12,18:00,11,79,510,310,9,0.2
2017-04-13,00:00,7,78,24,310,5,0
2017-04-13,06:00,5,92,0,265,3,0
2017-04-13,12:00,10,67,377,280,7,0.3
2017-04-13,18:00,11,66,468,315,4,0.1
2017-04-14,00:00,7,91,19,250,4,0
2017-04-14,06:00,9,96,0,230,5,0
2017-04-14,12:00,13,73,316,270,7,0.4
2017-04-14,18:00,10,87,232,280,9,1
2017-04-15,00:00,6,94,10,315,6,0
2017-04-15,06:00,5,83,1,280,5,0
2017-04-15,12:00,10,57,550,305,8,0
2017-04-15,18:00,9,62,641,310,7,0
2017-04-16,00:00,6,84,12,270,5,0
2017-04-16,06:00,7,84,1,240,5,0
2017-04-16,12:00,12,65,528,275,11,0.3
2017-04-16,18:00,11,71,430,290,10,0.2
2017-04-17,00:00,8,80,21,315,10,0
2017-04-17,06:00,7,90,2,320,8,0
2017-04-17,12:00,11,62,682,350,9,0
2017-04-17,18:00,10,57,898,0,7,0
2017-04-18,00:00,5,76,27,10,5,0
2017-04-18,06:00,2,83,2,30,4,0
2017-04-18,12:00,10,47,995,115,6,0
2017-04-18,18:00,9,57,1013,160,6,0
2017-04-19,00:00,6,74,27,290,1,0
2017-04-19,06:00,3,84,2,10,3,0
2017-04-19,12:00,12,49,909,50,3,0
2017-04-19,18:00,10,62,809,175,5,0
2017-04-20,00:00,4,83,45,250,4,0
2017-04-20,06:00,2,93,3,315,4,0
2017-04-20,12:00,14,51,1000,20,4,0
2017-04-20,18:00,13,65,733,335,6,0
2017-04-21,00:00,7,93,30,335,5,0
