Location MoorePark 52.16N 8.26W 
Nearest Gridpoint used 52.127N  8.227W 
Based on ECMWF analysis of  00Z on Saturday 03/06/2017
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-06-03,12:00,15,53,1078,245,10,0.4
2017-06-03,18:00,14,57,1050,250,10,0.6
2017-06-04,00:00,8,88,101,215,6,0
2017-06-04,06:00,9,86,36,235,6,0
2017-06-04,12:00,14,55,948,255,9,0.5
2017-06-04,18:00,14,57,1061,225,10,0.1
2017-06-05,00:00,11,89,105,190,13,1.3
2017-06-05,06:00,12,96,4,225,10,4.8
2017-06-05,12:00,12,93,161,165,6,11.5
2017-06-05,18:00,10,89,154,320,14,19.6
2017-06-06,00:00,8,78,37,300,12,0.7
2017-06-06,06:00,9,84,33,290,10,0
2017-06-06,12:00,13,59,949,295,17,0.7
2017-06-06,18:00,13,67,1159,290,12,0.3
2017-06-07,00:00,9,88,77,270,7,0
2017-06-07,06:00,10,89,39,235,4,0
2017-06-07,12:00,13,69,841,165,8,0
2017-06-07,18:00,13,99,220,185,9,3.3
2017-06-08,00:00,12,97,27,220,7,0
2017-06-08,06:00,13,100,5,85,6,3.2
2017-06-08,12:00,16,75,395,245,2,9.799999
2017-06-08,18:00,12,95,481,210,9,8.3
2017-06-09,00:00,11,95,59,215,7,0.1
2017-06-09,06:00,11,94,15,280,5,0.2
2017-06-09,12:00,15,64,908,280,10,0.2
2017-06-09,18:00,16,57,867,270,5,0
2017-06-10,00:00,10,95,85,195,6,0
2017-06-10,06:00,12,93,5,125,13,1.8
2017-06-10,12:00,15,96,81,195,14,19.8
2017-06-10,18:00,15,82,483,205,18,1.3
2017-06-11,00:00,13,87,66,230,14,1.4
2017-06-11,06:00,12,85,18,260,17,0.6
2017-06-11,12:00,13,71,704,290,16,1
2017-06-11,18:00,13,56,833,280,11,0.1
2017-06-12,00:00,9,84,80,250,6,0
2017-06-12,06:00,10,78,43,265,7,0
2017-06-12,12:00,14,53,929,270,13,0.2
2017-06-12,18:00,14,65,664,275,10,0.3
2017-06-13,00:00,11,85,88,230,7,0
