Location MoorePark 52.16N 8.26W 
Nearest Gridpoint used 52.127N  8.227W 
Based on ECMWF analysis of  00Z on Monday 06/08/2018
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-08-06,12:00,20,71,589,255,7,0
2018-08-06,18:00,18,83,526,325,7,0.5
2018-08-07,00:00,14,87,21,315,5,0.2
2018-08-07,06:00,12,93,8,250,4,0
2018-08-07,12:00,17,55,603,250,6,0
2018-08-07,18:00,16,53,652,255,8,0
2018-08-08,00:00,12,79,63,215,6,0
2018-08-08,06:00,11,92,7,265,5,0
2018-08-08,12:00,16,68,821,295,6,0.3
2018-08-08,18:00,15,59,1019,300,7,2.4
2018-08-09,00:00,9,85,62,225,5,0
2018-08-09,06:00,8,93,8,240,5,0
2018-08-09,12:00,16,56,967,260,6,0.1
2018-08-09,18:00,15,60,977,265,7,1
2018-08-10,00:00,10,84,56,230,5,0
2018-08-10,06:00,10,94,7,215,6,0
2018-08-10,12:00,15,81,327,195,13,0.2
2018-08-10,18:00,15,95,241,200,15,9.8
2018-08-11,00:00,15,93,15,235,10,0.3
2018-08-11,06:00,13,88,3,220,9,0
2018-08-11,12:00,18,77,418,270,12,0.3
2018-08-11,18:00,17,80,660,330,12,0.7
2018-08-12,00:00,11,88,51,320,8,0.1
2018-08-12,06:00,8,93,7,330,9,0
2018-08-12,12:00,17,44,1050,350,10,0
2018-08-12,18:00,16,56,976,335,8,0
2018-08-13,00:00,10,86,62,310,6,0
2018-08-13,06:00,9,94,6,310,6,0
2018-08-13,12:00,16,55,756,320,7,0.1
2018-08-13,18:00,15,61,782,320,8,0.2
2018-08-14,00:00,9,90,54,310,5,0
2018-08-14,06:00,8,95,5,320,3,0
2018-08-14,12:00,14,77,395,200,5,0
2018-08-14,18:00,14,87,297,150,5,0.8
2018-08-15,00:00,12,98,17,95,2,0
2018-08-15,06:00,13,98,2,145,3,0.1
2018-08-15,12:00,16,88,295,180,8,1.3
2018-08-15,18:00,16,94,450,185,7,1.9
2018-08-16,00:00,16,98,20,190,9,2.3
