Location MoorePark 52.16N 8.26W 
Nearest Gridpoint used 52.127N  8.227W 
Based on ECMWF analysis of  00Z on Tuesday 12/02/2019
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-02-12,12:00,11,91,85,210,11,0.2
2019-02-12,18:00,10,97,163,185,9,0.4
2019-02-13,00:00,9,94,0,185,13,0.1
2019-02-13,06:00,9,91,0,185,13,0
2019-02-13,12:00,11,78,196,195,16,0.1
2019-02-13,18:00,9,92,265,185,11,0
2019-02-14,00:00,9,94,0,180,11,0
2019-02-14,06:00,8,95,0,170,10,0
2019-02-14,12:00,10,81,212,165,13,0
2019-02-14,18:00,8,95,292,160,10,0
2019-02-15,00:00,8,97,0,165,11,0
2019-02-15,06:00,9,92,0,180,13,0
2019-02-15,12:00,12,83,235,195,14,0
2019-02-15,18:00,11,96,198,175,9,0.1
2019-02-16,00:00,11,98,0,185,12,0.2
2019-02-16,06:00,10,93,0,210,11,0.2
2019-02-16,12:00,10,75,201,205,14,0.4
2019-02-16,18:00,9,94,271,180,12,0.1
2019-02-17,00:00,10,96,0,175,16,1.7
2019-02-17,06:00,10,95,0,190,12,3.3
2019-02-17,12:00,9,91,52,220,8,7.3
2019-02-17,18:00,7,81,206,225,6,0.4
2019-02-18,00:00,3,92,0,235,6,0
2019-02-18,06:00,2,91,0,220,6,0
2019-02-18,12:00,9,70,339,255,8,0
2019-02-18,18:00,7,79,439,295,5,0.1
2019-02-19,00:00,3,96,0,290,4,0
2019-02-19,06:00,2,96,0,305,3,0
2019-02-19,12:00,8,72,350,175,3,0
2019-02-19,18:00,6,90,549,170,6,0
2019-02-20,00:00,6,88,0,165,8,0
2019-02-20,06:00,6,83,0,175,9,0
2019-02-20,12:00,9,57,255,180,14,0
2019-02-20,18:00,7,81,418,165,9,0
2019-02-21,00:00,7,95,0,165,9,0
2019-02-21,06:00,8,95,0,155,8,0
2019-02-21,12:00,10,81,243,140,11,0
2019-02-21,18:00,7,89,478,130,10,0
2019-02-22,00:00,6,82,0,130,10,0
