"Location Oak_Park 52.86N 6.92W "
"Nearest Gridpoint used 52.83N  6.891W "
"Based on ECMWF analysis of  00Z on Monday 10/04/2017"
"Forecast Interval 6 hour, starting from T+12"
"Day ; Date ; [dd-mm-yyyy]"
"Hour ; Hour ; [HH:MM"
"Temp ;  Temperature ;  [oC]"
"RelHum ; Relative Humidity ; [%]"
"WDir ; Wind Direction ; [Degrees True]"
"WSpd ; Wind Speed ; [Kt]"
"SolRad ; Surface Solar Radiation Downwards ; [Joules/cm2/6-hour]"
"Rain ; Precipitation ; [mm/6-hour]"
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
"10-04-2017","12:00",10,55,682,330,9,0
"10-04-2017","18:00",9,57,655,325,6,0
"11-04-2017","00:00",4,82,13,285,3,0
"11-04-2017","06:00",3,90,1,265,5,0
"11-04-2017","12:00",11,61,691,265,8,0
"11-04-2017","18:00",11,67,956,280,9,0
"12-04-2017","00:00",7,81,24,260,6,0
"12-04-2017","06:00",8,83,0,265,8,0
"12-04-2017","12:00",12,72,521,285,10,0
"12-04-2017","18:00",11,68,500,315,8,.3
"13-04-2017","00:00",6,81,16,275,4,0
"13-04-2017","06:00",5,85,1,275,5,0
"13-04-2017","12:00",10,63,648,260,5,0
"13-04-2017","18:00",9,82,246,205,5,.1
"14-04-2017","00:00",9,87,3,235,6,.1
"14-04-2017","06:00",8,93,1,230,6,.1
"14-04-2017","12:00",13,57,663,250,10,.1
"14-04-2017","18:00",11,77,444,240,6,.1
"15-04-2017","00:00",9,85,10,265,7,.5
"15-04-2017","06:00",5,77,2,280,7,0
"15-04-2017","12:00",10,55,757,310,11,0
"15-04-2017","18:00",10,48,705,305,8,.2
"16-04-2017","00:00",5,82,23,275,7,0
"16-04-2017","06:00",4,84,2,245,7,0
"16-04-2017","12:00",10,70,351,255,16,0
"16-04-2017","18:00",10,65,369,285,14,.3
"17-04-2017","00:00",6,81,23,295,9,0
"17-04-2017","06:00",5,91,2,280,5,0
"17-04-2017","12:00",11,56,589,320,5,.3
"17-04-2017","18:00",11,60,524,280,4,0
"18-04-2017","00:00",5,87,24,225,5,0
"18-04-2017","06:00",5,86,3,220,7,0
"18-04-2017","12:00",12,65,501,245,13,0
"18-04-2017","18:00",9,64,341,280,11,.7
"19-04-2017","00:00",6,80,22,270,10,0
"19-04-2017","06:00",6,78,3,290,10,0
"19-04-2017","12:00",11,51,834,340,15,.5
"19-04-2017","18:00",8,76,964,10,11,2.5
"20-04-2017","00:00",5,66,32,0,10,0
