Location Oak_Park 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.891W 
Based on ECMWF analysis of  00Z on Tuesday 11/04/2017
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2017-04-11,12:00,11,63,759,265,8,0
2017-04-11,18:00,11,66,860,280,8,0
2017-04-12,00:00,8,80,23,255,7,0
2017-04-12,06:00,8,83,1,265,8,0
2017-04-12,12:00,11,75,417,280,12,0
2017-04-12,18:00,11,66,436,315,9,0.6
2017-04-13,00:00,6,78,18,265,4,0
2017-04-13,06:00,5,82,1,270,4,0
2017-04-13,12:00,10,59,515,275,5,0
2017-04-13,18:00,10,69,482,265,3,0
2017-04-14,00:00,5,92,14,235,4,0
2017-04-14,06:00,8,91,0,225,6,0.1
2017-04-14,12:00,12,66,394,270,10,0.1
2017-04-14,18:00,10,90,236,290,5,2.4
2017-04-15,00:00,7,87,2,305,7,0.6
2017-04-15,06:00,4,86,2,280,6,0
2017-04-15,12:00,10,53,671,305,10,0
2017-04-15,18:00,9,65,488,295,8,0
2017-04-16,00:00,6,75,12,275,6,0
2017-04-16,06:00,6,87,1,235,6,0
2017-04-16,12:00,12,67,375,265,12,0
2017-04-16,18:00,11,74,313,265,10,0.2
2017-04-17,00:00,8,80,8,295,9,0
2017-04-17,06:00,8,83,1,305,7,0
2017-04-17,12:00,10,59,698,345,10,0.1
2017-04-17,18:00,10,56,620,350,4,0
2017-04-18,00:00,3,74,19,0,5,0
2017-04-18,06:00,0,88,4,340,4,0
2017-04-18,12:00,10,47,988,90,3,0
2017-04-18,18:00,9,61,682,105,6,0
2017-04-19,00:00,4,78,22,255,2,0
2017-04-19,06:00,3,79,5,350,1,0
2017-04-19,12:00,11,44,1033,70,2,0
2017-04-19,18:00,12,47,1248,60,2,0
2017-04-20,00:00,4,88,42,230,4,0
2017-04-20,06:00,2,95,5,305,2,0
2017-04-20,12:00,14,55,1006,0,5,0
2017-04-20,18:00,13,64,736,0,4,0
2017-04-21,00:00,7,90,20,340,4,0
