Location OakPark 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.891W 
Based on ECMWF analysis of  00Z on Sunday 07/01/2018
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2018-01-07,12:00,4,80,141,55,5,0
2018-01-07,18:00,-1,79,231,60,4,0
2018-01-08,00:00,-1,78,0,90,6,0
2018-01-08,06:00,-1,85,0,80,5,0
2018-01-08,12:00,4,73,141,110,9,0
2018-01-08,18:00,3,87,182,130,6,0
2018-01-09,00:00,4,91,0,130,9,0.2
2018-01-09,06:00,5,85,0,130,11,0.1
2018-01-09,12:00,8,88,22,135,12,0
2018-01-09,18:00,8,93,33,145,10,3
2018-01-10,00:00,5,97,0,205,3,0.1
2018-01-10,06:00,4,98,0,170,3,1
2018-01-10,12:00,4,90,84,230,7,0.4
2018-01-10,18:00,4,93,143,275,4,0
2018-01-11,00:00,2,94,0,315,4,0
2018-01-11,06:00,0,88,0,290,4,0
2018-01-11,12:00,4,84,156,225,3,0
2018-01-11,18:00,1,93,258,175,5,0
2018-01-12,00:00,2,90,0,145,8,0
2018-01-12,06:00,6,85,0,155,11,0
2018-01-12,12:00,8,75,58,160,14,0
2018-01-12,18:00,9,70,117,155,15,0
2018-01-13,00:00,8,90,0,150,15,8.400001
2018-01-13,06:00,8,93,0,160,10,9.3
2018-01-13,12:00,7,91,36,295,6,9.200001
2018-01-13,18:00,4,91,179,170,7,0
2018-01-14,00:00,5,92,0,255,5,1.9
2018-01-14,06:00,0,94,0,225,4,0.1
2018-01-14,12:00,4,89,102,160,9,0.2
2018-01-14,18:00,3,92,32,280,12,10.9
2018-01-15,00:00,1,81,0,260,8,0
2018-01-15,06:00,0,89,0,245,8,0
2018-01-15,12:00,3,79,144,245,10,0.1
2018-01-15,18:00,2,82,205,255,10,0.1
2018-01-16,00:00,1,87,0,260,8,0
2018-01-16,06:00,0,93,0,215,8,0
2018-01-16,12:00,3,89,47,290,8,0.7
2018-01-16,18:00,2,87,148,265,10,0
2018-01-17,00:00,3,85,0,270,12,0
