Location OakPark 52.86N 6.92W 
Nearest Gridpoint used 52.83N  6.89W 
Based on ECMWF analysis of  00Z on Saturday 01/06/2019
Forecast Interval 6 hour, starting from T+12
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
Temp ;  Temperature ;  [oC]
RelHum ; Relative Humidity ; [%]
SolRad ; Surface Solar Radiation Downwards (Previous 6 hours); [Joules/cm2/6-hour]
WDir ; Wind Direction ; [Degrees True]
WSpd ; Wind Speed ; [Kt]
Rain ; Precipitation (Previous 6 hours); [mm/6-hour]
DATA:
Day, Hour, Temp, RelHum, SolRad, WDir, WSpd, Rain
2019-06-01,12:00,14,92,242,170,7,1.7
2019-06-01,18:00,15,86,594,160,7,0.5
2019-06-02,00:00,13,96,19,175,9,2.6
2019-06-02,06:00,14,94,18,195,11,0.1
2019-06-02,12:00,16,63,915,240,12,0.2
2019-06-02,18:00,14,63,1107,230,14,0
2019-06-03,00:00,10,71,74,240,12,0
2019-06-03,06:00,10,79,48,225,8,0
2019-06-03,12:00,15,48,916,230,11,0
2019-06-03,18:00,12,78,813,240,7,2.9
2019-06-04,00:00,9,94,70,200,4,1
2019-06-04,06:00,9,95,38,315,2,0.1
2019-06-04,12:00,14,68,1014,280,3,0.4
2019-06-04,18:00,13,68,1148,290,4,0.6
2019-06-05,00:00,8,86,99,280,4,0.1
2019-06-05,06:00,8,90,31,0,4,0
2019-06-05,12:00,13,67,925,75,4,0.8
2019-06-05,18:00,11,75,565,140,0,4.5
2019-06-06,00:00,7,97,55,340,3,1.1
2019-06-06,06:00,7,93,45,340,3,0
2019-06-06,12:00,14,65,1075,240,5,0.6
2019-06-06,18:00,12,73,820,235,7,8.5
2019-06-07,00:00,8,91,99,190,6,0
2019-06-07,06:00,9,89,46,170,6,0
2019-06-07,12:00,14,68,1090,185,10,1.5
2019-06-07,18:00,11,79,1051,240,6,0.8
2019-06-08,00:00,8,83,91,250,7,0
2019-06-08,06:00,8,87,51,240,6,0
2019-06-08,12:00,14,48,1129,240,8,0
2019-06-08,18:00,13,68,1117,230,4,1.8
2019-06-09,00:00,6,95,91,105,4,1.4
2019-06-09,06:00,8,91,32,5,5,0
2019-06-09,12:00,13,64,714,30,9,0.1
2019-06-09,18:00,14,58,840,350,7,0.1
2019-06-10,00:00,9,90,64,330,8,0
2019-06-10,06:00,10,85,17,345,10,0
2019-06-10,12:00,14,78,703,355,5,0.5
2019-06-10,18:00,13,74,967,15,2,2.5
2019-06-11,00:00,9,90,79,355,5,0.8
