"","date","temp","rhum","rain","solar","wdspd","wddir","stna","irish_rules"
"1",2017-05-12 00:00:00,10.4,97,0.1,0,1,7,"Dunsany",0
"2",2017-05-12 01:00:00,10.2,97,0,0,3,7,"Dunsany",0
"3",2017-05-12 02:00:00,10.2,99,0,0,2,8,"Dunsany",0
"4",2017-05-12 03:00:00,10.4,99,1.3,0,3,6,"Dunsany",0
"5",2017-05-12 04:00:00,10.4,99,0.8,0,2,5,"Dunsany",0
"6",2017-05-12 05:00:00,10.6,99,0.2,5.7,1,18,"Dunsany",0
"7",2017-05-12 06:00:00,11,98,0,8.8,2,6,"Dunsany",0
"8",2017-05-12 07:00:00,11.4,97,0,25.7,1,31,"Dunsany",0
"9",2017-05-12 08:00:00,11.7,98,0.2,63.3,4,7,"Dunsany",0
"10",2017-05-12 09:00:00,13.6,96,0,68.5,6,7,"Dunsany",0
"11",2017-05-12 10:00:00,14,92,0,52.9,7,9,"Dunsany",0
"12",2017-05-12 11:00:00,13.7,94,0.1,129.3,6,6,"Dunsany",1
"13",2017-05-12 12:00:00,14.5,89,0,97.7,8,6,"Dunsany",0
"14",2017-05-12 13:00:00,14.2,89,0,58.3,7,6,"Dunsany",0
"15",2017-05-12 14:00:00,13.2,96,0.1,130.6,8,8,"Dunsany",2
"16",2017-05-12 15:00:00,13.9,93,0,83,10,7,"Dunsany",3
"17",2017-05-12 16:00:00,13.5,92,0,64.7,9,8,"Dunsany",4
"18",2017-05-12 17:00:00,13.3,96,0.4,52.8,6,9,"Dunsany",5
"19",2017-05-12 18:00:00,12.9,96,0.3,16.1,6,9,"Dunsany",6
"20",2017-05-12 19:00:00,12.2,97,0.4,6.3,6,8,"Dunsany",7
"21",2017-05-12 20:00:00,11.8,99,0.6,0.3,5,8,"Dunsany",8
"22",2017-05-12 21:00:00,11.5,100,0.6,0,5,10,"Dunsany",9
"23",2017-05-12 22:00:00,11.2,100,1.1,0,5,11,"Dunsany",10
"24",2017-05-12 23:00:00,11.2,100,0.9,0,5,12,"Dunsany",11
"25",2017-05-13 00:00:00,11.2,100,1.5,0,4,12,"Dunsany",12
"26",2017-05-13 01:00:00,11.2,100,0.7,0,4,12,"Dunsany",13
"27",2017-05-13 02:00:00,10.6,100,0,0,5,18,"Dunsany",14
"28",2017-05-13 03:00:00,10,100,0.1,0,6,18,"Dunsany",15
"29",2017-05-13 04:00:00,9.9,100,0,3.2,5,20,"Dunsany",0
"30",2017-05-13 05:00:00,9.3,98,0.5,8.8,14,25,"Dunsany",0
"31",2017-05-13 05:00:00,10,93,0.5,5,9,232,"Dunsany",16
"32",2017-05-13 06:00:00,10,91,0.1,8,9,228,"Dunsany",17
"33",2017-05-13 07:00:00,11,84,0,89,9,222,"Dunsany",0
"34",2017-05-13 08:00:00,12,76,0,169,9,215,"Dunsany",0
"35",2017-05-13 09:00:00,14,62,0,235,12,212,"Dunsany",0
"36",2017-05-13 10:00:00,15,53,0,229,13,206,"Dunsany",0
"37",2017-05-13 11:00:00,15,57,0.1,159,14,196,"Dunsany",0
"38",2017-05-13 12:00:00,14,66,0,97,13,189,"Dunsany",0
"39",2017-05-13 13:00:00,14,68,0,79,15,184,"Dunsany",0
"40",2017-05-13 14:00:00,13,74,0,64,13,180,"Dunsany",0
"41",2017-05-13 15:00:00,14,69,0.1,139,14,181,"Dunsany",0
"42",2017-05-13 16:00:00,13,76,0.5,88,13,179,"Dunsany",0
"43",2017-05-13 17:00:00,12,83,0.2,33,12,177,"Dunsany",0
"44",2017-05-13 18:00:00,12,84,0,18,11,197,"Dunsany",0
"45",2017-05-13 19:00:00,11,86,0.3,9,8,220,"Dunsany",0
"46",2017-05-13 20:00:00,10,90,0.2,0,7,222,"Dunsany",0
"47",2017-05-13 21:00:00,9,93,0,0,5,222,"Dunsany",0
"48",2017-05-13 22:00:00,8,95,0,0,5,202,"Dunsany",0
"49",2017-05-13 23:00:00,8,93,0.1,0,6,205,"Dunsany",0
