"","date","temp","rhum","rain","solar","wdspd","wddir","stna","irish_rules"
"1",2017-05-12 00:00:00,10.8,91,0.2,0,4,11,"Gurteen",0
"2",2017-05-12 01:00:00,10.6,93,0.1,0,6,11,"Gurteen",0
"3",2017-05-12 02:00:00,10.5,95,0,0,3,11,"Gurteen",0
"4",2017-05-12 03:00:00,10.7,96,0,0,3,9,"Gurteen",0
"5",2017-05-12 04:00:00,10.6,96,0.1,0.5,2,12,"Gurteen",0
"6",2017-05-12 05:00:00,10.6,97,0,16.4,4,10,"Gurteen",0
"7",2017-05-12 06:00:00,10.8,96,0,21.5,2,6,"Gurteen",0
"8",2017-05-12 07:00:00,10.5,97,0,68,2,7,"Gurteen",0
"9",2017-05-12 08:00:00,11.8,94,0,89.2,1,33,"Gurteen",0
"10",2017-05-12 09:00:00,13.3,85,0,136.5,3,30,"Gurteen",0
"11",2017-05-12 10:00:00,14.3,77,0,115.3,4,7,"Gurteen",0
"12",2017-05-12 11:00:00,14.3,81,0,124,5,7,"Gurteen",0
"13",2017-05-12 12:00:00,15.1,73,0,69.2,5,5,"Gurteen",0
"14",2017-05-12 13:00:00,14.7,77,0,54.8,4,4,"Gurteen",0
"15",2017-05-12 14:00:00,14.5,81,0.1,58.5,2,5,"Gurteen",0
"16",2017-05-12 15:00:00,14.5,83,0.2,38.3,2,33,"Gurteen",0
"17",2017-05-12 16:00:00,14,88,0.5,11.8,5,28,"Gurteen",0
"18",2017-05-12 17:00:00,12.8,95,4.8,24.8,7,29,"Gurteen",0
"19",2017-05-12 18:00:00,12.1,92,0.3,6.5,9,27,"Gurteen",0
"20",2017-05-12 19:00:00,11,94,1.1,1.5,7,25,"Gurteen",0
"21",2017-05-12 20:00:00,11.1,96,0.6,0,10,28,"Gurteen",0
"22",2017-05-12 21:00:00,11.1,96,1.7,0,9,27,"Gurteen",0
"23",2017-05-12 22:00:00,10.6,96,4,0,11,27,"Gurteen",0
"24",2017-05-12 23:00:00,10.3,96,1.2,0,9,25,"Gurteen",0
"25",2017-05-13 00:00:00,9.7,97,1.8,0,10,25,"Gurteen",0
"26",2017-05-13 01:00:00,9.5,95,0.9,0,11,25,"Gurteen",0
"27",2017-05-13 02:00:00,9.7,96,0.7,0,9,24,"Gurteen",0
"28",2017-05-13 03:00:00,9.7,95,0.7,0,7,23,"Gurteen",0
"29",2017-05-13 04:00:00,9.3,95,0.1,0.4,4,21,"Gurteen",0
"30",2017-05-13 05:00:00,8.3,95,0,11.6,7,21,"Gurteen",0
"31",2017-05-13 05:00:00,9,90,0,24,7,202,"Gurteen",0
"32",2017-05-13 06:00:00,10,86,0,70,7,190,"Gurteen",0
"33",2017-05-13 07:00:00,12,80,0,125,8,180,"Gurteen",0
"34",2017-05-13 08:00:00,13,67,0,174,12,188,"Gurteen",0
"35",2017-05-13 09:00:00,14,64,0.1,185,13,186,"Gurteen",0
"36",2017-05-13 10:00:00,13,75,0.1,50,9,160,"Gurteen",0
"37",2017-05-13 11:00:00,13,82,2.1,74,11,166,"Gurteen",0
"38",2017-05-13 12:00:00,13,83,0.2,41,11,172,"Gurteen",0
"39",2017-05-13 13:00:00,14,77,1.3,187,14,181,"Gurteen",0
"40",2017-05-13 14:00:00,13,83,0.6,97,11,186,"Gurteen",0
"41",2017-05-13 15:00:00,12,88,1.7,59,10,202,"Gurteen",0
"42",2017-05-13 16:00:00,12,87,0.9,17,5,238,"Gurteen",0
"43",2017-05-13 17:00:00,12,84,0,43,5,221,"Gurteen",0
"44",2017-05-13 18:00:00,11,84,0.4,36,6,231,"Gurteen",0
"45",2017-05-13 19:00:00,10,87,0,18,4,197,"Gurteen",0
"46",2017-05-13 20:00:00,9,87,0.1,0,5,191,"Gurteen",0
"47",2017-05-13 21:00:00,9,85,0,0,7,199,"Gurteen",0
"48",2017-05-13 22:00:00,8,86,0,0,7,201,"Gurteen",0
"49",2017-05-13 23:00:00,8,87,0,0,7,201,"Gurteen",0
"50",2017-05-14 00:00:00,7,88,0,0,7,202,"Gurteen",0
"51",2017-05-14 01:00:00,7,88,0,0,7,199,"Gurteen",0
"52",2017-05-14 02:00:00,7,89,0,0,7,193,"Gurteen",0
