"","date","temp","rhum","rain","solar","wdspd","wddir","stna","irish_rules"
"1",2017-05-23 00:00:00,13.4,85,0,0,8,20,"OakPark",0
"2",2017-05-23 01:00:00,12.8,91,0,0,7,19,"OakPark",0
"3",2017-05-23 02:00:00,12.9,92,0,0,4,16,"OakPark",0
"4",2017-05-23 03:00:00,12.9,93,0,0,5,18,"OakPark",0
"5",2017-05-23 04:00:00,13,93,0,1.1,4,20,"OakPark",0
"6",2017-05-23 05:00:00,13.1,94,0,25.7,2,20,"OakPark",0
"7",2017-05-23 06:00:00,13.9,91,0,46.5,2,22,"OakPark",0
"8",2017-05-23 07:00:00,14.5,89,0,79.1,2,23,"OakPark",0
"9",2017-05-23 08:00:00,15.4,84,0,91.5,5,24,"OakPark",0
"10",2017-05-23 09:00:00,16.4,78,0,124.7,5,28,"OakPark",0
"11",2017-05-23 10:00:00,17.5,73,0,128.1,7,28,"OakPark",0
"12",2017-05-23 11:00:00,17.8,71,0,127.7,8,27,"OakPark",0
"13",2017-05-23 12:00:00,18.4,72,0,89.5,8,26,"OakPark",0
"14",2017-05-23 13:00:00,18.4,73,0,126.4,9,25,"OakPark",0
"15",2017-05-23 14:00:00,19,72,0,129.9,7,24,"OakPark",0
"16",2017-05-23 15:00:00,20.4,71,0,195.1,8,26,"OakPark",0
"17",2017-05-23 16:00:00,20.7,69,0,202,8,27,"OakPark",0
"18",2017-05-23 17:00:00,20.8,69,0,62.5,7,27,"OakPark",0
"19",2017-05-23 18:00:00,19.3,76,0,43.8,6,28,"OakPark",0
"20",2017-05-23 19:00:00,19.1,74,0,24.4,4,32,"OakPark",0
"21",2017-05-23 20:00:00,18.1,79,0,2.3,3,33,"OakPark",0
"22",2017-05-23 21:00:00,15.8,89,0,0,3,28,"OakPark",0
"23",2017-05-23 22:00:00,14.1,95,0,0,2,22,"OakPark",0
"24",2017-05-23 23:00:00,15.2,93,0,0,2,33,"OakPark",0
"25",2017-05-24 00:00:00,15.1,94,0,0,3,36,"OakPark",0
"26",2017-05-24 01:00:00,14.6,96,0,0,1,35,"OakPark",0
"27",2017-05-24 02:00:00,13.6,96,0,0,1,1,"OakPark",0
"28",2017-05-24 03:00:00,12.6,97,0,0,2,29,"OakPark",0
"29",2017-05-24 04:00:00,12.9,98,0,1.1,1,26,"OakPark",0
"30",2017-05-24 05:00:00,13.5,98,0,8.8,2,2,"OakPark",0
"31",2017-05-24 05:00:00,12,97,0,22,0,217,"OakPark",0
"32",2017-05-24 06:00:00,14,97,0,60,0,184,"OakPark",0
"33",2017-05-24 07:00:00,16,90,0,100,1,171,"OakPark",0
"34",2017-05-24 08:00:00,18,80,0,160,2,185,"OakPark",0
"35",2017-05-24 09:00:00,19,73,0,123,3,203,"OakPark",0
"36",2017-05-24 10:00:00,20,66,0,201,2,220,"OakPark",0
"37",2017-05-24 11:00:00,21,63,0,193,3,235,"OakPark",0
"38",2017-05-24 12:00:00,21,62,0,184,3,261,"OakPark",0
"39",2017-05-24 13:00:00,22,61,0,164,4,286,"OakPark",0
"40",2017-05-24 14:00:00,23,57,0,188,2,291,"OakPark",0
"41",2017-05-24 15:00:00,22,57,0,147,1,199,"OakPark",0
"42",2017-05-24 16:00:00,21,68,0,126,5,165,"OakPark",0
"43",2017-05-24 17:00:00,20,78,0,96,7,170,"OakPark",0
"44",2017-05-24 18:00:00,18,81,0,67,4,167,"OakPark",0
"45",2017-05-24 19:00:00,16,88,0,27,4,173,"OakPark",0
"46",2017-05-24 20:00:00,14,94,0,2,4,173,"OakPark",0
"47",2017-05-24 21:00:00,12,97,0,0,3,184,"OakPark",0
"48",2017-05-24 22:00:00,11,98,0,0,2,192,"OakPark",0
"49",2017-05-24 23:00:00,11,98,0,0,3,176,"OakPark",0
"50",2017-05-25 00:00:00,11,99,0,0,3,169,"OakPark",0
"51",2017-05-25 01:00:00,10,100,0,0,3,156,"OakPark",0
"52",2017-05-25 02:00:00,10,100,0,0,3,144,"OakPark",0
"53",2017-05-25 03:00:00,11,99,0,0,4,138,"OakPark",0
"54",2017-05-25 04:00:00,11,99,0,3,4,134,"OakPark",0
"55",2017-05-25 05:00:00,12,98,0,18,5,130,"OakPark",0
"56",2017-05-25 06:00:00,13,95,0,51,6,135,"OakPark",0
"57",2017-05-25 07:00:00,15,90,0,95,7,141,"OakPark",0
"58",2017-05-25 08:00:00,18,78,0,183,8,150,"OakPark",0
"59",2017-05-25 09:00:00,19,76,0,233,8,152,"OakPark",0
"60",2017-05-25 10:00:00,20,69,0,274,9,149,"OakPark",0
"61",2017-05-25 11:00:00,20,66,0,299,9,147,"OakPark",0
"62",2017-05-25 12:00:00,21,65,0,306,10,150,"OakPark",0
"63",2017-05-25 13:00:00,21,67,0,297,10,152,"OakPark",0
"64",2017-05-25 14:00:00,21,64,0,269,11,157,"OakPark",0
"65",2017-05-25 15:00:00,21,65,0,230,11,159,"OakPark",0
"66",2017-05-25 16:00:00,20,67,0,177,10,159,"OakPark",0
"67",2017-05-25 17:00:00,20,70,0,118,9,151,"OakPark",0
"68",2017-05-25 18:00:00,19,76,0,74,7,137,"OakPark",0
"69",2017-05-25 19:00:00,17,81,0,28,6,134,"OakPark",0
"70",2017-05-25 20:00:00,15,86,0,2,6,136,"OakPark",0
"71",2017-05-25 21:00:00,14,92,0,0,6,133,"OakPark",0
"72",2017-05-25 22:00:00,14,94,0,0,6,128,"OakPark",0
"73",2017-05-25 23:00:00,13,94,0,0,7,125,"OakPark",0
"74",2017-05-26 00:00:00,13,95,0,0,7,123,"OakPark",0
"75",2017-05-26 01:00:00,13,97,0,0,7,121,"OakPark",0
"76",2017-05-26 02:00:00,13,93,0,0,8,124,"OakPark",0
"77",2017-05-26 03:00:00,13,86,0,0,7,126,"OakPark",0
"78",2017-05-26 04:00:00,13,85,0,4,7,125,"OakPark",0
"79",2017-05-26 05:00:00,14,83,0,31,8,127,"OakPark",0
"80",2017-05-26 06:00:00,16,81,0,71,8,129,"OakPark",0
"81",2017-05-26 07:00:00,17,77,0,115,9,136,"OakPark",0
"82",2017-05-26 08:00:00,18,74,0,159,9,138,"OakPark",0
"83",2017-05-26 09:00:00,19,70,0,222,10,143,"OakPark",0
"84",2017-05-26 10:00:00,20,69,0,231,10,148,"OakPark",0
"85",2017-05-26 11:00:00,21,66,0,279,10,156,"OakPark",0
"86",2017-05-26 12:00:00,21,65,0,290,9,159,"OakPark",0
"87",2017-05-26 13:00:00,21,66,0,262,9,158,"OakPark",0
"88",2017-05-26 14:00:00,21,65,0,253,9,154,"OakPark",0
"89",2017-05-26 15:00:00,21,66,0,208,9,153,"OakPark",0
"90",2017-05-26 16:00:00,20,67,0,170,8,155,"OakPark",0
"91",2017-05-26 17:00:00,20,70,0,119,7,158,"OakPark",0
"92",2017-05-26 18:00:00,19,74,0,58,5,159,"OakPark",0
"93",2017-05-26 19:00:00,17,79,0,27,4,165,"OakPark",0
"94",2017-05-26 20:00:00,15,86,0,2,3,150,"OakPark",0
"95",2017-05-26 21:00:00,15,86,0.1,0,3,140,"OakPark",0
"96",2017-05-26 22:00:00,14,88,0.2,0,3,147,"OakPark",0
"97",2017-05-26 23:00:00,14,86,0.4,0,4,140,"OakPark",0
"98",2017-05-27 00:00:00,14,88,0.4,0,4,140,"OakPark",0
"99",2017-05-27 01:00:00,14,91,0.1,0,4,137,"OakPark",0
"100",2017-05-27 02:00:00,13,95,0.7,0,4,141,"OakPark",0
"101",2017-05-27 03:00:00,13,96,1.5,0,5,148,"OakPark",0
"102",2017-05-27 04:00:00,13,97,2,0,6,168,"OakPark",0
"103",2017-05-27 05:00:00,13,97,0.1,9,8,193,"OakPark",0
"104",2017-05-27 06:00:00,14,95,0,25,10,218,"OakPark",0
"105",2017-05-27 07:00:00,14,94,0,61,11,232,"OakPark",0
"106",2017-05-27 08:00:00,14,94,0,60,10,241,"OakPark",0
"107",2017-05-27 09:00:00,15,84,0,114,12,264,"OakPark",0
"108",2017-05-27 10:00:00,15,84,0,115,11,267,"OakPark",0
"109",2017-05-27 11:00:00,16,74,0,149,10,271,"OakPark",0
"110",2017-05-27 12:00:00,17,66,0,201,9,273,"OakPark",0
"111",2017-05-27 13:00:00,18,61,0,209,9,275,"OakPark",0
"112",2017-05-27 14:00:00,18,59,0,191,8,268,"OakPark",0
"113",2017-05-27 15:00:00,18,58,0,143,8,277,"OakPark",0
"114",2017-05-27 16:00:00,18,58,0,156,7,274,"OakPark",0
"115",2017-05-27 17:00:00,17,62,0,110,7,278,"OakPark",0
"116",2017-05-27 18:00:00,15.4,69,0,83.9,6,281,"OakPark",0
"117",2017-05-27 19:00:00,13.6,78,0,85.8,5,279,"OakPark",0
"118",2017-05-27 20:00:00,12,85,0,86,4,275,"OakPark",0
"119",2017-05-27 21:00:00,10.8,90,0,62.9,3,272,"OakPark",0
"120",2017-05-27 22:00:00,9.8,93,0,27.8,3,279,"OakPark",0
"121",2017-05-27 23:00:00,9,94,0,0,3,305,"OakPark",0
"122",2017-05-28 00:00:00,8.1,95,0,0,3,352,"OakPark",0
"123",2017-05-28 01:00:00,7.4,96,0,0,3,383,"OakPark",0
"124",2017-05-28 02:00:00,7,96,0,0,3,355,"OakPark",0
"125",2017-05-28 03:00:00,7.1,96,0,0,3,242,"OakPark",0
"126",2017-05-28 04:00:00,7.8,95,0,0,3,99,"OakPark",0
"127",2017-05-28 05:00:00,9,92,0,31,3,0,"OakPark",0
"128",2017-05-28 06:00:00,10.6,88,0,124.7,3,-4,"OakPark",0
"129",2017-05-28 07:00:00,12.4,82,0,241,2,53,"OakPark",0
"130",2017-05-28 08:00:00,14,77,0,336,2,115,"OakPark",0
"131",2017-05-28 09:00:00,15.1,73,0,376.6,1,138,"OakPark",0
"132",2017-05-28 10:00:00,15.7,70,0,373.4,1,132,"OakPark",0
"133",2017-05-28 11:00:00,16,69,0,348,1,120,"OakPark",0
"134",2017-05-28 12:00:00,16.1,70,0,318.3,2,121,"OakPark",0
"135",2017-05-28 13:00:00,16.1,72,0,287.2,2,134,"OakPark",0
"136",2017-05-28 14:00:00,16,73,0.7,254,3,150,"OakPark",0
"137",2017-05-28 15:00:00,15.8,73,0,218.5,3,164,"OakPark",0
"138",2017-05-28 16:00:00,15.5,73,0,181.6,3,175,"OakPark",0
"139",2017-05-28 17:00:00,15,75,0.4,145,3,180,"OakPark",0
"140",2017-05-28 18:00:00,14.3,80,0,110.1,3,180,"OakPark",0
"141",2017-05-28 19:00:00,13.6,86,0,79.1,3,183,"OakPark",0
"142",2017-05-28 20:00:00,13,90,0,54,3,195,"OakPark",0
"143",2017-05-28 21:00:00,12.6,90,0,35.7,4,223,"OakPark",0
"144",2017-05-28 22:00:00,12.3,87,0,19.7,5,258,"OakPark",0
"145",2017-05-28 23:00:00,12,84,0,0,6,290,"OakPark",0
"146",2017-05-29 00:00:00,11.5,82,0,0,7,311,"OakPark",0
"147",2017-05-29 01:00:00,11,82,0,0,7,321,"OakPark",0
"148",2017-05-29 02:00:00,10.5,82,0,0,7,323,"OakPark",0
"149",2017-05-29 03:00:00,10.1,82,0,0,7,319,"OakPark",0
"150",2017-05-29 04:00:00,9.9,82,0,0,7,312,"OakPark",0
"151",2017-05-29 05:00:00,10,81,0,29,7,305,"OakPark",0
"152",2017-05-29 06:00:00,10.5,78,0,139.7,7,300,"OakPark",0
"153",2017-05-29 07:00:00,11.3,75,0,281.5,7,296,"OakPark",0
"154",2017-05-29 08:00:00,12.3,70,0,438.4,7,294,"OakPark",0
"155",2017-05-29 09:00:00,13.3,66,0,594.1,7,294,"OakPark",0
"156",2017-05-29 10:00:00,14.3,62,0,732.7,7,294,"OakPark",0
"157",2017-05-29 11:00:00,15,59,0,838,7,295,"OakPark",0
"158",2017-05-29 12:00:00,15.4,57,0,897.6,7,296,"OakPark",0
"159",2017-05-29 13:00:00,15.5,57,0,914.3,7,298,"OakPark",0
"160",2017-05-29 14:00:00,15.4,58,0,894.4,7,299,"OakPark",0
"161",2017-05-29 15:00:00,15.1,60,0,844.2,7,300,"OakPark",0
"162",2017-05-29 16:00:00,14.6,62,0,770.3,6,300,"OakPark",0
"163",2017-05-29 17:00:00,14,64,0,679,6,300,"OakPark",0
"164",2017-05-29 18:00:00,13.4,66,0,576.4,6,299,"OakPark",0
"165",2017-05-29 19:00:00,12.7,69,0,467,5,296,"OakPark",0
"166",2017-05-29 20:00:00,12,72,0,355.2,5,291,"OakPark",0
"167",2017-05-29 21:00:00,11.3,74,0,245.3,4,284,"OakPark",0
"168",2017-05-29 22:00:00,10.7,77,0,141.4,3,274,"OakPark",0
"169",2017-05-29 23:00:00,10,80,0.1,48,3,260,"OakPark",0
"170",2017-05-30 00:00:00,9.4,83,0,0,3,243,"OakPark",0
"171",2017-05-30 01:00:00,8.9,86,0,0,2,223,"OakPark",0
"172",2017-05-30 02:00:00,8.5,88,0,0,2,203,"OakPark",0
"173",2017-05-30 03:00:00,8.4,89,0,0,2,185,"OakPark",0
"174",2017-05-30 04:00:00,8.5,89,0,0,2,170,"OakPark",0
"175",2017-05-30 05:00:00,9,87,0,43,3,160,"OakPark",0
"176",2017-05-30 06:00:00,9.9,83,0,195.2,4,157,"OakPark",0
"177",2017-05-30 07:00:00,11,78,0,384.3,5,159,"OakPark",0
"178",2017-05-30 08:00:00,12.2,72,0,590.9,6,166,"OakPark",0
"179",2017-05-30 09:00:00,13.4,67,0,795.3,8,174,"OakPark",0
"180",2017-05-30 10:00:00,14.3,63,0,977.9,9,183,"OakPark",0
"181",2017-05-30 11:00:00,15,60,0,1119,10,190,"OakPark",0
"182",2017-05-30 12:00:00,15.2,60,0,1203.4,11,195,"OakPark",0
"183",2017-05-30 13:00:00,15.1,62,0,1233.1,11,197,"OakPark",0
"184",2017-05-30 14:00:00,14.6,65,0,1214.2,12,197,"OakPark",0
"185",2017-05-30 15:00:00,14.1,70,0,1153,12,195,"OakPark",0
"186",2017-05-30 16:00:00,13.5,74,0,1055.9,12,190,"OakPark",0
"187",2017-05-30 17:00:00,13,79,0.1,929,12,185,"OakPark",0
"188",2017-05-30 18:00:00,12.7,83,0,779.2,12,178,"OakPark",0
"189",2017-05-30 19:00:00,12.5,86,0,615.5,12,172,"OakPark",0
"190",2017-05-30 20:00:00,12.4,89,0,447.5,12,166,"OakPark",0
"191",2017-05-30 21:00:00,12.3,91,0,284.8,11,162,"OakPark",0
"192",2017-05-30 22:00:00,12.2,93,0,137.1,11,162,"OakPark",0
"193",2017-05-30 23:00:00,12,95,0.8,14,10,165,"OakPark",0
"194",2017-05-31 00:00:00,11.7,96,0,0,9,173,"OakPark",0
"195",2017-05-31 01:00:00,11.3,97,0,0,8,184,"OakPark",0
"196",2017-05-31 02:00:00,11,98,0,0,7,198,"OakPark",0
"197",2017-05-31 03:00:00,10.7,97,0,0,6,211,"OakPark",0
"198",2017-05-31 04:00:00,10.7,95,0,0,6,222,"OakPark",0
"199",2017-05-31 05:00:00,11,91,1.4,21,6,230,"OakPark",0
"200",2017-05-31 06:00:00,11.6,86,0,155.6,7,233,"OakPark",0
"201",2017-05-31 07:00:00,12.5,79,0,318.8,8,232,"OakPark",0
"202",2017-05-31 08:00:00,13.5,72,0,498.5,9,229,"OakPark",0
"203",2017-05-31 09:00:00,14.5,65,0,682.7,10,224,"OakPark",0
"204",2017-05-31 10:00:00,15.4,59,0,859.6,11,219,"OakPark",0
"205",2017-05-31 11:00:00,16,54,0.1,1017,12,215,"OakPark",0
"206",2017-05-31 12:00:00,16.3,51,0,1144.4,12,213,"OakPark",0
"207",2017-05-31 13:00:00,16.3,50,0,1236.5,12,212,"OakPark",0
"208",2017-05-31 14:00:00,16,50,0,1289.4,12,213,"OakPark",0
"209",2017-05-31 15:00:00,15.5,52,0,1299.2,11,214,"OakPark",0
"210",2017-05-31 16:00:00,14.8,54,0,1262.1,11,215,"OakPark",0
"211",2017-05-31 17:00:00,14,58,0.4,1174,10,215,"OakPark",0
"212",2017-05-31 18:00:00,13.1,62,0,1034.6,9,214,"OakPark",0
"213",2017-05-31 19:00:00,12.2,67,0,857.1,9,211,"OakPark",0
"214",2017-05-31 20:00:00,11.3,72,0,658.3,8,209,"OakPark",0
"215",2017-05-31 21:00:00,10.4,76,0,454.8,8,205,"OakPark",0
"216",2017-05-31 22:00:00,9.6,80,0,263.5,7,202,"OakPark",0
"217",2017-05-31 23:00:00,9,84,0,101,7,200,"OakPark",0
"218",2017-06-01 00:00:00,8.5,87,0,0,7,198,"OakPark",0
"219",2017-06-01 01:00:00,8.2,88,0,0,6,198,"OakPark",0
"220",2017-06-01 02:00:00,8.1,89,0,0,6,198,"OakPark",0
"221",2017-06-01 03:00:00,8.2,89,0,0,6,198,"OakPark",0
"222",2017-06-01 04:00:00,8.5,87,0,0,7,199,"OakPark",0
"223",2017-06-01 05:00:00,9,84,0,43,7,200,"OakPark",0
"224",2017-06-01 06:00:00,9.7,80,0,180.8,8,201,"OakPark",0
"225",2017-06-01 07:00:00,10.6,75,0,346.6,9,203,"OakPark",0
"226",2017-06-01 08:00:00,11.6,69,0,526.7,10,205,"OakPark",0
"227",2017-06-01 09:00:00,12.5,64,0,707.5,11,207,"OakPark",0
"228",2017-06-01 10:00:00,13.3,59,0,875.1,11,211,"OakPark",0
"229",2017-06-01 11:00:00,14,55,0.3,1016,12,215,"OakPark",0
"230",2017-06-01 12:00:00,14.4,52,0,1118.7,12,220,"OakPark",0
"231",2017-06-01 13:00:00,14.6,51,0,1181,12,226,"OakPark",0
"232",2017-06-01 14:00:00,14.5,51,0,1202.7,12,232,"OakPark",0
"233",2017-06-01 15:00:00,14.2,52,0,1184,11,237,"OakPark",0
"234",2017-06-01 16:00:00,13.7,55,0,1124.8,11,240,"OakPark",0
"235",2017-06-01 17:00:00,13,58,0.9,1025,10,240,"OakPark",0
"236",2017-06-01 18:00:00,12.1,62,0,887.1,9,237,"OakPark",0
"237",2017-06-01 19:00:00,11.1,67,0,722.9,8,232,"OakPark",0
"238",2017-06-01 20:00:00,10.1,72,0,546.8,8,225,"OakPark",0
"239",2017-06-01 21:00:00,9.2,77,0,373.1,7,217,"OakPark",0
"240",2017-06-01 22:00:00,8.5,82,0,216,6,208,"OakPark",0
"241",2017-06-01 23:00:00,8,85,0,90,6,200,"OakPark",0
"242",2017-06-02 00:00:00,7.8,87,0,5.7,6,192,"OakPark",0
"243",2017-06-02 01:00:00,8,88,0,0,6,186,"OakPark",0
"244",2017-06-02 02:00:00,8.3,88,0,0,6,180,"OakPark",0
"245",2017-06-02 03:00:00,8.8,88,0,0,6,175,"OakPark",0
"246",2017-06-02 04:00:00,9.4,87,0,0,7,172,"OakPark",0
