"","date","temp","rhum","rain","solar","wdspd","wddir","stna","irish_rules"
"1",2017-05-30 00:00:00,13.1,96,0,0,5,22,"JohnstownCastle",0
"2",2017-05-30 01:00:00,12.8,97,0,0,7,23,"JohnstownCastle",0
"3",2017-05-30 02:00:00,13,97,0,0,7,23,"JohnstownCastle",0
"4",2017-05-30 03:00:00,13.2,96,0,0,8,23,"JohnstownCastle",0
"5",2017-05-30 04:00:00,13.1,96,0,2.4,7,23,"JohnstownCastle",0
"6",2017-05-30 05:00:00,13,95,0,13.9,7,23,"JohnstownCastle",0
"7",2017-05-30 06:00:00,13.2,94,0,61.2,8,23,"JohnstownCastle",0
"8",2017-05-30 07:00:00,13.8,89,0,114.9,8,22,"JohnstownCastle",0
"9",2017-05-30 08:00:00,14.3,85,0,186.8,10,22,"JohnstownCastle",0
"10",2017-05-30 09:00:00,15.4,82,0,185.6,11,23,"JohnstownCastle",0
"11",2017-05-30 10:00:00,15.1,87,0,164.6,11,22,"JohnstownCastle",0
"12",2017-05-30 11:00:00,16.1,82,0,226.2,11,23,"JohnstownCastle",0
"13",2017-05-30 12:00:00,16.1,85,0,319.2,13,23,"JohnstownCastle",0
"14",2017-05-30 13:00:00,17.2,82,0,272.2,12,24,"JohnstownCastle",0
"15",2017-05-30 14:00:00,16.5,81,0,187.9,12,22,"JohnstownCastle",0
"16",2017-05-30 15:00:00,15.5,89,0,83,10,23,"JohnstownCastle",0
"17",2017-05-30 16:00:00,15.6,91,0.1,62.2,5,26,"JohnstownCastle",0
"18",2017-05-30 17:00:00,16.5,81,0,65.1,4,28,"JohnstownCastle",0
"19",2017-05-30 18:00:00,16.7,77,0,39.9,4,25,"JohnstownCastle",0
"20",2017-05-30 19:00:00,15.7,91,0,17.1,5,22,"JohnstownCastle",0
"21",2017-05-30 20:00:00,14.7,92,0,1.9,4,23,"JohnstownCastle",0
"22",2017-05-30 21:00:00,14.5,92,0,0,4,24,"JohnstownCastle",0
"23",2017-05-30 22:00:00,14.3,91,0,0,5,26,"JohnstownCastle",0
"24",2017-05-30 23:00:00,14.4,87,0,0,5,26,"JohnstownCastle",0
"25",2017-05-31 00:00:00,13.4,89,0,0,2,25,"JohnstownCastle",0
"26",2017-05-31 01:00:00,12.5,96,0,0,4,5,"JohnstownCastle",0
"27",2017-05-31 02:00:00,12,98,0,0,1,18,"JohnstownCastle",0
"28",2017-05-31 03:00:00,11.5,99,0,0,1,11,"JohnstownCastle",0
"29",2017-05-31 04:00:00,12.7,99,0,3.6,3,18,"JohnstownCastle",0
"30",2017-05-31 05:00:00,13.2,99,0,17.2,4,16,"JohnstownCastle",0
"31",2017-05-31 05:00:00,13,99,0,18,5,106,"JohnstownCastle",0
"32",2017-05-31 06:00:00,13,99,0.2,21,8,122,"JohnstownCastle",0
"33",2017-05-31 07:00:00,14,97,0.2,27,9,164,"JohnstownCastle",0
"34",2017-05-31 08:00:00,14,90,0,75,10,175,"JohnstownCastle",0
"35",2017-05-31 09:00:00,15,86,0.1,144,10,182,"JohnstownCastle",0
"36",2017-05-31 10:00:00,15,85,0,162,10,185,"JohnstownCastle",0
"37",2017-05-31 11:00:00,16,81,0,236,11,183,"JohnstownCastle",0
"38",2017-05-31 12:00:00,16,75,0,297,13,181,"JohnstownCastle",0
"39",2017-05-31 13:00:00,15,76,0,285,14,188,"JohnstownCastle",0
"40",2017-05-31 14:00:00,15,79,0,247,14,191,"JohnstownCastle",0
"41",2017-05-31 15:00:00,15,82,0,188,13,192,"JohnstownCastle",0
"42",2017-05-31 16:00:00,14,84,0,169,13,194,"JohnstownCastle",0
"43",2017-05-31 17:00:00,14,88,0.2,112,13,191,"JohnstownCastle",0
"44",2017-05-31 18:00:00,14,93,0.4,63,14,190,"JohnstownCastle",0
"45",2017-05-31 19:00:00,13,94,0,20,14,199,"JohnstownCastle",0
"46",2017-05-31 20:00:00,13,91,0,2,14,203,"JohnstownCastle",0
"47",2017-05-31 21:00:00,13,86,0,0,13,200,"JohnstownCastle",0
"48",2017-05-31 22:00:00,13,80,0,0,12,200,"JohnstownCastle",0
"49",2017-05-31 23:00:00,13,91,0,0,12,188,"JohnstownCastle",0
"50",2017-06-01 00:00:00,14,90,0,0,13,184,"JohnstownCastle",0
"51",2017-06-01 01:00:00,13,98,0,0,16,191,"JohnstownCastle",0
"52",2017-06-01 02:00:00,14,95,0,0,15,196,"JohnstownCastle",0
"53",2017-06-01 03:00:00,14,94,0,0,16,196,"JohnstownCastle",0
"54",2017-06-01 04:00:00,14,93,0,3,15,199,"JohnstownCastle",0
"55",2017-06-01 05:00:00,14,93,0,21,15,196,"JohnstownCastle",0
"56",2017-06-01 06:00:00,14,92,0,30,14,192,"JohnstownCastle",0
"57",2017-06-01 07:00:00,14,89,0,62,15,190,"JohnstownCastle",0
"58",2017-06-01 08:00:00,14,90,0.2,85,16,192,"JohnstownCastle",0
"59",2017-06-01 09:00:00,14,89,0.3,76,16,195,"JohnstownCastle",0
"60",2017-06-01 10:00:00,14,89,0.2,48,16,196,"JohnstownCastle",0
"61",2017-06-01 11:00:00,14,89,0.2,54,15,195,"JohnstownCastle",0
"62",2017-06-01 12:00:00,14,90,0.1,41,14,191,"JohnstownCastle",0
"63",2017-06-01 13:00:00,14,90,0.1,54,15,192,"JohnstownCastle",0
"64",2017-06-01 14:00:00,14,91,0.5,36,14,196,"JohnstownCastle",0
"65",2017-06-01 15:00:00,14,92,0.5,33,13,210,"JohnstownCastle",0
"66",2017-06-01 16:00:00,14,94,0.2,15,9,227,"JohnstownCastle",0
"67",2017-06-01 17:00:00,13,87,0.3,14,9,242,"JohnstownCastle",0
"68",2017-06-01 18:00:00,13,86,0.1,12,8,237,"JohnstownCastle",0
"69",2017-06-01 19:00:00,13,87,0.1,4,8,234,"JohnstownCastle",0
"70",2017-06-01 20:00:00,13,88,0.1,0,8,233,"JohnstownCastle",0
"71",2017-06-01 21:00:00,13,91,0.1,0,8,240,"JohnstownCastle",0
"72",2017-06-01 22:00:00,13,89,0.3,0,9,250,"JohnstownCastle",0
"73",2017-06-01 23:00:00,12,88,0.6,0,8,242,"JohnstownCastle",0
"74",2017-06-02 00:00:00,12,89,0.4,0,8,230,"JohnstownCastle",0
"75",2017-06-02 01:00:00,12,89,0,0,9,235,"JohnstownCastle",0
"76",2017-06-02 02:00:00,12,91,0,0,8,243,"JohnstownCastle",0
"77",2017-06-02 03:00:00,11,92,0,0,6,258,"JohnstownCastle",0
"78",2017-06-02 04:00:00,11,94,0,6,5,270,"JohnstownCastle",0
"79",2017-06-02 05:00:00,11,94,0,36,4,273,"JohnstownCastle",0
"80",2017-06-02 06:00:00,12,93,0,85,3,276,"JohnstownCastle",0
"81",2017-06-02 07:00:00,13,87,0,136,3,237,"JohnstownCastle",0
"82",2017-06-02 08:00:00,14,81,0.2,186,6,220,"JohnstownCastle",0
"83",2017-06-02 09:00:00,14,76,0.1,228,8,222,"JohnstownCastle",0
"84",2017-06-02 10:00:00,14,73,0,255,10,222,"JohnstownCastle",0
"85",2017-06-02 11:00:00,14,68,0,288,11,223,"JohnstownCastle",0
"86",2017-06-02 12:00:00,14,68,0,293,12,224,"JohnstownCastle",0
"87",2017-06-02 13:00:00,14,68,0,290,13,227,"JohnstownCastle",0
"88",2017-06-02 14:00:00,14,64,0,277,14,228,"JohnstownCastle",0
"89",2017-06-02 15:00:00,14,67,0,244,14,228,"JohnstownCastle",0
"90",2017-06-02 16:00:00,14,70,0,178,15,231,"JohnstownCastle",0
"91",2017-06-02 17:00:00,14,71,0,134,14,233,"JohnstownCastle",0
"92",2017-06-02 18:00:00,13,73,0,73,13,233,"JohnstownCastle",0
"93",2017-06-02 19:00:00,13,74,0,32,13,232,"JohnstownCastle",0
"94",2017-06-02 20:00:00,13,76,0,3,13,234,"JohnstownCastle",0
"95",2017-06-02 21:00:00,12,77,0,0,12,232,"JohnstownCastle",0
"96",2017-06-02 22:00:00,12,78,0,0,12,231,"JohnstownCastle",0
"97",2017-06-02 23:00:00,12,79,0,0,13,231,"JohnstownCastle",0
"98",2017-06-03 00:00:00,12,84,0,0,11,229,"JohnstownCastle",0
"99",2017-06-03 01:00:00,12,80,0,0,10,238,"JohnstownCastle",0
"100",2017-06-03 02:00:00,11,84,0,0,9,252,"JohnstownCastle",0
"101",2017-06-03 03:00:00,11,86,0,0,8,253,"JohnstownCastle",0
