"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","dk_daily_spor","dk_infpressure"
"1",2017-05-30 00:00:00,13.2,92,0.2,0,1,7,"MoorePark",150,0,NA,0
"2",2017-05-30 01:00:00,13.1,93,0.1,0,2,17,"MoorePark",150,0,NA,0
"3",2017-05-30 02:00:00,13.1,93,0,0,2,22,"MoorePark",150,0,NA,0
"4",2017-05-30 03:00:00,12.9,89,0,0,3,22,"MoorePark",150,0,NA,0
"5",2017-05-30 04:00:00,12.4,88,0,3.4,3,19,"MoorePark",150,0,NA,0
"6",2017-05-30 05:00:00,12.5,87,0,13.3,4,16,"MoorePark",150,0,NA,0
"7",2017-05-30 06:00:00,12.7,86,0,34.3,2,16,"MoorePark",150,0,NA,0
"8",2017-05-30 07:00:00,13.7,85,0,65.4,2,16,"MoorePark",150,0,NA,0
"9",2017-05-30 08:00:00,14.8,83,0,173.4,4,19,"MoorePark",150,0,NA,0
"10",2017-05-30 09:00:00,16,82,0,71,6,20,"MoorePark",150,0,NA,0
"11",2017-05-30 10:00:00,16,80,0,83.7,6,20,"MoorePark",150,0,NA,0
"12",2017-05-30 11:00:00,14.1,89,1.8,124.4,7,30,"MoorePark",150,0,NA,0
"13",2017-05-30 12:00:00,15.5,80,0.7,132.2,7,29,"MoorePark",150,0,0,0
"14",2017-05-30 13:00:00,15.8,77,0.1,173.8,7,32,"MoorePark",150,0,NA,0.5
"15",2017-05-30 14:00:00,16.2,69,0,206.2,8,29,"MoorePark",150,0,NA,0.9
"16",2017-05-30 15:00:00,17.1,61,0,166.3,6,29,"MoorePark",150,0,NA,1.4
"17",2017-05-30 16:00:00,16.8,59,0,153.5,7,32,"MoorePark",150,0,NA,1.8
"18",2017-05-30 17:00:00,17,56,0,125.8,6,31,"MoorePark",150,0,NA,2.3
"19",2017-05-30 18:00:00,16.9,54,0,81.5,6,31,"MoorePark",150,0,NA,2.8
"20",2017-05-30 19:00:00,15.6,58,0,37.5,5,31,"MoorePark",150,0,NA,3.2
"21",2017-05-30 20:00:00,15.1,63,0,3.4,4,30,"MoorePark",150,0,NA,3.7
"22",2017-05-30 21:00:00,12.6,73,0,0,3,31,"MoorePark",150,0,NA,4.1
"23",2017-05-30 22:00:00,11.7,75,0,0,4,28,"MoorePark",150,0,NA,4.6
"24",2017-05-30 23:00:00,10.4,79,0,0,4,30,"MoorePark",150,0,NA,5
"25",2017-05-31 00:00:00,9.9,81,0,0,3,26,"MoorePark",151,0,NA,5.5
"26",2017-05-31 01:00:00,9.3,84,0,0,4,28,"MoorePark",151,0,NA,6
"27",2017-05-31 02:00:00,9.1,85,0,0,4,28,"MoorePark",151,0,NA,6.4
"28",2017-05-31 03:00:00,9.2,87,0,0,1,1,"MoorePark",151,0,NA,6.9
"29",2017-05-31 04:00:00,9,88,0,1.8,1,3,"MoorePark",151,0,NA,7.3
"30",2017-05-31 05:00:00,9.2,87,0,5.8,0,2,"MoorePark",151,0,NA,7.8
"31",2017-05-31 06:00:00,10.1,87,0,35.2,2,10,"MoorePark",151,0,NA,8.2
"32",2017-05-31 07:00:00,11.6,91,0,57.1,6,10,"MoorePark",151,0,NA,8.7
"33",2017-05-31 08:00:00,12.9,93,0,101.3,6,10,"MoorePark",151,0,NA,9.2
"34",2017-05-31 09:00:00,14.7,89,0,105.3,6,10,"MoorePark",151,0,NA,9.6
"35",2017-05-31 10:00:00,16.2,81,0,191.7,7,15,"MoorePark",151,0,NA,10.1
"36",2017-05-31 11:00:00,16.6,77,0,196.1,10,16,"MoorePark",151,0,NA,10.5
"37",2017-05-31 12:00:00,17,70,0,185.4,9,16,"MoorePark",151,0,0,11
"38",2017-05-31 13:00:00,16.7,71,0,134.8,12,17,"MoorePark",151,0,NA,11
"39",2017-05-31 14:00:00,16,73,0,103.6,12,15,"MoorePark",151,0,NA,11
"40",2017-05-31 15:00:00,15.9,72,0,88.2,8,18,"MoorePark",151,0,NA,11
"41",2017-05-31 16:00:00,16,66,0,89.7,8,17,"MoorePark",151,0,NA,11
"42",2017-05-31 17:00:00,15.9,68,0,74.1,9,16,"MoorePark",151,0,NA,11
"43",2017-05-31 18:00:00,15.4,63,0,28.4,8,16,"MoorePark",151,0,NA,11
"44",2017-05-31 19:00:00,14.6,71,0,11.5,8,17,"MoorePark",151,0,NA,11
"45",2017-05-31 20:00:00,14.2,76,0,1.9,7,17,"MoorePark",151,0,NA,11
"46",2017-05-31 21:00:00,13.5,76,0,0,6,15,"MoorePark",151,0,NA,11
"47",2017-05-31 22:00:00,12.9,77,0,0,7,16,"MoorePark",151,0,NA,11
"48",2017-05-31 23:00:00,13.5,73,0,0,8,16,"MoorePark",151,0,NA,11
"49",2017-06-01 00:00:00,13.6,75,0,0,6,15,"MoorePark",152,0,NA,11
"50",2017-06-01 01:00:00,13.8,73,0,0,7,14,"MoorePark",152,0,NA,11
"51",2017-06-01 02:00:00,13.9,72,0,0,9,16,"MoorePark",152,0,NA,11
"52",2017-06-01 03:00:00,13.7,76,0,0,7,14,"MoorePark",152,0,NA,11
"53",2017-06-01 04:00:00,13.8,78,0,0.1,7,15,"MoorePark",152,0,NA,11
"54",2017-06-01 05:00:00,13.9,80,0,1.5,6,15,"MoorePark",152,0,NA,11
"55",2017-06-01 06:00:00,13.7,86,0,6.4,6,16,"MoorePark",152,0,NA,11
"56",2017-06-01 07:00:00,13.5,90,0,27,6,15,"MoorePark",152,0,NA,11
"57",2017-06-01 08:00:00,14,92,0.5,53.5,6,17,"MoorePark",152,0,NA,11
"58",2017-06-01 09:00:00,14.5,92,0.5,33.8,8,18,"MoorePark",152,0,NA,11
"59",2017-06-01 10:00:00,13,84,0.7,41.6,8,22,"MoorePark",152,0,NA,11
"60",2017-06-01 11:00:00,12.4,80,0.6,33.2,3,20,"MoorePark",152,0,NA,11
"61",2017-06-01 12:00:00,12.1,86,0.7,55.2,2,7,"MoorePark",152,0,0,11
"62",2017-06-01 13:00:00,12.6,86,1,54.1,4,16,"MoorePark",152,0,NA,11
"63",2017-06-01 14:00:00,13,89,0.7,41.2,5,15,"MoorePark",152,0,NA,11
"64",2017-06-01 15:00:00,13.2,89,0.8,48.9,4,19,"MoorePark",152,0,NA,11
"65",2017-06-01 16:00:00,13.3,87,0.7,56.8,3,23,"MoorePark",152,0,NA,11
"66",2017-06-01 17:00:00,13.6,87,0.2,40.7,3,20,"MoorePark",152,0,NA,11
"67",2017-06-01 18:00:00,13.3,86,0,31.5,4,20,"MoorePark",152,0,NA,11
"68",2017-06-01 19:00:00,13.4,84,0,8.9,3,13,"MoorePark",152,0,NA,11
"69",2017-06-01 20:00:00,13.1,86,0.1,1.3,3,14,"MoorePark",152,0,NA,11
"70",2017-06-01 21:00:00,12.6,89,0,0,3,18,"MoorePark",152,0,NA,11
"71",2017-06-01 22:00:00,12.5,90,0,0,1,10,"MoorePark",152,0,NA,11
"72",2017-06-01 23:00:00,12.5,86,0,0,5,20,"MoorePark",152,0,NA,11
"73",2017-06-02 00:00:00,11.6,91,0,0,1,24,"MoorePark",153,0,NA,11
"74",2017-06-02 01:00:00,10.9,92,0,0,1,12,"MoorePark",153,0,NA,11
"75",2017-06-02 02:00:00,9.9,93,0,0,2,20,"MoorePark",153,0,NA,11
"76",2017-06-02 03:00:00,8.6,94,0,0,1,3,"MoorePark",153,0,NA,11
"77",2017-06-02 04:00:00,7.1,93,0,2.1,1,33,"MoorePark",153,0,NA,11
"78",2017-06-02 05:00:00,7.5,94,0,17.1,1,27,"MoorePark",153,0,NA,11
"79",2017-06-02 06:00:00,8.7,95,0,45.8,1,8,"MoorePark",153,0,NA,11
"80",2017-06-02 07:00:00,9.4,96,0,121,1,35,"MoorePark",153,0,NA,11
"81",2017-06-02 08:00:00,9.8,97,0,210.4,1,29,"MoorePark",153,0,NA,11
"82",2017-06-02 09:00:00,10.2,97,0,206,2,25,"MoorePark",153,0,NA,11
"83",2017-06-02 10:00:00,10.4,96,0,251.3,3,21,"MoorePark",153,0,NA,11
"84",2017-06-02 11:00:00,10.5,96,0,158.6,4,26,"MoorePark",153,0,NA,11
"85",2017-06-02 12:00:00,10.6,95,0,233.9,5,28,"MoorePark",153,0,11,11
"86",2017-06-02 13:00:00,10.5,93,0,235.9,8,23,"MoorePark",153,0,NA,11
"87",2017-06-02 14:00:00,10.5,92,0,215.3,9,22,"MoorePark",153,0,NA,11
"88",2017-06-02 15:00:00,10.4,91,0,163.5,6,23,"MoorePark",153,0,NA,11
