"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","dk_daily_spor","dk_infpressure"
"1",2017-06-07 00:00:00,10.1,93,0,0,13,27,"Dunsany",158,0,NA,41
"2",2017-06-07 01:00:00,9.3,97,0,0,11,26,"Dunsany",158,0,NA,41
"3",2017-06-07 02:00:00,9,98,0,0,9,27,"Dunsany",158,0,NA,41
"4",2017-06-07 03:00:00,8.4,100,0,0.1,8,26,"Dunsany",158,0,NA,41
"5",2017-06-07 04:00:00,7.9,100,0,9.7,8,25,"Dunsany",158,0,NA,41
"6",2017-06-07 05:00:00,8,100,0,45.8,7,25,"Dunsany",158,0,NA,41
"7",2017-06-07 06:00:00,9,99,0,91.8,6,26,"Dunsany",158,0,NA,41
"8",2017-06-07 07:00:00,10.6,92,0,156.7,10,26,"Dunsany",158,0,NA,41
"9",2017-06-07 08:00:00,12.2,84,0,165.7,9,26,"Dunsany",158,0,NA,41
"10",2017-06-07 09:00:00,13.4,76,0,169.6,8,25,"Dunsany",158,0,NA,41
"11",2017-06-07 10:00:00,14.1,71,0,171.4,7,23,"Dunsany",158,0,NA,41
"12",2017-06-07 11:00:00,14.6,67,0,186.8,8,22,"Dunsany",158,0,NA,41
"13",2017-06-07 12:00:00,14.9,65,0,137.8,9,22,"Dunsany",158,0,0,41
"14",2017-06-07 13:00:00,15.5,62,0,124,9,20,"Dunsany",158,0,NA,41.5
"15",2017-06-07 14:00:00,15,66,0,102.1,10,20,"Dunsany",158,0,NA,42
"16",2017-06-07 15:00:00,14.3,74,0,65.3,11,19,"Dunsany",158,0,NA,42.5
"17",2017-06-07 16:00:00,11.7,90,0.8,43.9,7,17,"Dunsany",158,0,NA,43
"18",2017-06-07 17:00:00,11.5,100,0.8,25,6,12,"Dunsany",158,0,NA,43.5
"19",2017-06-07 18:00:00,11.6,100,0.8,31.6,9,11,"Dunsany",158,0,NA,44
"20",2017-06-07 19:00:00,12,100,0.1,10,4,15,"Dunsany",158,0,NA,44.5
"21",2017-06-07 20:00:00,12.4,100,0,3.7,5,16,"Dunsany",158,0,NA,45
"22",2017-06-07 21:00:00,13,100,0,0,6,18,"Dunsany",158,0,NA,45.5
"23",2017-06-07 22:00:00,13.6,100,0,0,7,19,"Dunsany",158,0,NA,46
"24",2017-06-07 23:00:00,13.9,100,0,0,6,20,"Dunsany",158,0,NA,46.5
"25",2017-06-08 00:00:00,13.8,100,0.1,0,4,19,"Dunsany",159,0,NA,47
"26",2017-06-08 01:00:00,13.9,100,0.1,0,5,19,"Dunsany",159,0,NA,47.5
"27",2017-06-08 02:00:00,13.6,100,0.3,0,6,19,"Dunsany",159,0,NA,48
"28",2017-06-08 03:00:00,13.3,100,0.7,0,4,16,"Dunsany",159,1,NA,48.5
"29",2017-06-08 04:00:00,13.1,100,1,1.2,4,16,"Dunsany",159,2,NA,49
"30",2017-06-08 05:00:00,12.8,100,2,7.4,3,15,"Dunsany",159,3,NA,49.5
"31",2017-06-08 06:00:00,12.7,100,2.3,25.4,4,11,"Dunsany",159,4,NA,50
"32",2017-06-08 07:00:00,12.8,100,0.7,50.7,5,9,"Dunsany",159,5,NA,50.5
"33",2017-06-08 08:00:00,13.4,100,0.3,66.8,2,17,"Dunsany",159,6,NA,51
"34",2017-06-08 09:00:00,14,100,0.1,119.6,3,23,"Dunsany",159,7,NA,51.5
"35",2017-06-08 10:00:00,15.7,100,0,218.1,5,21,"Dunsany",159,8,NA,52
"36",2017-06-08 11:00:00,17.2,100,0,184.4,8,20,"Dunsany",159,9,NA,52.5
"37",2017-06-08 12:00:00,16.8,100,0,114,7,22,"Dunsany",159,10,32,53
"38",2017-06-08 13:00:00,13.7,99,1,186.6,15,23,"Dunsany",159,11,NA,53
"39",2017-06-08 14:00:00,16.6,99,0.2,93.7,14,24,"Dunsany",159,12,NA,53
"40",2017-06-08 15:00:00,14.3,98,0.3,161.7,18,24,"Dunsany",159,13,NA,53
