"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","dk_daily_spor","dk_infpressure"
"1",2017-06-16 00:00:00,12.6,87,0,0,6,23,"Gurteen",167,0,NA,0
"2",2017-06-16 01:00:00,13.2,86,0,0,9,23,"Gurteen",167,0,NA,0
"3",2017-06-16 02:00:00,13.4,86,0,0,10,24,"Gurteen",167,0,NA,0
"4",2017-06-16 03:00:00,13.6,85,0,0,10,24,"Gurteen",167,0,NA,0
"5",2017-06-16 04:00:00,13.5,86,0,1.2,8,23,"Gurteen",167,0,NA,0
"6",2017-06-16 05:00:00,13.2,88,0,7.2,5,22,"Gurteen",167,0,NA,0
"7",2017-06-16 06:00:00,13.4,88,0,8.8,10,21,"Gurteen",167,0,NA,0
"8",2017-06-16 07:00:00,13.7,88,0,16.1,5,21,"Gurteen",167,0,NA,0
"9",2017-06-16 08:00:00,14.1,88,0,22.3,6,23,"Gurteen",167,0,NA,0
"10",2017-06-16 09:00:00,14.2,92,0,34.1,5,20,"Gurteen",167,0,NA,0
"11",2017-06-16 10:00:00,15.3,89,0,76.9,9,25,"Gurteen",167,0,NA,0
"12",2017-06-16 11:00:00,16.8,85,0,108.8,11,22,"Gurteen",167,0,NA,0
"13",2017-06-16 12:00:00,17,86,0,120.6,14,24,"Gurteen",167,0,0,0
"14",2017-06-16 13:00:00,17.9,83,0,124.3,11,24,"Gurteen",167,0,NA,0
"15",2017-06-16 14:00:00,18.7,80,0,105.8,12,24,"Gurteen",167,0,NA,0
"16",2017-06-16 15:00:00,19.2,68,0,64.7,13,24,"Gurteen",167,0,NA,0
"17",2017-06-16 16:00:00,19.2,68,0,57.5,9,25,"Gurteen",167,0,NA,0
"18",2017-06-16 17:00:00,18.7,70,0,62.6,9,26,"Gurteen",167,0,NA,0
"19",2017-06-16 18:00:00,19.1,72,0,44.4,7,23,"Gurteen",167,0,NA,0
"20",2017-06-16 19:00:00,18.8,76,0,25,5,23,"Gurteen",167,0,NA,0
"21",2017-06-16 20:00:00,18.3,74,0,3,4,27,"Gurteen",167,0,NA,0
"22",2017-06-16 21:00:00,17.8,75,0,0,3,26,"Gurteen",167,0,NA,0
"23",2017-06-16 22:00:00,17,78,0,0,2,21,"Gurteen",167,0,NA,0
"24",2017-06-16 23:00:00,14.2,85,0,0,5,17,"Gurteen",167,0,NA,0
"25",2017-06-17 00:00:00,13.6,87,0,0,3,19,"Gurteen",168,0,NA,0
"26",2017-06-17 01:00:00,12.3,91,0,0,3,25,"Gurteen",168,0,NA,0
"27",2017-06-17 02:00:00,10.6,92,0,0,3,17,"Gurteen",168,0,NA,0
"28",2017-06-17 03:00:00,10.7,93,0,0,2,18,"Gurteen",168,0,NA,0
"29",2017-06-17 04:00:00,12.4,95,0,3.7,3,21,"Gurteen",168,0,NA,0
"30",2017-06-17 05:00:00,12.6,94,0,22.2,3,17,"Gurteen",168,0,NA,0
"31",2017-06-17 06:00:00,12.9,94,0,76.5,4,15,"Gurteen",168,0,NA,0
"32",2017-06-17 07:00:00,14.3,88,0,145,6,23,"Gurteen",168,0,NA,0
