"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","dk_daily_spor","dk_infpressure"
"1",2017-06-14 00:00:00,12.5,90,0,0,5,19,"Dunsany",165,0,0,12
"2",2017-06-14 01:00:00,12.1,88,0,0,6,19,"Dunsany",165,0,NA,12
"3",2017-06-14 02:00:00,11.9,89,0,0,9,20,"Dunsany",165,0,NA,12
"4",2017-06-14 03:00:00,12,88,0,0,10,19,"Dunsany",165,0,NA,12
"5",2017-06-14 04:00:00,11.9,89,0,4.7,6,21,"Dunsany",165,0,NA,12
"6",2017-06-14 05:00:00,12.1,90,0,21.1,5,19,"Dunsany",165,0,NA,12
"7",2017-06-14 06:00:00,12.6,85,0,33.1,6,18,"Dunsany",165,0,NA,12
"8",2017-06-14 07:00:00,12.8,85,0,67.4,6,17,"Dunsany",165,0,NA,12
"9",2017-06-14 08:00:00,13.6,82,0,122.1,8,19,"Dunsany",165,0,NA,12
"10",2017-06-14 09:00:00,14.7,77,0,175,8,19,"Dunsany",165,0,NA,12
"11",2017-06-14 10:00:00,16,74,0.2,213.7,10,21,"Dunsany",165,0,NA,12
"12",2017-06-14 11:00:00,16.7,72,0,149,9,17,"Dunsany",165,0,0,12
"13",2017-06-14 12:00:00,17.2,71,0,207.8,9,19,"Dunsany",165,0,NA,12
"14",2017-06-14 13:00:00,17.1,68,0,248.1,11,20,"Dunsany",165,0,NA,12
"15",2017-06-14 14:00:00,17.9,64,0,226.9,12,16,"Dunsany",165,0,NA,12
"16",2017-06-14 15:00:00,18.6,64,0,200.1,11,19,"Dunsany",165,0,NA,12
"17",2017-06-14 16:00:00,17.7,64,0,132.1,12,20,"Dunsany",165,0,NA,12
"18",2017-06-14 17:00:00,16.7,68,0,86.3,9,17,"Dunsany",165,0,NA,12
"19",2017-06-14 18:00:00,15.7,71,0,35.2,11,19,"Dunsany",165,0,NA,12
"20",2017-06-14 19:00:00,14.5,76,0,35,10,19,"Dunsany",165,0,NA,12
"21",2017-06-14 20:00:00,14.2,79,0,5.2,9,18,"Dunsany",165,0,NA,12
"22",2017-06-14 21:00:00,13.5,82,0,0,9,19,"Dunsany",165,0,NA,12
"23",2017-06-14 22:00:00,13.4,86,0,0,10,18,"Dunsany",165,0,NA,12
"24",2017-06-14 23:00:00,13.6,90,0.4,0,11,18,"Dunsany",165,0,NA,12
"25",2017-06-15 00:00:00,13.8,93,0.2,0,9,19,"Dunsany",166,0,NA,12
"26",2017-06-15 01:00:00,13.7,92,0,0,9,20,"Dunsany",166,0,NA,12
