"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","dk_daily_spor","dk_infpressure"
"1",2017-06-14 00:00:00,12.6,95,0,0,5,19,"JohnstownCastle",165,0,0,25.5
"2",2017-06-14 01:00:00,11.8,98,0,0,5,19,"JohnstownCastle",165,0,NA,25.5
"3",2017-06-14 02:00:00,11.9,99,0,0,5,19,"JohnstownCastle",165,0,NA,25.5
"4",2017-06-14 03:00:00,12,99,0,0,5,19,"JohnstownCastle",165,0,NA,25.5
"5",2017-06-14 04:00:00,11.7,100,0,6,5,19,"JohnstownCastle",165,0,NA,25.5
"6",2017-06-14 05:00:00,11.7,100,0,36.7,4,18,"JohnstownCastle",165,0,NA,25.5
"7",2017-06-14 06:00:00,12.5,99,0,42.7,5,15,"JohnstownCastle",165,0,NA,25.5
"8",2017-06-14 07:00:00,12.8,94,0,76,6,17,"JohnstownCastle",165,0,NA,25.5
"9",2017-06-14 08:00:00,13.6,90,0,142.3,6,18,"JohnstownCastle",165,0,NA,25.5
"10",2017-06-14 09:00:00,14.5,80,0,211.2,8,19,"JohnstownCastle",165,0,NA,25.5
"11",2017-06-14 10:00:00,14.9,78,0,145.3,10,19,"JohnstownCastle",165,0,NA,25.5
"12",2017-06-14 11:00:00,15.1,79,0,201.8,8,21,"JohnstownCastle",165,0,0,25.5
"13",2017-06-14 12:00:00,15.2,78,0,274,9,20,"JohnstownCastle",165,0,NA,25.5
"14",2017-06-14 13:00:00,15.7,74,0,131.5,10,17,"JohnstownCastle",165,0,NA,26
"15",2017-06-14 14:00:00,14,80,0,98.3,9,20,"JohnstownCastle",165,0,NA,26.5
"16",2017-06-14 15:00:00,14.2,78,0,35.1,12,21,"JohnstownCastle",165,0,NA,27
"17",2017-06-14 16:00:00,13.8,84,0,37.8,9,21,"JohnstownCastle",165,0,NA,27.5
"18",2017-06-14 17:00:00,13.9,88,0,27.2,9,19,"JohnstownCastle",165,0,NA,28
"19",2017-06-14 18:00:00,13.8,89,0,37.8,9,21,"JohnstownCastle",165,0,NA,28.5
"20",2017-06-14 19:00:00,13.9,89,0,18,9,22,"JohnstownCastle",165,0,NA,29
"21",2017-06-14 20:00:00,13.7,90,0,2.1,8,20,"JohnstownCastle",165,0,NA,29.5
"22",2017-06-14 21:00:00,13.5,92,0,0,9,19,"JohnstownCastle",165,0,NA,30
"23",2017-06-14 22:00:00,13.3,94,0,0,9,18,"JohnstownCastle",165,0,NA,30.5
"24",2017-06-14 23:00:00,13.5,95,0,0,10,19,"JohnstownCastle",165,0,NA,31
"25",2017-06-15 00:00:00,13.4,98,0.7,0,10,19,"JohnstownCastle",166,0,NA,31.5
"26",2017-06-15 01:00:00,13.7,99,1,0,14,21,"JohnstownCastle",166,0,NA,32
"27",2017-06-15 02:00:00,13.3,97,0,0,11,23,"JohnstownCastle",166,0,NA,32.5
"28",2017-06-15 03:00:00,12.7,96,0,0,10,24,"JohnstownCastle",166,0,NA,33
"29",2017-06-15 04:00:00,12,96,0,10.2,8,23,"JohnstownCastle",166,0,NA,33.5
"30",2017-06-15 05:00:00,12,94,0,43.3,8,23,"JohnstownCastle",166,0,NA,34
"31",2017-06-15 06:00:00,12.4,92,0,76.5,12,23,"JohnstownCastle",166,0,NA,34.5
"32",2017-06-15 07:00:00,13.1,88,0,120.1,11,23,"JohnstownCastle",166,0,NA,35
"33",2017-06-15 08:00:00,14,83,0,200.4,11,24,"JohnstownCastle",166,0,NA,35.5
"34",2017-06-15 09:00:00,14.4,82,0.1,232.4,13,23,"JohnstownCastle",166,0,NA,36
"35",2017-06-15 10:00:00,15.4,80,0,266.4,14,22,"JohnstownCastle",166,0,NA,36.5
"36",2017-06-15 11:00:00,15.7,76,0,305.4,14,23,"JohnstownCastle",166,0,15,37
"37",2017-06-15 12:00:00,15.8,77,0,330,15,23,"JohnstownCastle",166,0,NA,37.5
"38",2017-06-15 13:00:00,16.2,73,0,310.5,16,24,"JohnstownCastle",166,0,NA,38
"39",2017-06-15 14:00:00,15.8,74,0,179.2,15,23,"JohnstownCastle",166,0,NA,38.5
"40",2017-06-15 15:00:00,14.8,79,0,101.8,14,23,"JohnstownCastle",166,0,NA,39
"41",2017-06-15 16:00:00,15.1,78,0,117.3,10,23,"JohnstownCastle",166,0,NA,39.5
"42",2017-06-15 17:00:00,16.4,73,0,114.5,11,24,"JohnstownCastle",166,0,NA,40
"43",2017-06-15 18:00:00,15.9,79,0,95.6,6,21,"JohnstownCastle",166,0,NA,40.5
