"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","dk_daily_spor","dk_infpressure","irish_rules_sensitive"
"1",2017-06-24 00:00:00,12.4,80,0,0,6,22,"Gurteen",175,0,0,10.7,0
"2",2017-06-24 01:00:00,12.5,83,0,0,8,24,"Gurteen",175,0,NA,10.7,0
"3",2017-06-24 02:00:00,12.5,85,0,0,9,24,"Gurteen",175,0,NA,10.7,0
"4",2017-06-24 03:00:00,12.5,85,0,0,9,24,"Gurteen",175,0,NA,10.7,0
"5",2017-06-24 04:00:00,12.6,87,0,1.4,7,25,"Gurteen",175,0,NA,10.7,0
"6",2017-06-24 05:00:00,12.8,90,0,8.6,8,24,"Gurteen",175,0,NA,10.7,0
"7",2017-06-24 06:00:00,13.2,90,0,28.4,10,24,"Gurteen",175,0,NA,10.7,0
"8",2017-06-24 07:00:00,14,89,0,60.5,9,24,"Gurteen",175,0,NA,10.7,0
"9",2017-06-24 08:00:00,14.6,86,0,110.8,12,24,"Gurteen",175,0,NA,10.7,0
"10",2017-06-24 09:00:00,15.4,84,0,112.2,11,23,"Gurteen",175,0,NA,10.7,0
"11",2017-06-24 10:00:00,14.4,90,0.5,176.5,11,26,"Gurteen",175,0,NA,10.7,0
"12",2017-06-24 11:00:00,16,72,0,293.5,14,27,"Gurteen",175,0,0,10.7,0
"13",2017-06-24 12:00:00,17,68,0,308.4,13,28,"Gurteen",175,0,NA,10.7,0
"14",2017-06-24 13:00:00,17,66,0,309,13,28,"Gurteen",175,0,NA,11.3,0
"15",2017-06-24 14:00:00,17,62,0,204.8,12,26,"Gurteen",175,0,NA,12,0
"16",2017-06-24 15:00:00,16.2,63,0,209.1,12,26,"Gurteen",175,0,NA,12.7,0
"17",2017-06-24 16:00:00,15.9,63,0,141.8,12,24,"Gurteen",175,0,NA,13.3,0
"18",2017-06-24 17:00:00,14.8,67,0,60.7,12,26,"Gurteen",175,0,NA,14,0
"19",2017-06-24 18:00:00,13.9,72,0,35.1,12,27,"Gurteen",175,0,NA,14.7,0
"20",2017-06-24 19:00:00,12.9,76,0,11.9,13,26,"Gurteen",175,0,NA,15.3,0
"21",2017-06-24 20:00:00,12.5,81,0,4,9,26,"Gurteen",175,0,NA,16,0
"22",2017-06-24 21:00:00,12.2,84,0,0,8,24,"Gurteen",175,0,NA,16.7,0
"23",2017-06-24 22:00:00,12.2,86,0,0,7,24,"Gurteen",175,0,NA,17.3,0
"24",2017-06-24 23:00:00,11.9,92,0.1,0,5,19,"Gurteen",175,0,NA,18,0
