"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","dk_daily_spor","dk_infpressure","irish_rules_sensitive"
"1",2017-06-30 00:00:00,11.2,82,0,0,13,32,"Dunsany",181,0,0,0.4,0
"2",2017-06-30 01:00:00,11,83,0,0,12,32,"Dunsany",181,0,NA,0.4,0
"3",2017-06-30 02:00:00,11.1,83,0,0,14,32,"Dunsany",181,0,NA,0.4,0
"4",2017-06-30 03:00:00,10.6,87,0.1,0,15,33,"Dunsany",181,0,NA,0.4,0
"5",2017-06-30 04:00:00,10.6,87,0.2,0.1,15,32,"Dunsany",181,0,NA,0.4,0
"6",2017-06-30 05:00:00,10.6,88,0.1,3,15,31,"Dunsany",181,0,NA,0.4,0
"7",2017-06-30 06:00:00,10.4,90,0.6,7.3,13,32,"Dunsany",181,0,NA,0.4,0
"8",2017-06-30 07:00:00,10.5,88,0.4,12.2,14,32,"Dunsany",181,0,NA,0.4,0
"9",2017-06-30 08:00:00,10.9,86,0.1,19.1,13,32,"Dunsany",181,0,NA,0.4,0
"10",2017-06-30 09:00:00,11.2,85,0,29.8,13,32,"Dunsany",181,0,NA,0.4,0
"11",2017-06-30 10:00:00,11.6,83,0,40,14,32,"Dunsany",181,0,NA,0.4,0
"12",2017-06-30 11:00:00,12.1,81,0,71.8,13,32,"Dunsany",181,0,0,0.4,0
"13",2017-06-30 12:00:00,12.8,78,0,115.1,17,32,"Dunsany",181,0,NA,0.4,0
"14",2017-06-30 13:00:00,13.6,74,0,71.9,15,31,"Dunsany",181,0,NA,0.8,0
"15",2017-06-30 14:00:00,13.4,73,0,92.3,14,31,"Dunsany",181,0,NA,1.2,0
"16",2017-06-30 15:00:00,13.8,72,0,72.4,12,31,"Dunsany",181,0,NA,1.7,0
"17",2017-06-30 16:00:00,14.1,70,0,64.6,11,32,"Dunsany",181,0,NA,2.1,0
"18",2017-06-30 17:00:00,13.7,72,0,49.5,12,32,"Dunsany",181,0,NA,2.5,0
"19",2017-06-30 18:00:00,13.8,70,0,40.4,10,32,"Dunsany",181,0,NA,2.9,0
"20",2017-06-30 19:00:00,13.9,71,0,22.7,9,31,"Dunsany",181,0,NA,3.3,0
"21",2017-06-30 20:00:00,13.2,72,0,8.7,8,32,"Dunsany",181,0,NA,3.8,0
"22",2017-06-30 21:00:00,11.9,79,0,0.1,2,29,"Dunsany",181,0,NA,4.2,0
"23",2017-06-30 22:00:00,10,86,0,0,3,22,"Dunsany",181,0,NA,4.6,0
"24",2017-06-30 23:00:00,9.1,83,0,0,4,27,"Dunsany",181,0,NA,5,0
"25",2017-07-01 00:00:00,8,86,0,0,3,27,"Dunsany",182,0,NA,5.4,0
"26",2017-07-01 01:00:00,7.9,89,0,0,5,27,"Dunsany",182,0,NA,5.8,0
"27",2017-07-01 02:00:00,6.4,94,0,0,2,26,"Dunsany",182,0,NA,6.2,0
"28",2017-07-01 03:00:00,6,97,0,0.1,3,22,"Dunsany",182,0,NA,6.7,0
"29",2017-07-01 04:00:00,5.8,96,0,10.5,3,24,"Dunsany",182,0,NA,7.1,0
"30",2017-07-01 05:00:00,6.8,96,0,41,4,23,"Dunsany",182,0,NA,7.5,0
"31",2017-07-01 06:00:00,8.6,93,0,55.9,6,20,"Dunsany",182,0,NA,7.9,0
"32",2017-07-01 07:00:00,10.3,90,0,77.6,7,21,"Dunsany",182,0,NA,8.3,0
"33",2017-07-01 08:00:00,12.2,86,0,108.3,9,22,"Dunsany",182,0,NA,8.8,0
"34",2017-07-01 09:00:00,14,82,0,91.9,10,21,"Dunsany",182,0,NA,9.2,0
"35",2017-07-01 10:00:00,14.2,85,0,105.9,12,22,"Dunsany",182,0,NA,9.6,0
"36",2017-07-01 11:00:00,15,83,0,84.5,12,22,"Dunsany",182,0,0,10,0
