"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","dk_daily_spor","dk_infpressure","irish_rules_sensitive"
"1",2017-08-22 00:00:00,15.5,94,0,0,8,14,"MoorePark",234,0,18,18,0
"2",2017-08-22 01:00:00,15.4,93,0,0,7,13,"MoorePark",234,0,NA,18,0
"3",2017-08-22 02:00:00,15.2,93,0,0,9,13,"MoorePark",234,0,NA,18,0
"4",2017-08-22 03:00:00,15.3,94,0,0,8,13,"MoorePark",234,0,NA,18,0
"5",2017-08-22 04:00:00,15.4,94,0,0,8,13,"MoorePark",234,0,NA,18,0
"6",2017-08-22 05:00:00,15.4,94,0,0.5,10,14,"MoorePark",234,0,NA,18,0
"7",2017-08-22 06:00:00,15.4,93,0,7,6,13,"MoorePark",234,0,NA,18,0
"8",2017-08-22 07:00:00,15.4,94,0.1,19.6,7,14,"MoorePark",234,0,NA,18,0
"9",2017-08-22 08:00:00,15.6,94,0.8,24.1,5,12,"MoorePark",234,0,NA,18,0
"10",2017-08-22 09:00:00,15.7,94,0.7,22.6,4,10,"MoorePark",234,0,NA,18,1
"11",2017-08-22 10:00:00,15.6,94,0.2,35.4,6,10,"MoorePark",234,0,NA,18,2
"12",2017-08-22 11:00:00,16.3,93,0.2,45.8,7,10,"MoorePark",234,1,18,18,3
"13",2017-08-22 12:00:00,16.9,90,0,35.7,7,12,"MoorePark",234,2,NA,18,4
"14",2017-08-22 13:00:00,17,90,0,33.9,8,14,"MoorePark",234,3,NA,18,5
"15",2017-08-22 14:00:00,17,93,0,26.3,6,13,"MoorePark",234,4,NA,18,6
"16",2017-08-22 15:00:00,16.8,93,0.1,23.7,6,13,"MoorePark",234,5,NA,18,7
"17",2017-08-22 16:00:00,17.1,94,0.1,18.9,3,16,"MoorePark",234,6,NA,18,8
"18",2017-08-22 17:00:00,17.1,92,0,66.8,3,18,"MoorePark",234,7,NA,18,9
"19",2017-08-22 18:00:00,17.7,86,0,24.5,2,6,"MoorePark",234,0,NA,18,0
"20",2017-08-22 19:00:00,17.7,87,0,2.4,2,10,"MoorePark",234,0,NA,18,0
"21",2017-08-22 20:00:00,17.4,87,0,0,3,23,"MoorePark",234,0,NA,18,0
"22",2017-08-22 21:00:00,15.7,82,0,0,5,25,"MoorePark",234,0,NA,18,0
"23",2017-08-22 22:00:00,13.5,90,0,0,1,32,"MoorePark",234,8,NA,18,10
"24",2017-08-22 23:00:00,11.8,91,0,0,1,26,"MoorePark",234,9,NA,18,11
"25",2017-08-23 00:00:00,11.2,94,0,0,2,15,"MoorePark",235,10,NA,18,12
"26",2017-08-23 01:00:00,13.2,89,0,0,4,22,"MoorePark",235,0,NA,18,13
"27",2017-08-23 02:00:00,11.2,91,0,0,2,13,"MoorePark",235,0,NA,18,14
"28",2017-08-23 03:00:00,12.5,93,0,0,3,12,"MoorePark",235,11,NA,18,15
"29",2017-08-23 04:00:00,13.1,91,0,0,3,16,"MoorePark",235,12,NA,18,16
"30",2017-08-23 05:00:00,13.9,86,0,2.1,7,20,"MoorePark",235,0,NA,18,0
