"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","irish_rules_sensitive"
"1",2017-10-08 00:00:00,11.7,95,0,0,2,24,"Dunsany",281,0,0
"2",2017-10-08 01:00:00,11.8,95,0,0,3,23,"Dunsany",281,0,0
"3",2017-10-08 02:00:00,11.7,95,0,0,5,25,"Dunsany",281,0,0
"4",2017-10-08 03:00:00,11.6,97,0,0,5,26,"Dunsany",281,0,0
"5",2017-10-08 04:00:00,11.6,96,0,0,5,26,"Dunsany",281,0,0
"6",2017-10-08 05:00:00,11.4,98,0,0,5,24,"Dunsany",281,0,0
"7",2017-10-08 06:00:00,11.4,99,0,0.2,3,25,"Dunsany",281,0,0
"8",2017-10-08 07:00:00,11.4,98,0,5.6,3,24,"Dunsany",281,0,0
"9",2017-10-08 08:00:00,11.5,98,0,20.6,5,25,"Dunsany",281,0,0
"10",2017-10-08 09:00:00,11.9,96,0,21.1,5,25,"Dunsany",281,0,1
"11",2017-10-08 10:00:00,12,95,0,33.2,4,26,"Dunsany",281,0,2
"12",2017-10-08 11:00:00,12.3,97,0.2,53.5,3,26,"Dunsany",281,1,3
"13",2017-10-08 12:00:00,12.7,94,0.1,79.8,3,27,"Dunsany",281,2,4
"14",2017-10-08 13:00:00,13.6,92,0,64.7,4,26,"Dunsany",281,3,5
"15",2017-10-08 14:00:00,12.7,95,0,45.4,5,33,"Dunsany",281,4,6
"16",2017-10-08 15:00:00,12.9,91,0,28.3,2,29,"Dunsany",281,5,7
"17",2017-10-08 16:00:00,12.8,93,0.1,13.1,2,29,"Dunsany",281,6,8
"18",2017-10-08 17:00:00,12.7,92,0,2.1,2,25,"Dunsany",281,7,9
"19",2017-10-08 18:00:00,12.5,94,0,0,2,23,"Dunsany",281,8,10
"20",2017-10-08 19:00:00,12.2,94,0,0,3,24,"Dunsany",281,9,11
"21",2017-10-08 20:00:00,11.9,92,0,0,3,22,"Dunsany",281,10,12
"22",2017-10-08 21:00:00,11.5,94,0,0,2,20,"Dunsany",281,11,13
"23",2017-10-08 22:00:00,11.2,92,0,0,3,19,"Dunsany",281,12,14
"24",2017-10-08 23:00:00,11.3,94,0,0,3,20,"Dunsany",281,13,15
"25",2017-10-09 00:00:00,11.2,94,0,0,4,23,"Dunsany",282,14,16
"26",2017-10-09 01:00:00,10.5,96,0,0,5,24,"Dunsany",282,15,17
"27",2017-10-09 02:00:00,9.1,97,0,0,4,24,"Dunsany",282,0,0
"28",2017-10-09 03:00:00,9.2,97,0,0,5,22,"Dunsany",282,0,0
"29",2017-10-09 04:00:00,9.3,96,0,0,4,20,"Dunsany",282,0,0
"30",2017-10-09 05:00:00,9.2,96,0,0,6,22,"Dunsany",282,0,0
"31",2017-10-09 06:00:00,9.2,95,0,1.1,6,20,"Dunsany",282,0,0
"32",2017-10-09 07:00:00,8.7,96,0,9.5,4,19,"Dunsany",282,0,0
"33",2017-10-09 08:00:00,9.6,95,0,20.5,5,18,"Dunsany",282,0,0
"34",2017-10-09 09:00:00,10,96,0.1,21.8,6,19,"Dunsany",282,0,0
"35",2017-10-09 10:00:00,10.4,94,0.1,53.6,9,21,"Dunsany",282,0,0
