"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","irish_rules_sensitive"
"1",2017-10-08 00:00:00,10.8,95,0,0,3,21,"Gurteen",281,0,0
"2",2017-10-08 01:00:00,10.7,95,0,0,4,23,"Gurteen",281,0,0
"3",2017-10-08 02:00:00,10.8,94,0,0,4,26,"Gurteen",281,0,0
"4",2017-10-08 03:00:00,10.7,95,0,0,4,21,"Gurteen",281,0,0
"5",2017-10-08 04:00:00,10.7,95,0,0,3,21,"Gurteen",281,0,0
"6",2017-10-08 05:00:00,10.6,95,0,0,3,21,"Gurteen",281,0,0
"7",2017-10-08 06:00:00,10.6,96,0,0.2,3,21,"Gurteen",281,0,0
"8",2017-10-08 07:00:00,10.6,95,0,8.6,2,21,"Gurteen",281,0,0
"9",2017-10-08 08:00:00,10.9,96,0,33.5,4,22,"Gurteen",281,0,0
"10",2017-10-08 09:00:00,11.7,93,0,56.1,4,24,"Gurteen",281,0,1
"11",2017-10-08 10:00:00,12.2,88,0,61.8,4,26,"Gurteen",281,0,2
"12",2017-10-08 11:00:00,12.7,83,0,64.9,3,26,"Gurteen",281,0,0
"13",2017-10-08 12:00:00,13,82,0,64.7,2,28,"Gurteen",281,0,0
"14",2017-10-08 13:00:00,13.3,80,0,50.7,2,25,"Gurteen",281,0,0
"15",2017-10-08 14:00:00,13.7,76,0,55.7,1,24,"Gurteen",281,0,0
"16",2017-10-08 15:00:00,13.5,78,0,67.6,4,19,"Gurteen",281,0,0
"17",2017-10-08 16:00:00,13.6,77,0,22.4,4,18,"Gurteen",281,0,0
"18",2017-10-08 17:00:00,13,84,0,4,4,18,"Gurteen",281,0,0
"19",2017-10-08 18:00:00,12.4,89,0,0,2,20,"Gurteen",281,0,0
"20",2017-10-08 19:00:00,11.7,91,0,0,5,29,"Gurteen",281,0,0
"21",2017-10-08 20:00:00,11.3,93,0,0,1,29,"Gurteen",281,0,0
"22",2017-10-08 21:00:00,11.1,94,0,0,3,29,"Gurteen",281,0,0
"23",2017-10-08 22:00:00,9.1,95,0,0,3,19,"Gurteen",281,0,0
"24",2017-10-08 23:00:00,8.4,97,0,0,4,20,"Gurteen",281,0,0
"25",2017-10-09 00:00:00,7.8,97,0,0,3,19,"Gurteen",282,0,0
"26",2017-10-09 01:00:00,7.9,97,0.1,0,4,20,"Gurteen",282,0,0
"27",2017-10-09 02:00:00,7.4,97,0,0,3,21,"Gurteen",282,0,0
"28",2017-10-09 03:00:00,7.8,98,0,0,5,18,"Gurteen",282,0,0
"29",2017-10-09 04:00:00,8.3,98,0,0,3,20,"Gurteen",282,0,0
"30",2017-10-09 05:00:00,8.8,97,0,0,4,17,"Gurteen",282,0,0
"31",2017-10-09 06:00:00,9.4,96,0.1,0,6,17,"Gurteen",282,0,0
"32",2017-10-09 07:00:00,10.2,92,0,2.5,8,18,"Gurteen",282,0,0
"33",2017-10-09 08:00:00,10.3,94,0.1,22.6,7,19,"Gurteen",282,0,0
"34",2017-10-09 09:00:00,11.4,93,0.2,56,8,21,"Gurteen",282,0,0
"35",2017-10-09 10:00:00,12.4,92,0,56.9,8,20,"Gurteen",282,0,0
"36",2017-10-09 11:00:00,13.5,90,0,43.8,7,20,"Gurteen",282,0,0
"37",2017-10-09 12:00:00,13.7,90,0,55.2,7,19,"Gurteen",282,0,0
"38",2017-10-09 13:00:00,14.3,90,0,46.1,8,21,"Gurteen",282,0,0
"39",2017-10-09 14:00:00,14.4,94,0,25.5,8,22,"Gurteen",282,0,0
"40",2017-10-09 15:00:00,14.4,93,0.2,23.3,9,23,"Gurteen",282,0,0
"41",2017-10-09 16:00:00,14.1,94,0.4,11.1,11,23,"Gurteen",282,0,1
"42",2017-10-09 17:00:00,13.9,93,0.5,2,10,21,"Gurteen",282,0,2
"43",2017-10-09 18:00:00,13.7,94,0,0,10,21,"Gurteen",282,1,3
"44",2017-10-09 19:00:00,13.8,92,0.1,0,9,22,"Gurteen",282,2,4
"45",2017-10-09 20:00:00,13.4,94,0.1,0,12,21,"Gurteen",282,3,5
"46",2017-10-09 21:00:00,13.2,94,0,0,12,21,"Gurteen",282,4,6
"47",2017-10-09 22:00:00,13.2,94,0.1,0,11,21,"Gurteen",282,5,7
"48",2017-10-09 23:00:00,13.1,95,0.3,0,10,21,"Gurteen",282,6,8
"49",2017-10-10 00:00:00,13.2,95,1.7,0,8,22,"Gurteen",283,7,9
"50",2017-10-10 01:00:00,13.3,94,0,0,10,23,"Gurteen",283,8,10
"51",2017-10-10 02:00:00,12.9,93,0.1,0,7,23,"Gurteen",283,9,11
"52",2017-10-10 03:00:00,12.6,95,0,0,6,23,"Gurteen",283,10,12
"53",2017-10-10 04:00:00,12.2,92,0,0,7,23,"Gurteen",283,11,13
"54",2017-10-10 05:00:00,11.5,94,0,0,4,24,"Gurteen",283,12,14
"55",2017-10-10 06:00:00,10.3,94,0,0.2,6,20,"Gurteen",283,13,15
"56",2017-10-10 07:00:00,10,92,0,16,5,21,"Gurteen",283,14,16
"57",2017-10-10 08:00:00,10.6,92,0,49,8,20,"Gurteen",283,15,17
"58",2017-10-10 09:00:00,11.6,89,0,112.2,7,19,"Gurteen",283,0,18
"59",2017-10-10 10:00:00,12.6,81,0,112.4,11,22,"Gurteen",283,0,0
"60",2017-10-10 11:00:00,12.5,79,0,80.8,11,22,"Gurteen",283,0,0
"61",2017-10-10 12:00:00,13.1,80,0,64.3,10,22,"Gurteen",283,0,0
"62",2017-10-10 13:00:00,13.5,76,0,81,10,22,"Gurteen",283,0,0
"63",2017-10-10 14:00:00,13.8,71,0,86.8,13,22,"Gurteen",283,0,0
"64",2017-10-10 15:00:00,14,69,0,42.5,12,22,"Gurteen",283,0,0
"65",2017-10-10 16:00:00,13.7,72,0,16,13,22,"Gurteen",283,0,0
"66",2017-10-10 17:00:00,13.4,74,0,2.4,10,20,"Gurteen",283,0,0
"67",2017-10-10 18:00:00,13.3,77,0,0,9,21,"Gurteen",283,0,0
"68",2017-10-10 19:00:00,13.2,82,0,0,10,20,"Gurteen",283,0,0
