"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","irish_rules_sensitive"
"1",2017-10-08 00:00:00,8.8,94,0,0,5,27,"JohnstownCastle",281,0,0
"2",2017-10-08 01:00:00,9.8,93,0,0,3,25,"JohnstownCastle",281,0,0
"3",2017-10-08 02:00:00,9.1,93,0,0,3,31,"JohnstownCastle",281,0,0
"4",2017-10-08 03:00:00,9.3,93,0,0,5,32,"JohnstownCastle",281,0,0
"5",2017-10-08 04:00:00,9.9,92,0,0,6,33,"JohnstownCastle",281,0,0
"6",2017-10-08 05:00:00,10.3,92,0,0,6,33,"JohnstownCastle",281,0,0
"7",2017-10-08 06:00:00,10.3,93,0.1,0.8,5,33,"JohnstownCastle",281,0,0
"8",2017-10-08 07:00:00,10.8,92,0,9.1,5,33,"JohnstownCastle",281,0,0
"9",2017-10-08 08:00:00,11.3,91,0,44.2,2,31,"JohnstownCastle",281,0,0
"10",2017-10-08 09:00:00,12.5,89,0,75,4,34,"JohnstownCastle",281,0,0
"11",2017-10-08 10:00:00,13.5,82,0,42.1,2,29,"JohnstownCastle",281,0,0
"12",2017-10-08 11:00:00,13.1,83,0,55.3,2,16,"JohnstownCastle",281,0,0
"13",2017-10-08 12:00:00,13.7,80,0,59.5,2,21,"JohnstownCastle",281,0,0
"14",2017-10-08 13:00:00,13.7,79,0,53.7,4,24,"JohnstownCastle",281,0,0
"15",2017-10-08 14:00:00,13.7,82,0,80.8,4,21,"JohnstownCastle",281,0,0
"16",2017-10-08 15:00:00,14,75,0,55.5,4,23,"JohnstownCastle",281,0,0
"17",2017-10-08 16:00:00,13.3,76,0,21.8,5,21,"JohnstownCastle",281,0,0
"18",2017-10-08 17:00:00,12.7,81,0,4.2,3,22,"JohnstownCastle",281,0,0
"19",2017-10-08 18:00:00,11.4,87,0,0,3,24,"JohnstownCastle",281,0,0
"20",2017-10-08 19:00:00,11.3,88,0,0,5,25,"JohnstownCastle",281,0,0
"21",2017-10-08 20:00:00,11.6,87,0,0,4,26,"JohnstownCastle",281,0,0
"22",2017-10-08 21:00:00,11.9,87,0,0,6,26,"JohnstownCastle",281,0,0
