"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","irish_rules_sensitive"
"1",2017-10-08 00:00:00,11.4,82,0,0,3,29,"MoorePark",281,0,0
"2",2017-10-08 01:00:00,11.3,82,0,0,2,31,"MoorePark",281,0,0
"3",2017-10-08 02:00:00,11,84,0,0,3,35,"MoorePark",281,0,0
"4",2017-10-08 03:00:00,10.9,87,0,0,2,29,"MoorePark",281,0,0
"5",2017-10-08 04:00:00,10.6,87,0,0,2,29,"MoorePark",281,0,0
"6",2017-10-08 05:00:00,10.2,93,0,0,2,27,"MoorePark",281,0,0
"7",2017-10-08 06:00:00,10.2,93,0.1,0.5,4,27,"MoorePark",281,0,0
"8",2017-10-08 07:00:00,10,93,0,23.1,2,29,"MoorePark",281,0,0
"9",2017-10-08 08:00:00,10.7,94,0,46.3,3,29,"MoorePark",281,0,0
"10",2017-10-08 09:00:00,11,92,0,105.8,4,29,"MoorePark",281,0,0
"11",2017-10-08 10:00:00,12.2,84,0,98.6,5,27,"MoorePark",281,0,0
"12",2017-10-08 11:00:00,13,79,0,78.9,6,29,"MoorePark",281,0,0
"13",2017-10-08 12:00:00,13.5,71,0,59.4,3,26,"MoorePark",281,0,0
"14",2017-10-08 13:00:00,13.5,72,0,41.2,2,18,"MoorePark",281,0,0
"15",2017-10-08 14:00:00,13.6,71,0,49.1,2,26,"MoorePark",281,0,0
"16",2017-10-08 15:00:00,13.9,68,0,36.5,1,20,"MoorePark",281,0,0
"17",2017-10-08 16:00:00,13.7,70,0,23.3,2,24,"MoorePark",281,0,0
"18",2017-10-08 17:00:00,13.6,73,0,7.3,2,24,"MoorePark",281,0,0
"19",2017-10-08 18:00:00,13.2,78,0,0,2,17,"MoorePark",281,0,0
"20",2017-10-08 19:00:00,12.5,84,0,0,2,31,"MoorePark",281,0,0
"21",2017-10-08 20:00:00,12.1,86,0,0,1,31,"MoorePark",281,0,0
"22",2017-10-08 21:00:00,11.9,87,0,0,1,20,"MoorePark",281,0,0
"23",2017-10-08 22:00:00,11.8,88,0,0,3,23,"MoorePark",281,0,0
"24",2017-10-08 23:00:00,11.7,88,0,0,3,27,"MoorePark",281,0,0
"25",2017-10-09 00:00:00,10.4,91,0,0,2,30,"MoorePark",282,0,0
"26",2017-10-09 01:00:00,9.2,93,0,0,2,26,"MoorePark",282,0,0
"27",2017-10-09 02:00:00,7.6,94,0,0,2,17,"MoorePark",282,0,0
"28",2017-10-09 03:00:00,7.7,95,0,0,1,13,"MoorePark",282,0,0
"29",2017-10-09 04:00:00,7.9,94,0,0,1,18,"MoorePark",282,0,0
"30",2017-10-09 05:00:00,8.2,96,0,0,1,7,"MoorePark",282,0,0
"31",2017-10-09 06:00:00,8.6,96,0,0.3,2,6,"MoorePark",282,0,0
"32",2017-10-09 07:00:00,9.2,95,0.1,5.8,4,8,"MoorePark",282,0,0
"33",2017-10-09 08:00:00,9.4,95,0,16.6,3,10,"MoorePark",282,0,0
"34",2017-10-09 09:00:00,9.8,93,0,22.8,2,12,"MoorePark",282,0,0
"35",2017-10-09 10:00:00,10.9,91,0,49.4,4,13,"MoorePark",282,0,0
"36",2017-10-09 11:00:00,11.7,90,0.1,57.3,4,15,"MoorePark",282,0,0
"37",2017-10-09 12:00:00,13.7,90,0.1,57.4,4,17,"MoorePark",282,0,0
"38",2017-10-09 13:00:00,15.3,84,0,39.8,5,21,"MoorePark",282,0,0
"39",2017-10-09 14:00:00,15.8,82,0,37,5,23,"MoorePark",282,0,0
"40",2017-10-09 15:00:00,16.2,76,0,28.1,9,22,"MoorePark",282,0,0
"41",2017-10-09 16:00:00,15.5,80,0,13.4,5,22,"MoorePark",282,0,0
"42",2017-10-09 17:00:00,15.3,80,0,4.3,7,21,"MoorePark",282,0,0
"43",2017-10-09 18:00:00,14.4,85,0.1,0,8,22,"MoorePark",282,0,0
"44",2017-10-09 19:00:00,14.1,85,0.1,0,3,19,"MoorePark",282,0,0
"45",2017-10-09 20:00:00,14,84,0,0,6,22,"MoorePark",282,0,0
"46",2017-10-09 21:00:00,13.8,86,0,0,7,21,"MoorePark",282,0,0
"47",2017-10-09 22:00:00,13.8,88,0,0,6,20,"MoorePark",282,0,0
"48",2017-10-09 23:00:00,14.2,87,0,0,7,20,"MoorePark",282,0,0
