"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","irish_rules_sensitive"
"1",2017-10-08 00:00:00,11.8,90,0,0,4,27,"OakPark",281,0,0
"2",2017-10-08 01:00:00,11.7,90,0,0,4,28,"OakPark",281,0,0
"3",2017-10-08 02:00:00,11.7,90,0,0,5,30,"OakPark",281,0,0
"4",2017-10-08 03:00:00,11.5,91,0,0,3,27,"OakPark",281,0,0
"5",2017-10-08 04:00:00,11.4,92,0,0,3,24,"OakPark",281,0,0
"6",2017-10-08 05:00:00,11.4,92,0,0,3,33,"OakPark",281,0,0
"7",2017-10-08 06:00:00,11.2,93,0,0.1,2,28,"OakPark",281,0,0
"8",2017-10-08 07:00:00,11.3,93,0,3.9,1,27,"OakPark",281,0,0
"9",2017-10-08 08:00:00,11.5,93,0,18.4,2,27,"OakPark",281,0,0
"10",2017-10-08 09:00:00,11.8,94,0,30.8,2,32,"OakPark",281,0,1
"11",2017-10-08 10:00:00,12.3,90,0,38.7,2,35,"OakPark",281,0,2
"12",2017-10-08 11:00:00,12.8,89,0,40.9,2,1,"OakPark",281,0,3
"13",2017-10-08 12:00:00,13.3,86,0,64.8,3,1,"OakPark",281,0,0
"14",2017-10-08 13:00:00,14.1,80,0,48.9,1,36,"OakPark",281,0,0
"15",2017-10-08 14:00:00,13.9,85,0,44.9,4,20,"OakPark",281,0,0
"16",2017-10-08 15:00:00,13.9,83,0,25.4,3,32,"OakPark",281,0,0
"17",2017-10-08 16:00:00,13.8,82,0,6.2,3,33,"OakPark",281,0,0
"18",2017-10-08 17:00:00,13.2,87,0,1.3,1,33,"OakPark",281,0,0
"19",2017-10-08 18:00:00,12.8,88,0,0,2,34,"OakPark",281,0,0
"20",2017-10-08 19:00:00,12.4,92,0,0,1,35,"OakPark",281,0,0
"21",2017-10-08 20:00:00,12.3,91,0,0,2,31,"OakPark",281,0,0
"22",2017-10-08 21:00:00,11.9,93,0,0,2,35,"OakPark",281,0,0
"23",2017-10-08 22:00:00,11.6,95,0,0,2,29,"OakPark",281,0,0
"24",2017-10-08 23:00:00,11.2,96,0,0,1,24,"OakPark",281,0,0
"25",2017-10-09 00:00:00,9.9,96,0,0,1,30,"OakPark",282,0,0
"26",2017-10-09 01:00:00,8.8,98,0,0,1,18,"OakPark",282,0,0
"27",2017-10-09 02:00:00,7.8,97,0,0,1,13,"OakPark",282,0,0
"28",2017-10-09 03:00:00,7.6,99,0,0,3,14,"OakPark",282,0,0
"29",2017-10-09 04:00:00,7.3,99,0,0,4,14,"OakPark",282,0,0
"30",2017-10-09 05:00:00,8.3,99,0,0,3,15,"OakPark",282,0,0
"31",2017-10-09 06:00:00,8.6,99,0,1.1,3,17,"OakPark",282,0,0
"32",2017-10-09 07:00:00,8.5,99,0,7.7,4,14,"OakPark",282,0,0
"33",2017-10-09 08:00:00,9.2,98,0,17.2,4,16,"OakPark",282,0,0
"34",2017-10-09 09:00:00,10,97,0,30.9,7,17,"OakPark",282,0,0
"35",2017-10-09 10:00:00,11,95,0,31.1,8,16,"OakPark",282,0,0
"36",2017-10-09 11:00:00,11.7,93,0.1,59.3,7,19,"OakPark",282,0,0
"37",2017-10-09 12:00:00,12.6,89,0,46.2,7,17,"OakPark",282,0,0
"38",2017-10-09 13:00:00,13.4,89,0,46,9,18,"OakPark",282,0,0
"39",2017-10-09 14:00:00,13.9,90,0,33.9,8,18,"OakPark",282,0,0
"40",2017-10-09 15:00:00,14.9,89,0,21.4,9,20,"OakPark",282,0,0
"41",2017-10-09 16:00:00,15,88,0,7.6,7,19,"OakPark",282,0,0
"42",2017-10-09 17:00:00,14.7,91,0,0.9,10,22,"OakPark",282,0,0
"43",2017-10-09 18:00:00,14.1,96,0.1,0,6,20,"OakPark",282,0,1
"44",2017-10-09 19:00:00,14.2,92,0.1,0,6,20,"OakPark",282,0,2
"45",2017-10-09 20:00:00,14.3,88,0,0,7,19,"OakPark",282,0,3
"46",2017-10-09 21:00:00,14,89,0,0,7,20,"OakPark",282,0,4
"47",2017-10-09 22:00:00,13.8,90,0,0,8,20,"OakPark",282,0,5
"48",2017-10-09 23:00:00,13.6,89,0,0,9,19,"OakPark",282,0,6
"49",2017-10-10 00:00:00,13.8,88,0,0,9,21,"OakPark",283,0,7
"50",2017-10-10 01:00:00,13.7,91,0,0,7,20,"OakPark",283,0,8
"51",2017-10-10 02:00:00,13.6,94,0,0,7,20,"OakPark",283,0,9
"52",2017-10-10 03:00:00,13.6,90,0.1,0,7,25,"OakPark",283,0,10
"53",2017-10-10 04:00:00,13.4,90,0,0,7,24,"OakPark",283,0,11
"54",2017-10-10 05:00:00,13.4,88,0,0,4,23,"OakPark",283,0,12
"55",2017-10-10 06:00:00,12.8,88,0,0.4,5,23,"OakPark",283,0,13
"56",2017-10-10 07:00:00,12.4,87,0,15.2,8,21,"OakPark",283,0,0
"57",2017-10-10 08:00:00,11.9,83,0,43.3,5,22,"OakPark",283,0,0
"58",2017-10-10 09:00:00,12.1,85,0,96.6,6,19,"OakPark",283,0,0
"59",2017-10-10 10:00:00,13.5,79,0,107.2,8,23,"OakPark",283,0,0
"60",2017-10-10 11:00:00,13.8,75,0,96.9,15,23,"OakPark",283,0,0
"61",2017-10-10 12:00:00,14.1,71,0,83.6,14,23,"OakPark",283,0,0
"62",2017-10-10 13:00:00,14.6,69,0,81.8,11,24,"OakPark",283,0,0
"63",2017-10-10 14:00:00,14.8,69,0,45.8,11,21,"OakPark",283,0,0
"64",2017-10-10 15:00:00,15,66,0,68.9,11,23,"OakPark",283,0,0
"65",2017-10-10 16:00:00,15.1,66,0,22.1,10,22,"OakPark",283,0,0
"66",2017-10-10 17:00:00,14.2,66,0,4.3,8,20,"OakPark",283,0,0
"67",2017-10-10 18:00:00,13.5,73,0,0,9,18,"OakPark",283,0,0
"68",2017-10-10 19:00:00,13.2,77,0,0,10,17,"OakPark",283,0,0
"69",2017-10-10 20:00:00,13.2,84,0,0,9,17,"OakPark",283,0,0
"70",2017-10-10 21:00:00,13.6,92,0.1,0,12,19,"OakPark",283,0,0
"71",2017-10-10 22:00:00,14.3,93,0.1,0,11,19,"OakPark",283,0,0
"72",2017-10-10 23:00:00,14.8,92,0.1,0,11,19,"OakPark",283,0,0
"73",2017-10-11 00:00:00,14.3,96,0.7,0,9,19,"OakPark",284,0,0
"74",2017-10-11 01:00:00,14.6,94,0.2,0,12,20,"OakPark",284,0,0
"75",2017-10-11 02:00:00,14.8,92,0.2,0,15,20,"OakPark",284,0,0
"76",2017-10-11 03:00:00,14.9,86,0.1,0,19,21,"OakPark",284,0,0
"77",2017-10-11 04:00:00,14.5,84,0,0,14,20,"OakPark",284,0,0
"78",2017-10-11 05:00:00,13.9,94,0.1,0,11,19,"OakPark",284,0,0
"79",2017-10-11 06:00:00,14.2,94,0.3,0,11,18,"OakPark",284,0,0
"80",2017-10-11 07:00:00,14.4,84,0.3,1.5,14,21,"OakPark",284,0,0
