"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","dk_daily_spor","dk_infpressure","irish_rules_sensitive"
"1",2018-06-28 00:00:00,17.2,62,0,0,5,36,"JohnstownCastle",179,0,0,0,0
"2",2018-06-28 01:00:00,16.6,62,0,0,5,36,"JohnstownCastle",179,0,NA,0,0
"3",2018-06-28 02:00:00,16.7,62,0,0,5,1,"JohnstownCastle",179,0,NA,0,0
"4",2018-06-28 03:00:00,16.1,66,0,0,5,1,"JohnstownCastle",179,0,NA,0,0
"5",2018-06-28 04:00:00,15.4,70,0,8.1,5,1,"JohnstownCastle",179,0,NA,0,0
"6",2018-06-28 05:00:00,15.5,71,0,45,6,35,"JohnstownCastle",179,0,NA,0,0
"7",2018-06-28 06:00:00,17.6,69,0,96.6,6,4,"JohnstownCastle",179,0,NA,0,0
"8",2018-06-28 07:00:00,19,61,0,152.7,8,6,"JohnstownCastle",179,0,NA,0,0
"9",2018-06-28 08:00:00,19.5,61,0,210.8,7,5,"JohnstownCastle",179,0,NA,0,0
"10",2018-06-28 09:00:00,19.6,59,0,259.4,8,4,"JohnstownCastle",179,0,NA,0,0
"11",2018-06-28 10:00:00,20.6,52,0,297,8,5,"JohnstownCastle",179,0,NA,0,0
"12",2018-06-28 11:00:00,21.4,51,0,320.5,7,6,"JohnstownCastle",179,0,0,0,0
"13",2018-06-28 12:00:00,21.7,50,0,323.8,9,5,"JohnstownCastle",179,0,NA,0,0
"14",2018-06-28 13:00:00,20.9,54,0,314.3,11,5,"JohnstownCastle",179,0,NA,0,0
"15",2018-06-28 14:00:00,22.7,37,0,290.4,13,5,"JohnstownCastle",179,0,NA,0,0
"16",2018-06-28 15:00:00,22.6,29,0,258.6,13,6,"JohnstownCastle",179,0,NA,0,0
"17",2018-06-28 16:00:00,23,37,0,209,11,5,"JohnstownCastle",179,0,NA,0,0
"18",2018-06-28 17:00:00,23,44,0,156,12,5,"JohnstownCastle",179,0,NA,0,0
"19",2018-06-28 18:00:00,22.6,46,0,97,10,5,"JohnstownCastle",179,0,NA,0,0
"20",2018-06-28 19:00:00,21.4,50,0,37,6,4,"JohnstownCastle",179,0,NA,0,0
"21",2018-06-28 20:00:00,20.3,52,0,11,7,4,"JohnstownCastle",179,0,NA,0,0
"22",2018-06-28 21:00:00,19.2,57,0,0,5,3,"JohnstownCastle",179,0,NA,0,0
"23",2018-06-28 22:00:00,18.5,60,0,0,6,4,"JohnstownCastle",179,0,NA,0,0
"24",2018-06-28 23:00:00,18,65,0,0,8,5,"JohnstownCastle",179,0,NA,0,0
"25",2018-06-29 00:00:00,17.8,64,0,0,6,4,"JohnstownCastle",180,0,NA,0,0
"26",2018-06-29 01:00:00,17.5,65,0,0,5,2,"JohnstownCastle",180,0,NA,0,0
"27",2018-06-29 02:00:00,17.1,70,0,0,5,2,"JohnstownCastle",180,0,NA,0,0
"28",2018-06-29 03:00:00,16.2,73,0,0,6,36,"JohnstownCastle",180,0,NA,0,0
"29",2018-06-29 04:00:00,16.2,73,0,6.9,5,1,"JohnstownCastle",180,0,NA,0,0
"30",2018-06-29 05:00:00,16.3,73,0,41.1,4,1,"JohnstownCastle",180,0,NA,0,0
"31",2018-06-29 06:00:00,17.9,70,0,93,5,4,"JohnstownCastle",180,0,NA,0,0
"32",2018-06-29 07:00:00,18.7,67,0,148.8,8,5,"JohnstownCastle",180,0,NA,0,0
"33",2018-06-29 08:00:00,19.1,68,0,206.6,7,6,"JohnstownCastle",180,0,NA,0,0
"34",2018-06-29 09:00:00,19.6,65,0,254.5,7,6,"JohnstownCastle",180,0,NA,0,0
"35",2018-06-29 10:00:00,19.8,67,0,291.3,6,5,"JohnstownCastle",180,0,NA,0,0
"36",2018-06-29 11:00:00,20.2,67,0,315.9,6,9,"JohnstownCastle",180,0,0,0,0
"37",2018-06-29 12:00:00,20.3,67,0,319.8,5,7,"JohnstownCastle",180,0,NA,0,0
"38",2018-06-29 13:00:00,20.5,67,0,313.1,6,8,"JohnstownCastle",180,0,NA,0,0
"39",2018-06-29 14:00:00,21.4,60,0,290.9,8,5,"JohnstownCastle",180,0,NA,0,0
"40",2018-06-29 15:00:00,21.8,29,0,258.1,8,5,"JohnstownCastle",180,0,NA,0,0
"41",2018-06-29 16:00:00,22.5,26,0,210.8,6,4,"JohnstownCastle",180,0,NA,0,0
"42",2018-06-29 17:00:00,20.3,50,0,154.4,10,5,"JohnstownCastle",180,0,NA,0,0
"43",2018-06-29 18:00:00,19.9,53,0,97.9,8,6,"JohnstownCastle",180,0,NA,0,0
"44",2018-06-29 19:00:00,19.7,55,0,44.1,5,5,"JohnstownCastle",180,0,NA,0,0
"45",2018-06-29 20:00:00,19.4,46,0,6.8,5,4,"JohnstownCastle",180,0,NA,0,0
"46",2018-06-29 21:00:00,17.7,52,0,0,5,36,"JohnstownCastle",180,0,NA,0,0
"47",2018-06-29 22:00:00,16.9,55,0,0,7,35,"JohnstownCastle",180,0,NA,0,0
"48",2018-06-29 23:00:00,16.6,56,0,0,3,36,"JohnstownCastle",180,0,NA,0,0
"49",2018-06-30 00:00:00,15.9,58,0,0,5,35,"JohnstownCastle",181,0,NA,0,0
"50",2018-06-30 01:00:00,16,60,0,0,6,35,"JohnstownCastle",181,0,NA,0,0
"51",2018-06-30 02:00:00,16.2,60,0,0,5,1,"JohnstownCastle",181,0,NA,0,0
"52",2018-06-30 03:00:00,15.7,64,0,0,4,1,"JohnstownCastle",181,0,NA,0,0
"53",2018-06-30 04:00:00,15.3,76,0,6.4,4,2,"JohnstownCastle",181,0,NA,0,0
"54",2018-06-30 05:00:00,15.4,79,0,39.8,3,1,"JohnstownCastle",181,0,NA,0,0
"55",2018-06-30 06:00:00,17,77,0,90.9,3,3,"JohnstownCastle",181,0,NA,0,0
"56",2018-06-30 07:00:00,18,75,0,147,6,5,"JohnstownCastle",181,0,NA,0,0
"57",2018-06-30 08:00:00,18,73,0,204.1,6,5,"JohnstownCastle",181,0,NA,0,0
"58",2018-06-30 09:00:00,17.9,68,0,253.5,7,5,"JohnstownCastle",181,0,NA,0,0
"59",2018-06-30 10:00:00,18.3,65,0,291,7,6,"JohnstownCastle",181,0,NA,0,0
"60",2018-06-30 11:00:00,18.2,60,0,316.3,7,8,"JohnstownCastle",181,0,0,0,0
"61",2018-06-30 12:00:00,18.8,57,0,319.5,8,5,"JohnstownCastle",181,0,NA,0,0
"62",2018-06-30 13:00:00,19.1,46,0,306.9,8,5,"JohnstownCastle",181,0,NA,0,0
"63",2018-06-30 14:00:00,18.7,50,0,277,7,6,"JohnstownCastle",181,0,NA,0,0
"64",2018-06-30 15:00:00,19.6,47,0,254,7,5,"JohnstownCastle",181,0,NA,0,0
"65",2018-06-30 16:00:00,20,44,0,203.6,8,6,"JohnstownCastle",181,0,NA,0,0
"66",2018-06-30 17:00:00,20.9,43,0,118.4,6,6,"JohnstownCastle",181,0,NA,0,0
"67",2018-06-30 18:00:00,19.4,53,0,95.4,6,6,"JohnstownCastle",181,0,NA,0,0
"68",2018-06-30 19:00:00,18.3,64,0,41.9,7,5,"JohnstownCastle",181,0,NA,0,0
"69",2018-06-30 20:00:00,17.5,66,0,5.5,5,4,"JohnstownCastle",181,0,NA,0,0
"70",2018-06-30 21:00:00,17,62,0,0,3,2,"JohnstownCastle",181,0,NA,0,0
"71",2018-06-30 22:00:00,15.9,64,0,0,4,36,"JohnstownCastle",181,0,NA,0,0
"72",2018-06-30 23:00:00,15.6,66,0,0,5,35,"JohnstownCastle",181,0,NA,0,0
"73",2018-07-01 00:00:00,15.8,64,0,0,6,34,"JohnstownCastle",182,0,NA,0,0
"74",2018-07-01 01:00:00,15.6,65,0,0,7,33,"JohnstownCastle",182,0,NA,0,0
"75",2018-07-01 02:00:00,16,60,0,0,7,33,"JohnstownCastle",182,0,NA,0,0
"76",2018-07-01 03:00:00,15.5,63,0,0,8,33,"JohnstownCastle",182,0,NA,0,0
"77",2018-07-01 04:00:00,15.1,66,0,7.2,8,33,"JohnstownCastle",182,0,NA,0,0
"78",2018-07-01 05:00:00,15.4,69,0,41.6,8,35,"JohnstownCastle",182,0,NA,0,0
"79",2018-07-01 06:00:00,16.3,71,0,69.2,7,35,"JohnstownCastle",182,0,NA,0,0
"80",2018-07-01 07:00:00,17,72,0,111.9,6,35,"JohnstownCastle",182,0,NA,0,0
"81",2018-07-01 08:00:00,19,68,0,164,5,4,"JohnstownCastle",182,0,NA,0,0
