station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
Dunsany,1375,2017,6,23,0,23-jun-2017 00:00:00,21,12,77,14.1,0.0,0.0,
Dunsany,1375,2017,6,23,1,23-jun-2017 01:00:00,21,12,78,13.6,0.0,0.0,
Dunsany,1375,2017,6,23,2,23-jun-2017 02:00:00,22,13,79,13.8,0.0,0.0,
Dunsany,1375,2017,6,23,3,23-jun-2017 03:00:00,21,15,81,13.9,0.0,0.0,
Dunsany,1375,2017,6,23,4,23-jun-2017 04:00:00,22,13,87,13.5,0.1,1.7,
Dunsany,1375,2017,6,23,5,23-jun-2017 05:00:00,22,13,89,13.6,0.1,8.2,
Dunsany,1375,2017,6,23,6,23-jun-2017 06:00:00,21,12,90,13.9,0.0,15.2,
Dunsany,1375,2017,6,23,7,23-jun-2017 07:00:00,21,11,90,14.4,0.0,20.7,
Dunsany,1375,2017,6,23,8,23-jun-2017 08:00:00,23,14,91,14.8,0.0,39.8,
Dunsany,1375,2017,6,23,9,23-jun-2017 09:00:00,23,15,91,15.2,0.0,47.5,
Dunsany,1375,2017,6,23,10,23-jun-2017 10:00:00,23,11,95,15.2,0.1,52.1,
Dunsany,1375,2017,6,23,11,23-jun-2017 11:00:00,22,12,94,15.5,0.2,81.4,
Dunsany,1375,2017,6,23,12,23-jun-2017 12:00:00,24,11,89,16.4,0.0,122.2,
Dunsany,1375,2017,6,23,13,23-jun-2017 13:00:00,23,14,85,16.9,0.0,71.4,
Dunsany,1375,2017,6,23,14,23-jun-2017 14:00:00,23,13,85,17.0,0.0,111.3,
Dunsany,1375,2017,6,23,15,23-jun-2017 15:00:00,25,14,82,17.6,0.0,46.7,
Dunsany,1375,2017,6,23,16,23-jun-2017 16:00:00,23,9,89,16.4,0.0,31.1,
Dunsany,1375,2017,6,23,17,23-jun-2017 17:00:00,24,9,87,15.9,0.1,23.0,
Dunsany,1375,2017,6,23,18,23-jun-2017 18:00:00,28,9,86,15.3,0.0,19.0,
Dunsany,1375,2017,6,23,19,23-jun-2017 19:00:00,26,10,83,14.8,0.0,9.2,
Dunsany,1375,2017,6,23,20,23-jun-2017 20:00:00,24,9,86,14.3,0.0,2.2,
Dunsany,1375,2017,6,23,21,23-jun-2017 21:00:00,26,8,83,14.2,0.0,0.1,
Dunsany,1375,2017,6,23,22,23-jun-2017 22:00:00,26,9,80,13.2,0.0,0.0,
Dunsany,1375,2017,6,23,23,23-jun-2017 23:00:00,25,11,82,12.3,0.0,0.0,
Dunsany,1375,2017,6,24,0,24-jun-2017 00:00:00,24,11,85,11.8,0.0,0.0,
Dunsany,1375,2017,6,24,1,24-jun-2017 01:00:00,24,9,83,11.6,0.0,0.0,
Dunsany,1375,2017,6,24,2,24-jun-2017 02:00:00,24,9,85,11.8,0.0,0.0,
Dunsany,1375,2017,6,24,3,24-jun-2017 03:00:00,24,9,85,11.9,0.0,0.0,
Dunsany,1375,2017,6,24,4,24-jun-2017 04:00:00,23,7,87,11.9,0.0,3.4,
Dunsany,1375,2017,6,24,5,24-jun-2017 05:00:00,23,8,88,12.2,0.0,11.8,
Dunsany,1375,2017,6,24,6,24-jun-2017 06:00:00,24,8,89,12.5,0.0,29.6,
Dunsany,1375,2017,6,24,7,24-jun-2017 07:00:00,22,9,88,13.1,0.0,3.6,
Dunsany,1375,2017,6,24,8,24-jun-2017 08:00:00,,,,,,,
Dunsany,1375,2017,6,24,9,24-jun-2017 09:00:00,,,,,,,
Dunsany,1375,2017,6,24,10,24-jun-2017 10:00:00,,,,,,,
Dunsany,1375,2017,6,24,11,24-jun-2017 11:00:00,,,,,,,
Dunsany,1375,2017,6,24,12,24-jun-2017 12:00:00,,,,,,,
Dunsany,1375,2017,6,24,13,24-jun-2017 13:00:00,,,,,,,
Dunsany,1375,2017,6,24,14,24-jun-2017 14:00:00,,,,,,,
Dunsany,1375,2017,6,24,15,24-jun-2017 15:00:00,,,,,,,
Dunsany,1375,2017,6,24,16,24-jun-2017 16:00:00,,,,,,,
Dunsany,1375,2017,6,24,17,24-jun-2017 17:00:00,,,,,,,
Dunsany,1375,2017,6,24,18,24-jun-2017 18:00:00,,,,,,,
Dunsany,1375,2017,6,24,19,24-jun-2017 19:00:00,,,,,,,
Dunsany,1375,2017,6,24,20,24-jun-2017 20:00:00,,,,,,,
Dunsany,1375,2017,6,24,21,24-jun-2017 21:00:00,,,,,,,
Dunsany,1375,2017,6,24,22,24-jun-2017 22:00:00,,,,,,,
Dunsany,1375,2017,6,24,23,24-jun-2017 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
